,BU.SHF,BZ.DCE,EB.DCE,EG.DCE,FG.ZCE,FU.SHF,L.DCE,LU.INE,MA.ZCE,PF.ZCE,PG.DCE,PL.ZCE,PP.DCE,PX.ZCE,RU.SHF,SA.ZCE,SC.INE,SH.ZCE,SP.SHF,TA.ZCE,V.DCE
20180330,-1.3746455323242328,0.0,0.0,0.0,-8.707992622766525,0.0,-7.419632445028235,0.0,-5.313683738076119,0.0,0.0,0.0,-15.686314187132313,0.0,-7.397766435273598,0.0,-15.564887612352376,0.0,0.0,-24.518515604431855,-13.64997439397253
20180402,-0.3524706741678063,0.0,0.0,0.0,-7.526348893129317,0.0,-6.43093812548757,0.0,-4.994023355046144,0.0,0.0,0.0,-13.956039196848149,0.0,-6.942698322050179,0.0,-13.297223002547579,0.0,0.0,-22.92117576381997,-12.826576869056508
20180403,-0.19202541349204091,0.0,0.0,0.0,-7.0010769932326085,0.0,-5.998187665134474,0.0,-4.847185920159678,0.0,0.0,0.0,-12.642599993875052,0.0,-6.585775348377051,0.0,-11.972776562897357,0.0,0.0,-21.5488672989922,-12.127085655757158
20180404,-0.08549025795051554,0.0,0.0,0.0,-6.773369449323693,0.0,-6.547625775979659,0.0,-4.841882506208909,0.0,0.0,0.0,-11.885008759204348,0.0,-6.2602835249481545,0.0,-11.312331044953861,0.0,0.0,-21.083760802668976,-11.432147578601969
20180409,-0.3481775376021103,0.0,0.0,0.0,-6.496485578751245,0.0,-6.490132824342811,0.0,-4.5260913522452615,0.0,0.0,0.0,-10.89193078382915,0.0,-5.884878670994074,0.0,-10.896289429798664,0.0,0.0,-20.96317736485309,-10.473562551716672
20180410,0.13337508859688413,0.0,0.0,0.0,-6.523965299561026,0.0,-6.407107336889752,0.0,-4.216660951961491,0.0,0.0,0.0,-9.908650536515735,0.0,-5.506212508980207,0.0,-9.848931515440402,0.0,0.0,-20.240191954147086,-9.473914379369818
20180411,0.5431094461923142,0.0,0.0,0.0,-6.663671005982885,0.0,-6.417831554956714,0.0,-3.8279990488636884,0.0,0.0,0.0,-9.035423677146088,0.0,-5.374098662301813,0.0,-8.71583002462604,0.0,0.0,-19.511765464399637,-9.184979382170011
20180412,1.0834874961369572,0.0,0.0,0.0,-6.6769082196888005,0.0,-6.324919423005704,0.0,-2.8937070113864216,0.0,0.0,0.0,-8.271509724424199,0.0,-5.260129124762775,0.0,-7.399303992115234,0.0,0.0,-18.933690095926494,-8.602019110241713
20180413,1.2765173364761795,0.0,0.0,0.0,-6.70640284006115,0.0,-7.7914907883380575,0.0,-2.0375245653350507,0.0,0.0,0.0,-7.994001995346052,0.0,-5.314373852111553,0.0,-6.212465807453543,0.0,0.0,-19.110683367327916,-8.657734368284034
20180416,0.9727146680662008,0.0,0.0,0.0,-7.128925387346798,0.0,-9.70291034765979,0.0,-0.8914535807570169,0.0,0.0,0.0,-8.15458010818855,0.0,-5.603391216267997,0.0,-5.459957236376728,0.0,0.0,-18.80112907353997,-9.029636786999536
