trade_date,"{'fast_n': 5, 'slow_n': 20}","{'fast_n': 10, 'slow_n': 40}","{'fast_n': 10, 'slow_n': 60}","{'fast_n': 20, 'slow_n': 40}","{'fast_n': 20, 'slow_n': 60}","{'fast_n': 30, 'slow_n': 60}"
20101228,0.27434679753156743,0.26389977734609843,0.28441960694031504,0.19742782809984571,0.28764808294750993,0.28764808211045684
20101229,1.1051252982521445,-0.1724813705889235,-0.14136141463987373,-0.26412175114187225,-0.1246181473231237,-0.06110083214106454
20101230,2.1913419810639825,0.7181386546679077,0.3893627550827987,0.13148364638803522,0.41285162675278775,0.4853905754820004
20101231,1.2341512024665289,0.7974791930717207,0.561402085597438,0.41989089022440884,0.5707040294809389,0.5918122351588255
20110104,0.8016126547711712,0.04714297953681071,-0.7856631904742005,-0.7870903237949529,-0.778330832803546,-0.7403924656874892
20110105,-1.9606836113735666,-1.3316105120110602,-0.6795264359284738,-0.21903317505470377,-0.3452605238968238,-0.37619995576090204
20110106,2.4452571705345045,1.4278424633236595,0.3271809144879932,-0.3010819948939125,-0.8929195057859087,-0.8421259900665297
20110107,-4.008520636538289,-3.2434779868347543,-2.456042252042748,-1.8818645260374058,-0.8283442349714314,-0.865879352968117
20110110,0.7837853899274951,0.5977012003716569,0.3977483436297493,0.27940482375877046,-0.20328594607654393,-0.19401810298563216
20110111,0.48586154326326925,0.6312192799837639,0.8075338570993075,0.8490441165094048,1.4990087645618004,1.491439459826448
20110112,0.911666860408035,0.8077950435131591,0.6993449288854198,0.6252798414998518,0.23319431888151548,0.07511255728136768
20110113,0.02705100050532666,0.09233179101878297,0.1683362310937936,0.19502523502219743,0.4738112527555268,0.7074481315972911
20110114,-1.2724613933493358,-1.0948831053702204,-0.8999805742361592,-0.7973970961070993,-0.08791014636508358,0.9532847240074337
20110117,-1.8425242045167265,-1.6404125627365194,-1.4190963228259659,-1.301041807331738,-0.49565231201988064,1.2436506460925907
20110118,0.06337673106016284,0.14474270846102977,0.23921636316899142,0.2731352437028005,0.6195485939309611,1.5957887616739104
