Strategy/Factor Name,Robust Params,Rank,Mode,Plateau Verified,Annual Consistency,Sharpe @ Robust,POT @ Robust
ShortTermReversal,{'N': 40},3,RAW,Yes,High,-0.4273,-22.1392
ShortTermReversal,{'N': 40},3,STATE_MACHINE,Yes,High,-0.7077,-21.9669
AmihudIlliquidity,{'N': 60},1,RAW,Yes,High,-0.286,-12.9982
AmihudIlliquidity,{'N': 60},1,STATE_MACHINE,Yes,High,0.2211,10.0981
AmihudIlliquidity,{'N': 50},2,RAW,Yes,High,-0.3023,-13.8739
AmihudIlliquidity,{'N': 50},2,STATE_MACHINE,Yes,High,0.2257,10.2934
AmihudIlliquidity,{'N': 10},3,RAW,Yes,High,-0.3121,-13.0155
AmihudIlliquidity,{'N': 10},3,STATE_MACHINE,Yes,High,0.2179,9.932
BuyingSellingPressure,{'N': 30},1,RAW,Yes,High,0.5417,18.3804
BuyingSellingPressure,{'N': 30},1,STATE_MACHINE,Yes,High,0.401,10.3744
BuyingSellingPressure,{'N': 20},2,RAW,Yes,High,0.5295,16.1435
BuyingSellingPressure,{'N': 20},2,STATE_MACHINE,Yes,High,0.4911,11.5633
BuyingSellingPressure,{'N': 40},3,RAW,Yes,High,0.4127,14.5607
BuyingSellingPressure,{'N': 40},3,STATE_MACHINE,Yes,High,0.3503,9.4356
BollingerBands,{'N': 60},1,RAW,Yes,High,0.6251,27.3452
BollingerBands,{'N': 60},1,STATE_MACHINE,Yes,High,0.6251,27.3452
BollingerBands,{'N': 50},2,RAW,Yes,High,0.5882,23.1018
BollingerBands,{'N': 50},2,STATE_MACHINE,Yes,High,0.5882,23.1018
BollingerBands,{'N': 20},3,RAW,Yes,High,0.576,15.4145
BollingerBands,{'N': 20},3,STATE_MACHINE,Yes,High,0.576,15.4145
DonchianChannel,{'N': 30},1,RAW,Yes,High,0.88,25.7295
DonchianChannel,{'N': 30},1,STATE_MACHINE,Yes,High,0.864,22.6178
DonchianChannel,{'N': 40},2,RAW,Yes,High,0.8677,28.1567
DonchianChannel,{'N': 40},2,STATE_MACHINE,Yes,High,0.9119,26.0974
DonchianChannel,{'N': 20},3,RAW,Yes,High,0.8245,21.4055
DonchianChannel,{'N': 20},3,STATE_MACHINE,Yes,High,0.8664,20.236
DualMACrossover,"{'fast_n': 5, 'slow_n': 20}",1,RAW,Yes,High,0.4845,19.5714
DualMACrossover,"{'fast_n': 5, 'slow_n': 20}",1,STATE_MACHINE,Yes,High,0.8153,20.2487
DualMACrossover,"{'fast_n': 10, 'slow_n': 40}",2,RAW,Yes,High,0.4685,23.9616
DualMACrossover,"{'fast_n': 10, 'slow_n': 40}",2,STATE_MACHINE,Yes,High,0.8348,26.7581
DualMACrossover,"{'fast_n': 20, 'slow_n': 40}",3,RAW,Yes,High,0.3876,19.5117
DualMACrossover,"{'fast_n': 20, 'slow_n': 40}",3,STATE_MACHINE,Yes,High,0.7864,25.4387
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",1,RAW,Yes,High,0.3783,19.1516
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",1,STATE_MACHINE,Yes,High,0.9623,28.7344
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",2,RAW,Yes,High,0.3062,12.921
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",2,STATE_MACHINE,Yes,High,0.9245,23.2847
MACD,"{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}",3,RAW,Yes,High,0.2172,8.2061
MACD,"{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}",3,STATE_MACHINE,Yes,High,0.6681,13.9377
MovingAverageBias,{'N': 40},1,RAW,Yes,High,0.4711,23.6976
MovingAverageBias,{'N': 40},1,STATE_MACHINE,Yes,High,0.9186,26.7292
MovingAverageBias,{'N': 30},2,RAW,Yes,High,0.4625,21.1298
MovingAverageBias,{'N': 30},2,STATE_MACHINE,Yes,High,0.954,25.2333
MovingAverageBias,{'N': 50},3,RAW,Yes,High,0.4398,23.2841
MovingAverageBias,{'N': 50},3,STATE_MACHINE,Yes,High,0.7806,23.6218
RSI,{'N': 20},1,RAW,Yes,High,0.7449,25.0435
RSI,{'N': 20},1,STATE_MACHINE,Yes,High,0.8515,21.6979
RSI,{'N': 30},2,RAW,Yes,High,0.7415,29.7409
RSI,{'N': 30},2,STATE_MACHINE,Yes,High,0.8816,25.4984
RSI,{'N': 10},3,RAW,Yes,High,0.7167,18.0994
RSI,{'N': 10},3,STATE_MACHINE,Yes,High,0.8336,16.7893
TimeSeriesMomentum,{'N': 10},1,RAW,Yes,High,0.4651,16.7674
TimeSeriesMomentum,{'N': 10},1,STATE_MACHINE,Yes,High,0.845,17.0605
TimeSeriesMomentum,{'N': 30},2,RAW,Yes,High,0.4648,22.7865
TimeSeriesMomentum,{'N': 30},2,STATE_MACHINE,Yes,High,0.882,25.5097
TimeSeriesMomentum,{'N': 20},3,RAW,Yes,High,0.45,19.5631
TimeSeriesMomentum,{'N': 20},3,STATE_MACHINE,Yes,High,0.8509,21.6894
ATR,{'N': 60},1,RAW,Yes,High,0.3955,21.0374
ATR,{'N': 60},1,STATE_MACHINE,Yes,High,0.2207,10.078
ATR,{'N': 50},2,RAW,Yes,High,0.3938,21.0767
ATR,{'N': 50},2,STATE_MACHINE,Yes,High,0.2252,10.2685
ATR,{'N': 20},3,RAW,Yes,High,0.3697,21.5603
ATR,{'N': 20},3,STATE_MACHINE,Yes,High,0.233,10.6175
DownsideUpsideVolatility,{'N': 30},1,RAW,Yes,High,0.697,27.1634
DownsideUpsideVolatility,{'N': 30},1,STATE_MACHINE,Yes,High,0.6843,19.1465
DownsideUpsideVolatility,{'N': 20},2,RAW,Yes,High,0.6965,23.3156
DownsideUpsideVolatility,{'N': 20},2,STATE_MACHINE,Yes,High,0.6751,17.2056
DownsideUpsideVolatility,{'N': 40},3,RAW,Yes,High,0.6229,26.1658
DownsideUpsideVolatility,{'N': 40},3,STATE_MACHINE,Yes,High,0.5821,17.3492
HistoricalVolatility,{'N': 60},1,RAW,Yes,High,0.381,20.7059
HistoricalVolatility,{'N': 60},1,STATE_MACHINE,Yes,High,0.2211,10.0981
HistoricalVolatility,{'N': 50},2,RAW,Yes,High,0.3694,20.1611
HistoricalVolatility,{'N': 50},2,STATE_MACHINE,Yes,High,0.2257,10.2934
HistoricalVolatility,{'N': 20},3,RAW,Yes,High,0.3173,20.914
HistoricalVolatility,{'N': 20},3,STATE_MACHINE,Yes,High,0.2329,10.6121
IntradayAmplitude,{'N': 60},1,RAW,Yes,High,0.4284,22.8926
IntradayAmplitude,{'N': 60},1,STATE_MACHINE,Yes,High,0.2207,10.078
IntradayAmplitude,{'N': 50},2,RAW,Yes,High,0.427,22.9335
IntradayAmplitude,{'N': 50},2,STATE_MACHINE,Yes,High,0.2252,10.2685
IntradayAmplitude,{'N': 40},3,RAW,Yes,High,0.3971,21.6067
IntradayAmplitude,{'N': 40},3,STATE_MACHINE,Yes,High,0.223,10.1711
VIXFix,{'N': 60},1,RAW,Yes,High,0.0926,5.0285
VIXFix,{'N': 60},1,STATE_MACHINE,Yes,High,0.2056,9.357
VIXFix,{'N': 50},2,RAW,Yes,High,0.0418,2.2812
VIXFix,{'N': 50},2,STATE_MACHINE,Yes,High,0.2056,9.357
VIXFix,{'N': 10},3,RAW,Yes,High,0.031,1.3959
VIXFix,{'N': 10},3,STATE_MACHINE,Yes,High,0.2056,9.357
CMF,{'N': 30},1,RAW,Yes,High,0.5274,17.4128
CMF,{'N': 30},1,STATE_MACHINE,Yes,High,0.5003,12.5246
CMF,{'N': 20},2,RAW,Yes,High,0.5158,14.9681
CMF,{'N': 20},2,STATE_MACHINE,Yes,High,0.4293,9.4638
CMF,{'N': 40},3,RAW,Yes,High,0.3858,12.9801
CMF,{'N': 40},3,STATE_MACHINE,Yes,High,0.3322,8.8179
OBV,{'N': 50},1,RAW,Yes,High,-0.0514,-3.0041
OBV,{'N': 50},1,STATE_MACHINE,Yes,High,-0.4094,-10.8358
OBV,{'N': 20},2,RAW,Yes,High,-0.1656,-10.1764
OBV,{'N': 20},2,STATE_MACHINE,Yes,High,0.0931,1.8929
OBV,{'N': 30},3,RAW,Yes,High,-0.1791,-16.9313
OBV,{'N': 30},3,STATE_MACHINE,Yes,High,-0.1128,-2.5381
OpenInterestROC,{'N': 50},1,RAW,Yes,High,0.1659,7.3603
OpenInterestROC,{'N': 50},1,STATE_MACHINE,Yes,High,0.1259,5.4664
OpenInterestROC,{'N': 20},2,RAW,Yes,High,0.058,2.2233
OpenInterestROC,{'N': 20},2,STATE_MACHINE,Yes,High,-0.2436,-8.6608
OpenInterestROC,{'N': 30},3,RAW,Yes,High,0.0133,0.5545
OpenInterestROC,{'N': 30},3,STATE_MACHINE,Yes,High,-0.0562,-2.1932
PriceOiDivergence,{'N': 60},1,RAW,Yes,High,0.0,0.0
PriceOiDivergence,{'N': 60},1,STATE_MACHINE,Yes,High,0.0,0.0
PriceOiDivergence,{'N': 10},2,RAW,Yes,High,-0.0423,-1.2097
PriceOiDivergence,{'N': 10},2,STATE_MACHINE,Yes,High,-0.1354,-2.5969
PriceOiDivergence,{'N': 20},3,RAW,Yes,High,-0.0715,-3.1274
PriceOiDivergence,{'N': 20},3,STATE_MACHINE,Yes,High,-0.3522,-11.062
PriceVolumeCorrelation,{'N': 20},1,RAW,Yes,High,0.6398,18.5599
PriceVolumeCorrelation,{'N': 20},1,STATE_MACHINE,Yes,High,0.5575,13.8902
PriceVolumeCorrelation,{'N': 30},2,RAW,Yes,High,0.5949,20.0938
PriceVolumeCorrelation,{'N': 30},2,STATE_MACHINE,Yes,High,0.3808,10.5097
PriceVolumeCorrelation,{'N': 10},3,RAW,Yes,High,0.5702,12.7904
PriceVolumeCorrelation,{'N': 10},3,STATE_MACHINE,Yes,High,0.4904,9.804
VolumeMomentum,{'N': 30},1,RAW,Yes,High,0.6141,26.3526
VolumeMomentum,{'N': 30},1,STATE_MACHINE,Yes,High,0.0604,2.3437
VolumeMomentum,{'N': 60},2,RAW,Yes,High,0.0,0.0
VolumeMomentum,{'N': 60},2,STATE_MACHINE,Yes,High,0.0,0.0
VolumeMomentum,{'N': 10},3,RAW,Yes,High,-0.0329,-0.7427
VolumeMomentum,{'N': 10},3,STATE_MACHINE,Yes,High,-0.1627,-3.2896
