trade_date,RB.SHF,HC.SHF,JM.DCE,J.DCE,I.DCE
20180821,-42.149798825538795,-25.552856951199693,0.19487198425667304,2.2485157372099476,-24.705051361866094
20180822,-42.57591508868464,-24.395003987180996,0.444656840366937,2.2833283267152167,-23.83321940508413
20180823,-42.605551129116755,-23.396962628936798,0.6286014955055783,2.2654015225080752,-23.119272190842743
20180824,-43.11837518261221,-22.707461047128632,0.7784336550529908,2.2683103733519054,-22.846819022118215
20180827,-42.42331247278116,-21.86537041812646,0.8912990093809143,2.271008411383446,-22.472150330529264
20180828,-41.882957482738256,-21.120769724717462,0.9827884280856384,2.2656062517661884,-22.149994155580192
20180829,-41.22662144290594,-20.395934535415627,1.0508951007441654,2.2617636223656965,-22.101357940498882
20180830,-40.58845611471925,-19.773497826873246,1.1062088575925009,2.2157195385078894,-22.035379964596736
20180831,-40.092578241476446,-19.18905879761137,1.1521401358357926,2.191306704925874,-22.09051514377057
20180903,-39.7350751433712,-18.68036175733051,1.1937046112620646,2.1757399933250494,-22.810065449878827
20180904,-39.41831950171955,-18.252689087568356,1.2319288550816163,2.167873218468133,-23.55290638069281
20180905,-39.13519280831685,-17.8987716408167,1.265283554753208,2.163155536073874,-24.216805212923212
20180906,-38.79730028135104,-17.57727744611296,1.273932262417721,2.157608318627633,-24.214383234360255
20180907,-38.523763095969166,-17.341612934067552,1.294573812487124,2.1451583004337222,-24.27074656890364
20180910,-38.755189315882504,-17.279080676728796,1.2968556628454473,2.135202774437519,-24.571591736421944
20180911,-37.49197749236453,-16.740967080991343,1.2908450972268033,2.091188161432906,-24.98622323216676
20180912,-36.463595517697264,-16.300407747907492,1.2866985220407903,2.056277261877354,-25.354809716453463
20180913,-35.607863031438114,-15.944466646324285,1.2811945330298553,2.0413815850665733,-25.520112099826612
20180914,-35.47310862723647,-15.721214572499736,1.2811946023487715,2.0740948026499866,-25.95324966499148
20180917,-35.721436859915606,-15.988333065204813,1.2923104297304364,2.09612336315111,-26.316288194156808
20180918,-35.77677107021108,-16.131489864003957,1.314290526608472,2.1280503293233046,-26.987108428666712
20180919,-35.816435844319415,-16.2362228861007,1.354183271765696,2.157121595944561,-27.891032984811744
20180920,-35.912653800509894,-16.32999909227038,1.3931314085295057,2.2083264502047095,-28.5877095787258
20180921,-36.08602732102613,-16.50899501973242,1.4238039425133349,2.2315426574116493,-29.181737036509915
20180925,-36.51336959326819,-16.76976117116288,1.4597114453249744,2.238767233311821,-30.332208714153037
20180926,-36.91071752757561,-17.133362983280644,1.489560144013825,2.2654165784495572,-31.276343125728076
20180927,-37.30349491099628,-17.509574005051338,1.522348051217763,2.286040016985838,-32.03274390209909
20180928,-37.52467651532293,-17.83135025522606,1.5501691006998293,2.3555482480881045,-32.69773659941081
