Strategy/Factor Name,Robust Params,Rank,RAW_Sharpe,RAW_POT,SM_Sharpe,SM_POT
DonchianChannel,{'N': 10},3,0.9746,42.8391,1.0258,39.6595
DualMACrossover,"{'fast_n': 5, 'slow_n': 20}",1,0.6742,67.2085,0.9192,54.6135
DualMACrossover,"{'fast_n': 10, 'slow_n': 40}",2,0.5612,77.9783,0.7938,67.1018
DualMACrossover,"{'fast_n': 10, 'slow_n': 60}",3,0.5223,84.5349,0.7775,74.1669
MACD,"{'fast_n': 24, 'slow_n': 52, 'signal_n': 18}",1,0.3012,38.2,0.6895,50.0368
MACD,"{'fast_n': 19, 'slow_n': 39, 'signal_n': 9}",2,0.2932,29.3457,0.7735,43.2663
MACD,"{'fast_n': 12, 'slow_n': 26, 'signal_n': 9}",3,0.2472,20.4691,0.6449,29.6824
MovingAverageBias,{'N': 20},1,0.6508,61.4185,0.9644,51.5668
MovingAverageBias,{'N': 30},2,0.6418,72.2544,0.9928,63.8196
MovingAverageBias,{'N': 40},3,0.606,76.3358,0.9091,65.6097
RSI,{'N': 10},1,1.0226,58.8369,0.925,41.6321
RSI,{'N': 20},2,1.0044,80.8029,0.9842,63.1095
RSI,{'N': 30},3,0.862,81.4974,0.8881,65.0493
TimeSeriesMomentum,{'N': 10},1,0.6747,54.4472,0.917,41.3357
TimeSeriesMomentum,{'N': 20},2,0.6638,74.4873,0.9808,63.0388
TimeSeriesMomentum,{'N': 30},3,0.5594,73.2197,0.8925,65.4822
ATR,{'N': 60},1,0.3916,100.1396,0.1143,22.3862
ATR,{'N': 50},2,0.3899,100.8425,0.1098,21.4729
ATR,{'N': 40},3,0.3889,102.1421,0.1035,20.2222
DownsideUpsideVolatility,{'N': 10},1,0.9298,50.1473,0.756,31.4294
DownsideUpsideVolatility,{'N': 20},2,0.8867,64.9557,0.9347,53.8298
DownsideUpsideVolatility,{'N': 30},3,0.7432,61.3634,0.6763,43.3603
HistoricalVolatility,{'N': 40},1,0.3877,104.2359,0.1043,20.3843
HistoricalVolatility,{'N': 50},2,0.3797,100.469,0.11,21.5029
HistoricalVolatility,{'N': 60},3,0.3771,99.5196,0.1145,22.4297
IntradayAmplitude,{'N': 60},1,0.4156,108.4496,0.1143,22.3862
IntradayAmplitude,{'N': 50},2,0.4117,108.6101,0.1098,21.4729
IntradayAmplitude,{'N': 40},3,0.4097,109.6738,0.1035,20.2222
VIXFix,{'N': 10},1,0.0558,6.6849,0.0706,13.6495
VIXFix,{'N': 40},2,0.0213,3.5199,0.0706,13.6495
VIXFix,{'N': 30},3,0.0059,0.9112,0.0706,13.6495
CMF,{'N': 10},1,0.8909,48.3247,0.878,36.6519
CMF,{'N': 20},2,0.8803,67.0307,0.9407,54.9692
CMF,{'N': 30},3,0.6972,61.0137,0.7349,48.5954
OBV,{'N': 50},1,0.2205,104.2661,-0.0489,-2.965
OBV,{'N': 60},2,0.1095,26.6883,-0.1372,-8.853
OBV,{'N': 10},3,-0.0044,-0.305,0.0009,0.0228
OpenInterestROC,{'N': 40},1,0.1937,16.2142,0.0957,7.1051
OpenInterestROC,{'N': 50},2,0.161,15.0491,0.0874,7.5696
OpenInterestROC,{'N': 30},3,0.152,11.5549,-0.0963,-6.1189
PriceOiDivergence,{'N': 10},1,0.2372,10.9078,0.035,0.9399
PriceOiDivergence,{'N': 60},2,0.0003,0.054,-0.1061,-9.4426
PriceOiDivergence,{'N': 40},3,-0.0142,-1.8651,-0.2227,-13.987
PriceVolumeCorrelation,{'N': 20},1,0.588,38.0388,0.6414,35.9008
PriceVolumeCorrelation,{'N': 10},2,0.4548,19.7127,0.4402,15.7941
PriceVolumeCorrelation,{'N': 30},3,0.4242,32.4674,0.3545,22.8786
VolumeMomentum,{'N': 50},1,0.5905,51.089,0.4076,29.8133
VolumeMomentum,{'N': 60},2,0.5882,65.5622,0.3283,33.1173
VolumeMomentum,{'N': 40},3,0.5392,38.3663,0.35,20.2969
