trade_date,"{'fast_n': 5, 'slow_n': 20}","{'fast_n': 10, 'slow_n': 40}","{'fast_n': 10, 'slow_n': 60}","{'fast_n': 20, 'slow_n': 40}","{'fast_n': 20, 'slow_n': 60}","{'fast_n': 30, 'slow_n': 60}"
20130621,-0.7382483745002946,-0.7156600642422533,-0.6374766223490838,-0.7156593119833379,-0.6374749513589505,-0.6374719583062536
20130624,2.8436188195579133,3.6160979573863683,2.9857326829560513,3.6160955657875036,2.985727392952446,2.9857154182179744
20130625,-1.4439792623531553,-1.6158670907602422,-0.5692173128129979,-1.6158667446898392,-0.5692165488504424,-0.5692146501721275
20130626,1.57130997315044,2.3740831416492827,1.9189012532362864,2.374082194104437,1.918899159028801,1.918894230916476
20130627,-0.7082672709859609,-2.0733683316346863,-1.96622001236758,-2.073367471547952,-1.9662181092235231,-1.9662138804257263
20130628,0.2468377973014031,-0.31684673944941366,-0.5355762992134352,-0.3168464762353782,-0.535575716856558,-0.5355744154739706
20130701,0.8248262672306128,0.9453964270648892,0.5346718368716816,0.9453964154382183,0.5346718107690535,0.5346717947843157
20130702,0.6689693559476779,0.033562396020393695,-0.13639979113867529,0.03356251822845982,-0.13639951993208396,-0.13639900589511977
20130703,1.6177361603049123,-0.3240259808466994,-0.3939592872996328,-0.3240258155882165,-0.39395891884266476,-0.3939584112865887
20130704,-1.7458288556622126,-1.9585269033995105,-1.6907314402018607,-1.9585267859952662,-1.6907311812679622,-1.6907305108391442
20130705,-0.2638595894081473,-0.26693926225631215,-0.2514985464031725,-0.26693924180928563,-0.25149850136408164,-0.2514983783993109
20130708,1.360837494544251,1.9486116353217748,1.835020582621251,1.9486115166173934,1.8350203205835383,1.8350196686263116
20130709,0.5071812605817347,1.022263524850132,0.9389349361895691,1.022263490517568,0.9389348601718824,0.9389346967169953
20130710,-2.985712594528999,-4.56776923409452,-4.757676903940462,-5.032508658406858,-4.7576765682306466,-4.757675786541079
20130711,-0.9213078380459522,-1.1735636614326468,-1.3137494843613162,-1.3341945091830554,-1.3137493696488076,-1.313749077749991
20130712,2.296832834090619,2.0525229360446033,1.7184419005322498,1.779604064397494,1.7184418370852077,1.718441642140575
20130715,1.5864191166229813,1.4876729612198196,1.2713565897774999,1.3763297170051936,1.271356564866669,1.271356487993327
20130716,-0.009538915081380925,-0.2790304466856284,-0.6972033921155005,-0.5701491193742617,-0.8816434978930636,-0.8816434186471568
20130717,-2.3687796631470106,-2.9552385707223023,-2.9405105347038125,-2.9848824881059546,-2.982196754092862,-2.9821965799604264
20130718,-0.27490828013760216,-0.6627577121637318,-0.665864995400004,-0.674878184771573,-0.6947890233706703,-0.6947890007633064
20130719,0.05576312461916233,-1.011444102486848,-1.1784210945235412,-1.1304127907677897,-1.6169737131108461,-1.6169736218539592
20130722,-0.40017520485384583,-0.5091491541599297,-0.3356971283835999,-0.3959572278546499,0.26651528937967434,0.26651526118381424
20130723,0.51890289481699,-0.5213003870252415,-0.613422874800914,-0.587703308710495,-0.9667048297396466,-1.134832020243578
20130724,-0.1042130248196886,0.983396568826698,0.9273293884123289,0.9508871567355989,0.7543703115256188,0.5714249486712876
20130725,-0.6254321751488591,0.23764179493681648,0.2942320092982605,0.2774749020804054,0.5061551826489098,0.8994961915371299
20130726,-1.2802112243044435,0.3812661550286528,0.4632851808663564,0.439346726717027,0.7722899238549432,1.6781250164173738
20130729,-3.087991029099675,1.08699008370911,1.2199513753297742,1.1824454791259178,1.727800543202382,3.2165401450424547
20130730,-0.37801187118848856,0.08788604550673015,0.10254689961070673,0.09773442365871685,0.1549430026824279,0.3085400913968389
20130731,1.5584118352921934,-0.8196917791610505,-0.8502330179912538,-0.841875027166523,-0.9682540500148984,-1.3142280035423042
20130801,1.700312954354137,-1.806025746925625,-1.8096704149106142,-1.8109607842661497,-1.8359261863904295,-1.9128939350565632
20130802,1.6494564482352834,0.5755982320833937,-0.07701873626628797,-0.05975684934519876,-0.2916620028894197,-0.920880186954567
20130805,0.473489756169642,0.24221113258939492,-0.14815049481330717,-0.14498977997927442,-0.19459966513331053,-0.3307635572111972
