Strategy/Factor Name,Robust Params,Rank,Mode,Plateau Verified,Annual Consistency,Sharpe @ Robust,POT @ Robust
OpenInterestROC,{'N': 30},1,STATE_MACHINE,Yes,High,0.162,6.6528
OpenInterestROC,{'N': 60},2,RAW,Yes,High,0.3016,100.5531
OpenInterestROC,{'N': 60},2,STATE_MACHINE,Yes,High,0.007,0.5287
OpenInterestROC,{'N': 40},3,RAW,Yes,High,0.1215,24.8916
OpenInterestROC,{'N': 40},3,STATE_MACHINE,Yes,High,0.1258,6.2307
PriceOiDivergence,{'N': 60},1,RAW,Yes,High,0.3259,21.2015
PriceOiDivergence,{'N': 60},1,STATE_MACHINE,Yes,High,0.5155,23.5823
PriceOiDivergence,{'N': 10},2,RAW,Yes,High,0.2513,8.1033
PriceOiDivergence,{'N': 10},2,STATE_MACHINE,Yes,High,0.4631,6.7382
PriceOiDivergence,{'N': 50},3,RAW,Yes,High,0.1065,6.3467
PriceOiDivergence,{'N': 50},3,STATE_MACHINE,Yes,High,0.1939,7.9014
PriceVolumeCorrelation,{'N': 10},1,RAW,Yes,High,0.1373,3.5109
PriceVolumeCorrelation,{'N': 10},1,STATE_MACHINE,Yes,High,-0.063,-1.2971
PriceVolumeCorrelation,{'N': 30},2,RAW,Yes,High,0.0145,0.6798
PriceVolumeCorrelation,{'N': 30},2,STATE_MACHINE,Yes,High,-0.1033,-3.7716
PriceVolumeCorrelation,{'N': 20},3,RAW,Yes,High,0.0007,0.0257
PriceVolumeCorrelation,{'N': 20},3,STATE_MACHINE,Yes,High,-0.153,-4.7069
VolumeMomentum,{'N': 60},1,RAW,Yes,High,0.5305,45.8116
VolumeMomentum,{'N': 60},1,STATE_MACHINE,Yes,High,0.2879,17.1656
VolumeMomentum,{'N': 50},2,RAW,Yes,High,0.3942,29.6167
VolumeMomentum,{'N': 50},2,STATE_MACHINE,Yes,High,0.149,7.4544
VolumeMomentum,{'N': 40},3,RAW,Yes,High,0.3184,20.8719
VolumeMomentum,{'N': 40},3,STATE_MACHINE,Yes,High,0.0283,1.1019
