sector,strategyFile,window,z_open,z_close,max_hold,signal_mode,sharpeRatio,maxDrawdown,maxDrawdownDays,holdingPeriod,pot
Agriculture,MovingAverageV3_1_sector_Agriculture_M_40_ZO_2.0_ZC_0.8_H_25_trend.csv,40,2.0,0.8,25,trend,0.37089796776745687,-33.67575239164917,1147,11.240999026921827,12.95344137806131
Agriculture,MovingAverageV3_1_sector_Agriculture_M_20_ZO_2.0_ZC_0.8_H_15_trend.csv,20,2.0,0.8,15,trend,0.37012628445064444,-37.13075744742717,1326,7.030342719930147,7.8685401426550285
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.4_ZC_0.2_H_5_trend.csv,45,1.4,0.2,5,trend,0.3699716891631676,-30.015057361922445,1337,8.159189580318381,7.983642886712931
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.6_ZC_0.8_H_20_trend.csv,45,1.6,0.8,20,trend,0.36922116205314526,-34.49645003220179,1461,10.656959526159923,10.778110398842989
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.4_ZC_0.6_H_5_trend.csv,45,1.4,0.6,5,trend,0.3670651304374365,-31.02469753973648,1342,7.909451659451659,7.849415971887146
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.4_ZC_0.4_H_5_trend.csv,45,1.4,0.4,5,trend,0.3642503617033716,-30.225536102969755,1337,8.046553590761459,7.833422083516443
Agriculture,MovingAverageV3_1_sector_Agriculture_M_20_ZO_2.0_ZC_0.4_H_20_trend.csv,20,2.0,0.4,20,trend,0.3640766843219112,-39.759955721614276,1529,9.814696485623003,9.002737185859507
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.6_ZC_0.6_H_20_trend.csv,45,1.6,0.6,20,trend,0.3633889258626565,-27.666247084156062,1043,11.9462915601023,11.366701645109426
Agriculture,MovingAverageV3_1_sector_Agriculture_M_40_ZO_2.0_ZC_0.8_H_20_trend.csv,40,2.0,0.8,20,trend,0.36244354179645416,-38.642233722195435,1147,10.49054184033344,11.831440871912326
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.8_ZC_0.8_H_15_trend.csv,50,1.8,0.8,15,trend,0.3610878880867167,-35.400451676755104,1711,10.556640047323278,11.606489619807192
Agriculture,MovingAverageV3_1_sector_Agriculture_M_20_ZO_1.4_ZC_0.0_H_25_mean_reversion.csv,20,1.4,0.0,25,mean_reversion,0.3609855867301655,-37.4610545206623,763,20.080873808970487,11.13960515899515
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_2.0_ZC_0.0_H_20_trend.csv,45,2.0,0.0,20,trend,0.3588325526706057,-32.38360966621596,1248,15.790818087676907,13.96145387918013
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.6_ZC_0.4_H_20_trend.csv,45,1.6,0.4,20,trend,0.35872461550658197,-26.724184343502834,1035,13.110587002096436,11.644040586178422
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.6_ZC_0.2_H_25_trend.csv,45,1.6,0.2,25,trend,0.35786680390602804,-32.13915854494456,940,15.831406822667041,13.063375970301912
Agriculture,MovingAverageV3_1_sector_Agriculture_M_20_ZO_1.6_ZC_0.8_H_20_trend.csv,20,1.6,0.8,20,trend,0.3568886850677287,-36.60023187554239,1035,6.9291411042944775,6.283834278239905
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.6_ZC_0.8_H_25_trend.csv,45,1.6,0.8,25,trend,0.35567554976063176,-30.150980468975234,1043,11.08761329305136,10.752222934162713
Agriculture,MovingAverageV3_1_sector_Agriculture_M_25_ZO_1.4_ZC_0.2_H_15_trend.csv,25,1.4,0.2,15,trend,0.3548981539434337,-33.03204669598411,958,11.22998595505618,8.046768919957346
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.2_ZC_0.6_H_5_trend.csv,45,1.2,0.6,5,trend,0.35451697694983253,-34.13903526936353,1098,8.694979423868311,7.556958212166945
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_2.0_ZC_0.2_H_30_trend.csv,50,2.0,0.2,30,trend,0.3539568729389084,-30.15960889620503,1427,17.114741641337385,15.924865039704192
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.6_ZC_0.8_H_5_trend.csv,45,1.6,0.8,5,trend,0.3536443068166747,-26.9320243727266,2360,6.900781719783524,7.623922211350141
Agriculture,MovingAverageV3_1_sector_Agriculture_M_35_ZO_1.2_ZC_0.0_H_30_trend.csv,35,1.2,0.0,30,trend,0.35225714019460574,-44.31623939461622,1280,24.773393461104845,13.756193117566827
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_2.0_ZC_0.4_H_30_trend.csv,45,2.0,0.4,30,trend,0.3520825738939617,-30.69668003302635,1461,15.182719546742211,14.757739645390329
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.6_ZC_0.2_H_15_trend.csv,45,1.6,0.2,15,trend,0.35200685302009227,-28.185396942202686,767,12.92787223080886,11.33111526687106
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.2_ZC_0.2_H_5_trend.csv,50,1.2,0.2,5,trend,0.35148575140123167,-30.17226042354583,1426,9.635947136563875,8.127433807211979
Agriculture,MovingAverageV3_1_sector_Agriculture_M_20_ZO_2.0_ZC_0.6_H_20_trend.csv,20,2.0,0.6,20,trend,0.34706480901647385,-44.80038788002592,1327,8.50378956754347,8.12031225945863
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.8_ZC_0.6_H_15_trend.csv,45,1.8,0.6,15,trend,0.34505095664495716,-36.54060074500124,1713,10.900854700854701,10.995743928008617
Agriculture,MovingAverageV3_1_sector_Agriculture_M_40_ZO_1.6_ZC_0.8_H_25_trend.csv,40,1.6,0.8,25,trend,0.3445622007412379,-34.9462829888615,1536,10.454460093896714,9.620043300278137
Agriculture,MovingAverageV3_1_sector_Agriculture_M_40_ZO_1.8_ZC_0.6_H_25_trend.csv,40,1.8,0.6,25,trend,0.34441746095719605,-35.065944107420464,1333,12.053251121076235,11.33853104002969
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_2.0_ZC_0.8_H_30_trend.csv,45,2.0,0.8,30,trend,0.3441256637358871,-38.118012668542264,1147,12.279406691962745,13.084372806422348
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.8_ZC_0.6_H_25_trend.csv,45,1.8,0.6,25,trend,0.343904049498642,-36.7320496917437,1407,12.819503331314353,12.191489822071329
Agriculture,MovingAverageV3_1_sector_Agriculture_M_20_ZO_2.0_ZC_0.2_H_20_trend.csv,20,2.0,0.2,20,trend,0.34322334222352613,-40.89917006237444,1031,11.810907358894973,8.966996003681864
