strategyFile,window,z_open,z_close,min_hold,max_hold,cooldown_days,signal_mode,zscore_method,sharpeRatio,maxDrawdown,maxDrawdownDays,holdingPeriod,pot
MovingAverageV3_4_M_50_ZO_1.8_ZC_0.0_MINH_3_H_15_CD_3_trend.csv,50,1.8,0.0,3,15,3,trend,price_ratio_over_vol,0.5725489737301502,-38.09121278279113,875,10.961107252703645,11.561228600142487
MovingAverageV3_4_M_50_ZO_1.8_ZC_0.0_MINH_5_H_15_CD_3_trend.csv,50,1.8,0.0,5,15,3,trend,price_ratio_over_vol,0.5725489737301502,-38.09121278279113,875,10.961107252703645,11.561228600142487
MovingAverageV3_4_M_40_ZO_1.4_ZC_0.0_MINH_3_H_15_CD_3_trend.csv,40,1.4,0.0,3,15,3,trend,price_ratio_over_vol,0.5715516324034857,-38.90639729326689,858,11.026385725132874,10.959476270733061
MovingAverageV3_4_M_40_ZO_1.4_ZC_0.0_MINH_5_H_15_CD_3_trend.csv,40,1.4,0.0,5,15,3,trend,price_ratio_over_vol,0.5715516324034857,-38.90639729326689,858,11.026385725132874,10.959476270733061
MovingAverageV3_4_M_50_ZO_2.0_ZC_0.0_MINH_3_H_15_CD_3_trend.csv,50,2.0,0.0,3,15,3,trend,price_ratio_over_vol,0.5714236357785093,-35.00514181710285,859,10.978457119409118,11.886210498124747
MovingAverageV3_4_M_50_ZO_2.0_ZC_0.0_MINH_5_H_15_CD_3_trend.csv,50,2.0,0.0,5,15,3,trend,price_ratio_over_vol,0.5714236357785093,-35.00514181710285,859,10.978457119409118,11.886210498124747
MovingAverageV3_4_M_30_ZO_2.0_ZC_0.6_MINH_3_H_20_CD_5_trend.csv,30,2.0,0.6,3,20,5,trend,price_ratio_over_vol,0.5710276390215571,-38.811841311138494,875,9.93183649971215,12.05117442065
MovingAverageV3_4_M_20_ZO_1.4_ZC_0.8_MINH_3_H_20_CD_3_trend.csv,20,1.4,0.8,3,20,3,trend,price_ratio_over_vol,0.5709992317131112,-40.19449320993485,875,7.6553188015348175,8.72156269325018
MovingAverageV3_4_M_20_ZO_1.8_ZC_0.8_MINH_3_H_20_CD_5_trend.csv,20,1.8,0.8,3,20,5,trend,price_ratio_over_vol,0.5699852420825442,-44.34206934594323,875,8.154944039429102,10.192512628493342
MovingAverageV3_4_M_25_ZO_1.2_ZC_0.0_MINH_3_H_20_CD_5_trend.csv,25,1.2,0.0,3,20,5,trend,price_ratio_over_vol,0.5698477577294108,-43.471916551359115,890,13.753271472757554,12.034111583910672
MovingAverageV3_4_M_25_ZO_1.2_ZC_0.0_MINH_5_H_20_CD_5_trend.csv,25,1.2,0.0,5,20,5,trend,price_ratio_over_vol,0.5698477577294108,-43.471916551359115,890,13.753271472757554,12.034111583910672
MovingAverageV3_4_M_20_ZO_1.6_ZC_0.6_MINH_3_H_20_CD_3_trend.csv,20,1.6,0.6,3,20,3,trend,price_ratio_over_vol,0.5693345269482674,-40.45484772884521,875,8.611275964391687,9.629801981472767
MovingAverageV3_4_M_30_ZO_1.6_ZC_0.0_MINH_3_H_20_CD_5_trend.csv,30,1.6,0.0,3,20,5,trend,price_ratio_over_vol,0.5682265872269421,-33.349891762081185,856,13.750108084738441,12.859228560598346
MovingAverageV3_4_M_30_ZO_1.6_ZC_0.0_MINH_5_H_20_CD_5_trend.csv,30,1.6,0.0,5,20,5,trend,price_ratio_over_vol,0.5682265872269421,-33.349891762081185,856,13.750108084738441,12.859228560598346
MovingAverageV3_4_M_25_ZO_1.4_ZC_0.2_MINH_3_H_20_CD_5_trend.csv,25,1.4,0.2,3,20,5,trend,price_ratio_over_vol,0.5679197330698473,-49.59818890133705,875,11.167512690355332,10.650383385080184
MovingAverageV3_4_M_30_ZO_2.0_ZC_0.0_MINH_3_H_20_CD_5_trend.csv,30,2.0,0.0,3,20,5,trend,price_ratio_over_vol,0.5678897655139681,-35.124870840255554,856,13.818001847696971,13.72388865883238
MovingAverageV3_4_M_30_ZO_2.0_ZC_0.0_MINH_5_H_20_CD_5_trend.csv,30,2.0,0.0,5,20,5,trend,price_ratio_over_vol,0.5678897655139681,-35.124870840255554,856,13.818001847696971,13.72388865883238
MovingAverageV3_4_M_20_ZO_1.8_ZC_0.6_MINH_3_H_20_CD_5_trend.csv,20,1.8,0.6,3,20,5,trend,price_ratio_over_vol,0.5674717292815478,-49.00588327463687,875,8.875311060517818,10.363837184977356
MovingAverageV3_4_M_30_ZO_1.2_ZC_0.6_MINH_5_H_20_CD_5_trend.csv,30,1.2,0.6,5,20,5,trend,price_ratio_over_vol,0.5672865302364204,-40.86296418306827,875,9.8468861952201,10.008926678901224
MovingAverageV3_4_M_20_ZO_1.2_ZC_0.2_MINH_3_H_20_CD_3_trend.csv,20,1.2,0.2,3,20,3,trend,price_ratio_over_vol,0.5670841375887017,-40.3229908878275,875,10.903250332636386,9.611996327526086
MovingAverageV3_4_M_50_ZO_2.0_ZC_0.2_MINH_3_H_15_CD_3_trend.csv,50,2.0,0.2,3,15,3,trend,price_ratio_over_vol,0.5664267834883104,-34.3544630510431,875,10.115030981411156,11.578341481216741
MovingAverageV3_4_M_20_ZO_1.8_ZC_0.6_MINH_3_H_20_CD_3_trend.csv,20,1.8,0.6,3,20,3,trend,price_ratio_over_vol,0.5657888263719222,-44.595331009357636,875,8.807634109435254,10.130463043271654
MovingAverageV3_4_M_50_ZO_2.0_ZC_0.2_MINH_5_H_15_CD_5_trend.csv,50,2.0,0.2,5,15,5,trend,price_ratio_over_vol,0.5650124594733835,-37.41107926688298,858,10.207475293987745,11.606278978382738
MovingAverageV3_4_M_25_ZO_1.2_ZC_0.2_MINH_3_H_20_CD_1_trend.csv,25,1.2,0.2,3,20,1,trend,price_ratio_over_vol,0.564203227776426,-37.969917436843545,858,10.970489808335865,9.78618414708168
MovingAverageV3_4_M_45_ZO_1.4_ZC_0.2_MINH_5_H_15_CD_3_trend.csv,45,1.4,0.2,5,15,3,trend,price_ratio_over_vol,0.5638056963273784,-42.094213871038264,875,10.02771154797787,10.099823990382705
MovingAverageV3_4_M_20_ZO_1.6_ZC_0.8_MINH_3_H_20_CD_3_trend.csv,20,1.6,0.8,3,20,3,trend,price_ratio_over_vol,0.5635111105072503,-41.96755184949373,875,7.870090105852509,9.238551386468307
MovingAverageV3_4_M_30_ZO_1.6_ZC_0.6_MINH_3_H_20_CD_5_trend.csv,30,1.6,0.6,3,20,5,trend,price_ratio_over_vol,0.5621652554254499,-43.5072348834732,875,9.472287917737791,10.685806145891485
MovingAverageV3_4_M_25_ZO_2.0_ZC_0.4_MINH_3_H_20_CD_3_trend.csv,25,2.0,0.4,3,20,3,trend,price_ratio_over_vol,0.5575776752883362,-46.97911461823762,875,10.329222167406684,11.47505456470294
MovingAverageV3_4_M_35_ZO_1.6_ZC_0.2_MINH_5_H_20_CD_3_trend.csv,35,1.6,0.2,5,20,3,trend,price_ratio_over_vol,0.5575404954072888,-40.21397956992473,858,11.919494204425717,11.788259069310453
MovingAverageV3_4_M_20_ZO_1.6_ZC_0.8_MINH_3_H_20_CD_5_trend.csv,20,1.6,0.8,3,20,5,trend,price_ratio_over_vol,0.5568341772754143,-40.57536090914442,875,7.972706155632982,9.476302425922242
MovingAverageV3_4_M_15_ZO_1.2_ZC_0.0_MINH_3_H_20_CD_3_trend.csv,15,1.2,0.0,3,20,3,trend,price_ratio_over_vol,0.5567549019597988,-41.40175307972511,875,13.803639581835272,10.606285142764134
MovingAverageV3_4_M_15_ZO_1.2_ZC_0.0_MINH_5_H_20_CD_3_trend.csv,15,1.2,0.0,5,20,3,trend,price_ratio_over_vol,0.5567549019597988,-41.40175307972511,875,13.803639581835272,10.606285142764134
MovingAverageV3_4_M_25_ZO_1.6_ZC_0.0_MINH_3_H_10_CD_3_trend.csv,25,1.6,0.0,3,10,3,trend,price_ratio_over_vol,0.5567161642008518,-35.35487048106437,875,7.670036874033546,7.9218502747448065
MovingAverageV3_4_M_25_ZO_1.6_ZC_0.0_MINH_5_H_10_CD_3_trend.csv,25,1.6,0.0,5,10,3,trend,price_ratio_over_vol,0.5567161642008518,-35.35487048106437,875,7.670036874033546,7.9218502747448065
MovingAverageV3_4_M_20_ZO_1.6_ZC_0.6_MINH_3_H_20_CD_5_trend.csv,20,1.6,0.6,3,20,5,trend,price_ratio_over_vol,0.5566866882118449,-46.137917711536474,875,8.695303493559225,9.673208130698738
MovingAverageV3_4_M_30_ZO_2.0_ZC_0.0_MINH_3_H_20_CD_3_trend.csv,30,2.0,0.0,3,20,3,trend,price_ratio_over_vol,0.5562806318771715,-39.23281389224864,875,13.79853747714808,13.195730844278067
MovingAverageV3_4_M_30_ZO_2.0_ZC_0.0_MINH_5_H_20_CD_3_trend.csv,30,2.0,0.0,5,20,3,trend,price_ratio_over_vol,0.5562806318771715,-39.23281389224864,875,13.79853747714808,13.195730844278067
MovingAverageV3_4_M_20_ZO_1.2_ZC_0.8_MINH_5_H_10_CD_5_trend.csv,20,1.2,0.8,5,10,5,trend,price_ratio_over_vol,0.5561144636994632,-28.48974113838439,846,6.305578455619672,6.732995683211828
MovingAverageV3_4_M_50_ZO_2.0_ZC_0.2_MINH_5_H_15_CD_3_trend.csv,50,2.0,0.2,5,15,3,trend,price_ratio_over_vol,0.5554435652822094,-34.51104147778193,875,10.22986198243413,11.329659313259034
MovingAverageV3_4_M_25_ZO_1.2_ZC_0.2_MINH_5_H_15_CD_5_trend.csv,25,1.2,0.2,5,15,5,trend,price_ratio_over_vol,0.5548142108854466,-48.90060269844395,875,9.635456159715886,8.963700505987932
MovingAverageV3_4_M_40_ZO_1.8_ZC_0.8_MINH_5_H_20_CD_5_trend.csv,40,1.8,0.8,5,20,5,trend,price_ratio_over_vol,0.554624426966103,-41.65222562248273,875,10.206453031385692,11.714486378447909
MovingAverageV3_4_M_25_ZO_1.4_ZC_0.2_MINH_3_H_20_CD_1_trend.csv,25,1.4,0.2,3,20,1,trend,price_ratio_over_vol,0.5538688034523123,-40.06671023492744,875,11.088081487881414,10.043561724677526
MovingAverageV3_4_M_30_ZO_1.8_ZC_0.6_MINH_3_H_20_CD_5_trend.csv,30,1.8,0.6,3,20,5,trend,price_ratio_over_vol,0.5532721184820412,-41.447659980355425,875,9.684147794994038,11.092201238420245
MovingAverageV3_4_M_50_ZO_1.8_ZC_0.0_MINH_3_H_15_CD_5_trend.csv,50,1.8,0.0,3,15,5,trend,price_ratio_over_vol,0.5530868715192702,-38.4596055354008,956,10.916288479413856,11.012589181191228
