,A.DCE,AD.SHF,AG.SHF,AL.SHF,AO.SHF,AP.ZCE,AU.SHF,B.DCE,BU.SHF,BZ.DCE,C.DCE,CF.ZCE,CS.DCE,CU.SHF,EB.DCE,EG.DCE,FG.ZCE,FU.SHF,HC.SHF,I.DCE,J.DCE,JD.DCE,JM.DCE,L.DCE,LH.DCE,LU.INE,M.DCE,MA.ZCE,NI.SHF,OI.ZCE,P.DCE,PB.SHF,PF.ZCE,PG.DCE,PL.ZCE,PP.DCE,PX.ZCE,RB.SHF,RM.ZCE,RU.SHF,SA.ZCE,SC.INE,SF.ZCE,SH.ZCE,SM.ZCE,SN.SHF,SP.SHF,SR.ZCE,SS.SHF,TA.ZCE,UR.ZCE,V.DCE,Y.DCE,ZN.SHF
20190201,-10.261985619844578,0.0,-0.2598128932610619,2.3652404583833193,0.0,-2.41377715578165,6.588581713224544,-6.406380343264148,0.7942472450712793,0.0,3.2390640848896424,9.114744655182228,1.6586317600825229,-6.656659910954454,0.0,-2.940821529865331,1.8135339205813101,-1.6355579560611773,19.390275911357428,14.290275728493725,12.519534657648347,-14.738141380157638,7.347277256757315,-2.28227439510387,0.0,0.0,-1.8480326905569107,2.2071672254060153,-3.8227378834142773,8.852924216900252,4.887580484917889,-14.176452593641306,0.0,0.0,0.0,-0.5027725876981985,0.0,9.000939052526894,-3.4740149716296567,-2.751550571102474,0.0,2.9052819948802013,-5.824880488590595,0.0,-1.2607446008991172,2.890952380494258,-1.1261685226792624,8.86508797259738,0.0,1.6739323579120193,0.0,-0.8035892788675673,6.528241288995739,3.1111665572891405
20190211,-7.6653380597452925,0.0,0.25482859489055837,2.2957094336045323,0.0,-2.528235945045092,7.872074613285214,-3.7536755718491817,1.025488652799373,0.0,4.3582531250400836,12.184427384858177,-0.8536345394123656,-6.221611471352714,0.0,-3.1379975954607215,1.3062357199644357,-1.0598006424884545,19.15839597918731,13.421698628290304,12.46667795564353,-14.969826978862779,7.755119003204614,-2.3522174290351474,0.0,0.0,-2.597106021445227,2.8881395379381374,-5.065493023994767,4.346781987350789,5.034006325921855,-14.57762122035202,0.0,0.0,0.0,0.2115708032330445,0.0,9.05111231013659,-2.596665294132747,-2.868708365897099,0.0,2.7210013427475435,-4.256645813294328,0.0,-0.1854181268851537,0.7344853168766358,-1.2373146827626953,8.845244054923317,0.0,1.8026222457847756,0.0,-1.2635287514735558,6.6366718759175365,2.291864151184153
20190212,-7.006204311604211,0.0,0.5191179109906577,0.05589908136856804,0.0,-2.7194034148874175,8.72918370121561,-2.713146087117064,1.1796392774600555,0.0,5.026887030355225,14.203705419324278,-0.055236989397481055,-9.040696179027327,0.0,-3.2944405073912586,1.8697617834502518,-0.6339492846940781,18.357614021948546,11.89417010067112,11.947800804997849,-15.218591491852626,7.934105488191495,-2.4685470632888804,0.0,0.0,-3.336865516529451,3.4969399354634976,-3.6537495715860544,2.953356991509899,6.814760938477068,-15.029749453784277,0.0,0.0,0.0,-0.1578203034671407,0.0,8.679129989512944,-1.9762020324244456,-2.57401103846411,0.0,1.851094809933015,-4.1324322625687415,0.0,0.9820848608211494,-0.8983134208529234,-1.2633421783402108,8.915697495014387,0.0,1.9007827417227847,0.0,-1.7481681510837819,6.684270289281015,1.3471299268096584
20190213,-6.138653498916856,0.0,-0.024711394299803104,0.6350998189884011,0.0,-2.893629069880275,9.081346322778005,-1.471939960914649,1.2193248841415105,0.0,5.530393972693861,11.048457875081146,0.7160358573704448,-8.68314449306593,0.0,-3.492531070894567,2.3208624419645787,-0.2887453532740959,17.04369712063014,10.578864137703544,11.089920934453954,-15.304306649248867,7.922059841600246,-1.7300928721598963,0.0,0.0,-3.7859277668406084,4.114520798870667,-2.4538398761958744,1.7754725299813463,8.199179564099605,-14.435208628128532,0.0,0.0,0.0,-0.4934077848966954,0.0,7.819817179847073,-1.3729403512932163,-1.2383487322375408,0.0,0.9266463292297912,-4.136037413156669,0.0,1.8900284930092008,0.45505855672287043,-1.377746871632514,7.712932194814487,0.0,1.0801749257485174,0.0,-2.1638420403949357,6.537274931783178,1.08762932726913
20190214,-7.18552242841677,0.0,-0.9198635712663742,1.031693296029908,0.0,-3.1909868537923862,7.643707321868759,-0.3299198195516981,1.179492101758846,0.0,3.4464881218050207,7.23056411392642,-1.5841386596674214,-5.109470244123171,0.0,-3.589472367622157,2.6404851511333987,0.07662820369283901,15.86865582700774,9.53169526138996,10.362108686826495,-15.376479416147331,7.8605887005277415,-0.9229474282496991,0.0,0.0,-4.250680130240397,4.138630937349969,-1.8361933624589266,0.9377122364595177,7.92133688844496,-13.62301193931566,0.0,0.0,0.0,-0.6595535335216388,0.0,7.039591396749348,-2.1533864543431576,-0.10496316307554314,0.0,0.21400005191577695,-4.103948275176277,0.0,2.8105134924134596,-1.2466323610711465,-0.5377169625033322,6.414240004962304,0.0,0.4055569224326406,0.0,-0.7770405853462675,6.701495474999053,0.4000577924486319
20190215,-8.078924435040785,0.0,-1.561389060140158,1.3889545517571333,0.0,-4.778527761005317,5.833700400166405,0.3995127806439299,0.5403782128764648,0.0,4.2949512562674235,4.207240746387584,-3.4124196866375116,-2.520191489066963,0.0,-3.643883118093716,2.779394913536616,0.4072601176950034,14.465918947240825,8.708449620698074,9.53038271745966,-15.17457351234312,7.94138958824121,-0.24696027260801307,0.0,0.0,-4.64199756309785,4.333168729303818,-1.6392086547972722,-2.6803595611936304,9.348588863122123,-11.213586443608428,0.0,0.0,0.0,-0.9009670424743109,0.0,6.0260619888143605,-2.893820564264893,0.23789337586280107,0.0,-0.15275254240321934,-4.189335939068531,0.0,3.5163617289874605,-2.497684972939102,0.13481655614444676,5.157578474425473,0.0,-0.15991856379718386,0.0,0.1510547964682253,6.671682907434866,1.1725223104777371
20190218,-7.08037957050675,0.0,-1.6459878000372543,-0.6482373114643619,0.0,-6.113255054631196,4.613386893902582,1.0109987951091508,0.02952561824556352,0.0,2.6614962323879654,1.839546234065814,-5.172372795892248,0.1781146376019096,0.0,-3.6769362700823094,2.807784170736804,0.6803176893931394,13.047053350931893,8.057369385261072,9.035375708181418,-15.359971220955682,7.567001962387682,0.26366790554600605,0.0,0.0,-5.433453708656381,4.513906622050151,-1.0433308839532953,-4.476092928926025,10.525155757426518,-10.649296110158124,0.0,0.0,0.0,-1.0390326547419266,0.0,5.0723434893069355,-3.6721239311742733,0.5252262479464086,0.0,-0.5206817200147631,-4.305331198380739,0.0,3.8253445405030497,-0.7604096052495679,-0.38389046165303586,4.273918356238322,0.0,-0.5931197564765311,0.0,0.8569265492473372,6.67407442553719,1.3490676740319472
20190219,-5.982176907167769,0.0,-2.0356281491834394,0.19249760861011903,0.0,-7.189406316909642,3.1286257490542053,1.3667156078505256,-0.4360975777547733,0.0,3.1629879461324015,0.26753782634164824,-6.644750753275904,2.126669154451972,0.0,-3.749656313460038,2.182619729812307,0.8299004791595925,11.869913295128066,7.55264086312295,8.610974266225996,-15.361388895864172,7.189171515734045,0.3715361437491777,0.0,0.0,-6.0371082297084175,4.017985953717315,-0.7849722032360876,-4.1103486188271745,11.516933250040573,-8.589782555677683,0.0,0.0,0.0,-0.14088621453321204,0.0,4.252979232203858,-4.2399345842067016,0.710991073325238,0.0,-0.7597196729503165,-4.341019650697693,0.0,3.9968681020250854,0.9670276349890848,0.21456465918218076,3.608058565625162,0.0,-0.881398375192502,0.0,1.5837887567732036,6.714815487511711,1.5737876068382153
20190220,-6.0991820191899935,0.0,-3.143594192906992,1.1075671732154555,0.0,-7.99074933759372,1.1110528607036225,1.4811617643509565,-0.7477656334463136,0.0,1.2169550396800626,2.00086724810281,-7.8306559218463185,3.5067197205607767,0.0,-3.7853175402457993,1.7610692768726193,0.9324846097025942,10.91393969157607,6.593346610921714,8.32283989650531,-15.418525851331008,6.860193958641808,0.4442513300168396,0.0,0.0,-6.632285978918458,3.5686847564218303,-0.2931974907033742,-3.7019634959645273,10.32424882334721,-6.225210211261655,0.0,0.0,0.0,0.7000750376891716,0.0,3.4533698288909016,-4.789791485713979,0.22604534321529998,0.0,-1.0049401390475825,-3.9695375646657407,0.0,4.932867611557541,2.411536066195582,0.7257267820347869,3.1053192672493966,0.0,-1.1545770401652797,0.0,0.731052674275855,6.351210198335341,3.1961932334397267
20190221,-6.278148247472947,0.0,-5.129663987274391,1.9214491391270425,0.0,-9.059838389054521,0.4559627463441521,0.22521553087230312,-0.9625863711042992,0.0,-0.4076417951553009,3.1985294121492975,-9.44368654888318,5.124448557531359,0.0,-3.7875716164505233,1.50970266964426,0.47169175573995437,10.051202696007179,5.7919896212128075,8.154277812475636,-15.307491473691254,6.711273417430261,-0.6320184214439282,0.0,0.0,-7.094723218322555,3.3056092835700452,-0.14545019378278762,-3.170292238550896,9.302977665116538,-5.379100398898637,0.0,0.0,0.0,1.4166873218176617,0.0,2.7862902399130562,-5.37102989461806,0.5280567234807315,0.0,-0.8000335718787092,-3.7607291404337637,0.0,5.92366189738262,3.6341908914602117,0.1623196829344767,2.6798070297109255,0.0,-1.3764034500789337,0.0,0.04615107137714984,6.158359054514335,3.834274013327558
20190222,-6.472094576952832,0.0,-6.912052513777193,2.48107272638437,0.0,-9.075649173733614,-1.773500766655272,0.7263239700719282,-1.16200191618846,0.0,-1.5374099482210384,3.8709959675910715,-10.827977338818394,6.943934443947723,0.0,-3.8019069773272545,1.1871826150125506,0.6307350425849773,9.430489678922578,5.181544673342451,8.277361245612232,-15.376068320996787,6.71566732185584,-0.7645713996672305,0.0,0.0,-7.767581697097062,3.115773449790816,0.2848340042061791,-2.9440739979253534,8.606051412270837,-4.135758648941609,0.0,0.0,0.0,0.95558928409852,0.0,2.2968182951049365,-5.9451184704553,0.7135486729231765,0.0,-0.6509403699212807,-3.6493959724732785,0.0,6.817506828297565,4.351258377027296,-0.4470985044286177,2.3019145111427375,0.0,-1.6581626729429513,0.0,-0.7063835427310361,6.004173347755186,4.705176774826468
20190225,-6.5637229219919195,0.0,-9.018427017103775,3.1493390356003306,0.0,-9.12037855632088,-2.8654403560085884,-0.4997683986492921,-1.4706120965152725,0.0,-2.8641342602413284,4.246313351147839,-11.800842407162008,7.780331258297242,0.0,-3.864413357763472,1.0121034266595121,-0.011518426923236305,8.90216317620452,4.5685788767313324,8.283791614811612,-15.587300027373548,6.80351460778285,-1.0890790515164117,0.0,0.0,-8.373475826895529,3.0054569636732045,0.5682690193660026,-1.1105082042497167,8.084674214858287,-2.968626673993003,0.0,0.0,0.0,0.3776791475102999,0.0,1.7555226402085393,-6.5360415004096675,0.8532445216848286,0.0,-0.5801261850686178,-3.499863069960627,0.0,7.760445959083899,4.909412399304341,-1.0806763553415728,1.2958260903502143,0.0,-1.9829960550747505,0.0,-1.2835810182343304,6.092949087840919,5.448057174029013
20190226,-6.543552408627945,0.0,-10.011082975188874,4.147393833557989,0.0,-9.039012056571764,-2.9336190352968416,-1.6649958281552375,-1.6249721027989341,0.0,-3.997901194133402,4.450952177680107,-12.401503304965145,8.324838756831754,0.0,-3.937992974780294,0.9099738832844155,-0.2147901077093661,8.562400560570216,4.057299161020163,8.228692466854547,-16.716167382124674,6.827564205584709,-0.2954938144005868,0.0,0.0,-9.351266560440227,2.9892808925194165,0.9129020134332549,-2.1426178832409883,5.422729843932757,-2.6233291072916214,0.0,0.0,0.0,0.13292372772736438,0.0,1.4632107014689462,-7.172181285736527,0.9783581557079934,0.0,-0.603957229766739,-3.309257860788917,0.0,8.893793731159953,5.187006963383936,-2.0343307015810006,1.162028436676038,0.0,-2.1875328867439796,0.0,-1.8511680101455,5.516910743091394,6.2382784113425345
20190227,-4.6497299522882205,0.0,-10.943665001863081,4.920273634819394,0.0,-9.351834037220428,-2.928178175054664,-2.9856743602094302,-1.7566723308116745,0.0,-4.052552764879926,4.84911602120152,-12.822754212870853,8.85149048717159,0.0,-4.0075873474360515,1.0929161493103086,-0.38117622617439484,8.247698758290591,4.0851111115354986,8.03744069274931,-17.676381804326066,6.802361597384072,0.36077249197913996,0.0,0.0,-10.19890413567621,2.84195885407844,0.873004168160761,-3.667119008865106,4.895700969925878,-2.8671128399536605,0.0,0.0,0.0,0.849257622529075,0.0,1.05059328124985,-7.942553850066935,1.1113762866299504,0.0,-0.05149668462129635,-3.2047689259311527,0.0,9.831041086338276,5.307149210366842,-2.722873240177267,1.123710009746764,0.0,-2.4298531096880733,0.0,-2.4782585304340907,4.963591932701162,6.867566278334967
20190228,-3.342632219274925,0.0,-11.264245919009205,5.420813983860715,0.0,-9.545729928716279,-4.156349017661628,-4.250959842984252,-1.8854471056737128,0.0,-1.495379081175737,4.898606040204132,-9.274062593267956,7.27376942035916,0.0,-4.037851250915505,1.4786194723543342,-0.35100880460400724,9.06021435209272,4.112064010819423,8.238430400404772,-17.937508059864694,6.883511076338562,0.8031741289143612,0.0,0.0,-10.715083425414495,2.721813587046165,1.361552274186898,-4.523637782572755,4.30719558029499,-2.451343293446952,0.0,0.0,0.0,0.4943426033446135,0.0,1.816552428981219,-8.620533906182159,1.219309073299498,0.0,0.407495906604591,-3.332914755131871,0.0,10.106884067202094,5.5682891065026485,-3.247180973163085,2.428400174956025,0.0,-2.7052476178618288,0.0,-2.9112511106394714,4.494143772233969,7.59857281452389
20190301,-2.0028411602862266,0.0,-12.331922614202695,5.489294967716904,0.0,-9.887313975208103,-3.3533871324653766,-5.17943070028591,-1.2356411406128558,0.0,0.9823638121461313,4.975049019669145,-6.3010851981590426,6.222191481356954,0.0,-3.8490984211671577,1.664478063242115,-0.21467888037988447,9.62051101132909,4.144169818108144,8.442748394122228,-18.301019267012048,7.092898586218576,0.47368049581152233,0.0,0.0,-11.023319603990762,3.2228555834332457,1.8822882622506791,-5.009327491783051,3.7337177814551454,-0.4471391981738323,0.0,0.0,0.0,0.3271156273220573,0.0,2.510881727329164,-5.899699232742009,1.472263615361851,0.0,0.3324183607841521,-3.35825292924133,0.0,10.474462470716011,5.642910008477151,-3.6414093153065927,3.458833072530235,0.0,-1.98681364991683,0.0,-2.932659495283728,5.634963668709732,7.200785072327899
20190304,-2.7642551921502454,0.0,-12.872944802522595,5.707877255397337,0.0,-10.086673758066528,-3.6628392209483276,-6.1224064198123065,-0.8104768773918363,0.0,2.853644073298475,5.095710548448658,-4.071815865150453,5.429571519579401,0.0,-3.7045984242050123,1.56975504710672,-0.24226118430813495,10.6036161559475,4.1618974164060845,8.086632685066206,-18.709786375469832,6.62236948236098,-0.9512907110199228,0.0,0.0,-11.406518097317106,3.630728951034727,2.1778597438884355,-5.183773826888033,3.105372333237594,1.0904612510763025,0.0,0.0,0.0,-0.35923216502486055,0.0,3.0281501037740655,-3.654005702265012,1.4879558440919916,0.0,0.7866722742236439,-3.4285535362589608,0.0,11.006477304833295,5.535895376752727,-3.0756347580941057,2.993469486560546,0.0,-2.117667315633131,0.0,-4.376984138072964,6.531435654986353,6.956848925007869
20190305,-3.7382016833150993,0.0,-12.404773864775622,6.057622778454298,0.0,-9.411482830124402,-4.717804990004685,-7.340459034418101,-0.4457008743113174,0.0,4.046100364636886,4.965249888937954,-1.816743949309999,5.306546066221592,0.0,-2.6644872135756934,0.5557981153892135,-0.18722307972726623,11.383985925961849,4.177059461307543,7.733102673170049,-18.849455933397273,6.166870429746571,-2.029866055090669,0.0,0.0,-11.999720381145847,3.6455862842683566,2.502293661695219,-5.048931345839017,2.5179066343069714,1.8894931747775987,0.0,0.0,0.0,-0.3464101780606642,0.0,3.422465483938515,-1.8848477531842442,1.7273182652408627,0.0,1.2069974301259851,-3.6957482541634707,0.0,11.500919401490643,5.471269166272627,-3.517978937849945,3.7639526368472067,0.0,-1.571189695412138,0.0,-5.342770631409333,7.3745889557314594,8.523451806470092
20190306,-4.558957926805482,0.0,-11.208358490247754,6.119102737064762,0.0,-7.152211548201221,-4.705926783358445,-8.233689641266563,-0.19607466428120024,0.0,5.479781221748589,4.669713176184282,-0.07933216477884139,5.194596977376002,0.0,-1.7900041588011504,-0.3885477963411077,-0.26049533743630393,11.532691137279619,4.170916474587888,7.230396559586172,-15.292405860243996,5.599009760378965,-2.89314981446534,0.0,0.0,-12.19383891855511,3.6648365447779745,3.193850385854788,-2.47897146422488,1.8523623485646048,3.6394922329190385,0.0,0.0,0.0,-0.3047630830677492,0.0,3.4065033586820577,-0.6268612149499396,1.8598370746609878,0.0,1.58640552010886,-3.456863613939578,0.0,12.06977374192478,3.368010422252681,-3.84181616839494,3.1649712015468063,0.0,-1.0397022498229518,0.0,-4.155600719813632,7.7161741551509415,7.026715808784857
20190307,-5.20422740728354,0.0,-10.669958556684572,3.398936378295187,0.0,-4.215087467442015,-5.242246640424865,-8.004735855628883,-0.09463457904191477,0.0,5.845704142657911,4.302598622830375,0.7286877598207624,4.666230824699543,0.0,-1.1128812672578072,-1.0958081708689638,-0.31826177658554683,11.50102779470653,4.164885173508754,6.224450801548593,-12.627684788838335,5.194127482536108,-3.8523830032046362,0.0,0.0,-12.15580149356812,3.8761406782986656,3.064929266604047,-0.08414496775939177,-0.34384684749938976,4.893532745151697,0.0,0.0,0.0,-1.128650106973574,0.0,3.4757153702144024,1.056605978920008,1.6945431422341435,0.0,1.86285785848434,-3.3084253001236408,0.0,12.921511830377018,3.6286496297173367,-4.369820568181914,2.788177410097291,0.0,-0.4185887396964063,0.0,-3.3434657593569757,7.9380256290242945,6.674850652223118
20190308,-5.848885250689315,0.0,-9.978870792043645,1.2164319683120193,0.0,-2.416013746489858,-5.377379954441892,-7.476284382522918,0.033697718840373404,0.0,3.6524945127120803,5.353807317607066,1.6270026957942039,3.926820721655096,0.0,-0.5739075534499287,-1.6597427007051546,-0.45419827867648577,11.320215243923533,4.210743876415404,4.827513494871935,-13.836552407362,3.5901036787933047,-4.827828383391439,0.0,0.0,-10.309993485269716,4.156277594079903,3.247386785634617,1.769989621400477,-2.192428358013743,4.2495859057872885,0.0,0.0,0.0,-1.9747552465154783,0.0,3.3280030647857606,2.831067476982768,1.692537442997985,0.0,2.0169096911167723,-3.2336407888354692,0.0,13.362737847603766,1.8066253770293152,-3.816730231921002,3.742373991655771,0.0,0.11092310641908486,0.0,-2.9205407699492736,8.113045038124216,6.214143766524627
20190311,-6.667101365910966,0.0,-9.679813482706692,2.1835521440139813,0.0,-0.7472526399975339,-4.312235996991386,-7.104812800147644,0.1577820725591589,0.0,1.063548829804526,6.240693013406281,1.67722052434496,1.68139306808297,0.0,-0.7357381097675832,-1.6352755025169232,-0.5675319335545719,11.263677795391358,4.298045382303389,3.369336551776885,-13.153984144066339,2.084492320654217,-4.6075088809732865,0.0,0.0,-8.837861603161185,4.291562471735945,2.0269291134641616,3.3033420205173685,-3.7939244084378836,3.8061685499524294,0.0,0.0,0.0,-1.6273299937243189,0.0,3.0967909274195025,4.397189352503021,1.5660492873464098,0.0,2.0854713616933997,-3.615333775053965,0.0,13.85006356311109,2.123525276455466,-3.439663767848145,4.997603869521428,0.0,0.4609641415936699,0.0,-3.5400755642037325,8.241483862207044,6.330400951413853
