,GMV
20200624,278.26710211868675
20200629,265.3573431046026
20200630,263.9783392950977
20200701,266.98344051064703
20200702,273.93684266401175
20200703,277.59088874618703
20200706,277.3940910463882
20200707,277.62179421874384
20200708,283.3678216852702
20200709,289.4613264230234
20200710,299.55190080597595
20200713,303.6542489558744
20200714,306.1412072970511
20200715,307.38772878328166
20200716,306.7738600482595
20200717,297.28576450015424
20200720,282.5564397373409
20200721,286.95611093993153
20200722,284.1482670506284
20200723,284.88798828887343
20200724,283.8449824231234
20200727,281.88736432467846
20200728,271.68871278704216
20200729,267.5213291744662
20200730,254.26139609431146
20200731,245.91968651951294
20200803,242.5896963293803
20200804,236.68254130661134
20200805,232.9382099653932
20200806,229.62064040109553
20200807,216.23894483671972
20200810,205.43537887636572
20200811,193.75845437978293
20200812,188.65151338927964
20200813,187.27126108828256
20200814,187.33075350750468
20200817,195.14158416696486
20200818,201.13768226185977
20200819,197.94212475322263
20200820,193.59769553768896
20200821,191.01069200176235
20200824,190.8131962709378
20200825,190.14982291140237
20200826,198.5651103014852
20200827,197.89040370333842
20200828,201.2800350931794
20200831,202.59107209240403
20200901,204.0585709794598
20200902,201.98630839365484
20200903,196.83597448266153
20200904,201.53102534871917
20200907,210.4443795088811
20200908,215.32560960267944
20200909,218.21255440704337
20200910,226.25482023830162
20200911,230.1578995823225
20200914,240.67381394750618
20200915,248.15041202261244
20200916,247.95776487854587
20200917,245.4843027888903
20200918,240.80171845155166
20200921,238.5938328041822
20200922,231.5689177278166
20200923,231.17164328457957
20200924,226.45545664597668
20200925,225.13312938742183
20200928,223.4487100566465
20200929,221.6783294464166
20200930,222.85320283648866
20201009,225.73121309246255
20201012,220.76081610543883
20201013,218.9203082493695
20201014,222.7844801374064
20201015,229.12776492583762
20201016,235.4656009478009
20201019,233.2320615433881
20201020,228.44970384230558
20201021,225.48719009429945
20201022,227.52640803496234
20201023,229.51880848347074
20201026,230.53735583472715
20201027,228.83605905876698
20201028,221.09904338843532
20201029,220.27261563980366
20201030,225.7793148462727
20201102,224.8953669953063
20201103,218.9697401893756
20201104,216.06467760928342
20201105,211.66479318378944
20201106,210.98700418738926
20201109,216.07604604875365
20201110,219.37897776161645
20201111,225.05938518403792
20201112,228.35890690125774
20201113,228.2826169551127
20201116,236.06068696124308
20201117,244.05244112085393
20201118,251.21564752107935
20201119,250.04021341021664
20201120,251.60198375457432
20201123,251.15422259567382
20201124,256.39007377651933
20201125,251.0489678144504
20201126,249.753414738166
20201127,250.58185741838426
20201130,249.9861268167829
20201201,252.20975357063912
20201202,253.0509328719074
20201203,249.96402895009976
20201204,254.75280864109092
20201207,260.0245288925949
20201208,257.943808012659
20201209,257.8506545761051
20201210,260.87643932397276
20201211,253.47948628505858
20201214,249.5959954721024
20201215,244.98964601449143
20201216,241.0721844315144
20201217,235.87501102510484
20201218,240.63887013308957
20201221,244.49843124774554
20201222,237.8480592836718
20201223,232.91529386229007
20201224,229.4300801212357
20201225,222.57008466264654
20201228,221.0095480767001
20201229,217.54209072618409
20201230,215.58478073542315
20201231,216.87289215378624
20210104,211.50669310134538
20210105,206.37020841928984
20210106,202.06905264686924
20210107,198.54925122987189
20210108,201.8785007217686
20210111,205.69284715648325
20210112,232.06093716256967
20210113,225.29906322734004
20210114,218.11957834432533
20210115,214.6626619179144
20210118,208.6627956719085
20210119,203.95731277665575
20210120,199.50978771513982
20210121,195.84830913667457
20210122,196.1771969538026
20210125,190.16074332268076
20210126,183.32359995563633
20210127,178.13605791262685
20210128,162.6333834793562
20210129,158.4153667685272
20210201,159.12008260628733
20210202,158.32902198438012
20210203,156.72237447174177
20210204,161.31576605730342
20210205,167.2901432358035
20210208,176.22953123199792
20210209,185.0846752599971
20210210,191.468107354734
20210218,191.3515841950197
20210219,191.12143225183436
20210222,190.46067697103607
20210223,188.73975172136787
20210224,192.91004936336284
20210225,192.05214084887575
20210226,189.4117755733197
20210301,182.51769604441864
20210302,176.84390348670556
20210303,175.49370377935455
20210304,171.19423041455806
20210305,165.58525873500128
20210308,157.82590347571463
20210309,145.6033036791735
20210310,134.11815104743764
20210311,123.26276578196165
20210312,113.94161603532322
20210315,105.4927471955501
20210316,98.4913801277519
20210317,98.37865543436436
20210318,100.50358201911958
20210319,102.65642948484353
20210322,99.13236950101208
20210323,100.35556234557637
20210324,104.07807759101874
20210325,105.62122948164046
20210326,107.47936176820177
20210329,111.65340870950602
20210330,110.3009208018622
20210331,108.83130686180209
20210401,112.83805983542597
20210402,116.07556495614894
20210406,113.4550716219742
20210407,116.63867319970657
20210408,118.55248651634099
20210409,126.41033487294087
20210412,128.3863902046824
20210413,135.5218658934818
20210414,140.02292708298972
20210415,143.19502012344728
20210416,145.08661661585487
20210419,147.70777921605463
20210420,152.27737917611017
20210421,163.33756536744528
20210422,172.5016574975433
20210423,174.63001779502892
20210426,179.2987821951085
20210427,184.9233575594542
20210428,186.54055090474455
20210429,187.2432678440412
20210430,195.23570850662637
20210506,196.0521322490787
20210507,195.76986608305643
20210510,201.28394949515126
20210511,203.2410726143118
20210512,201.53647898619195
20210513,195.41212523226787
20210514,186.26788789450782
20210517,177.12195560021007
20210518,169.08358751212123
20210519,165.61938203508623
20210520,156.8069075328046
20210521,154.51381382635282
20210524,154.76265840545597
20210525,157.70909080235367
20210526,158.4066379081154
20210527,154.17479861669688
20210528,154.45012287523477
20210531,155.68061177978086
20210601,154.86333229398505
20210602,152.34408287707907
20210603,152.68740615514028
20210604,148.00541151566088
20210607,141.558516959103
20210608,132.47941483343058
20210609,132.6149209238777
20210610,137.89641313952612
20210611,137.7647900431537
20210615,136.29142511558894
20210616,130.03601835522616
20210617,129.9994321032135
20210618,127.49731073159792
20210621,123.11090082440124
20210622,120.33013515326468
20210623,116.40463169838043
20210624,120.3050713389824
20210625,124.29903484466543
20210628,127.78634436319722
20210629,136.50407248864977
20210630,144.18260183683293
20210701,148.0440322936261
20210702,153.40460784798134
20210705,163.11746683513744
20210706,164.76887247857178
20210707,163.2746562073844
20210708,163.0125244282016
20210709,162.06940614324137
20210712,160.1765521314938
20210713,164.1230647698679
20210714,162.50948792763634
20210715,167.00908068679476
20210716,172.60518063662488
20210719,181.38714480194227
20210720,183.91311968573876
20210721,185.23038420287216
20210722,186.0442592738985
20210723,186.41720174525085
20210726,191.88880412210014
20210727,195.40497268674224
20210728,204.27072402619712
20210729,212.82186469195827
20210730,217.9941411181017
20210802,212.32989590332633
20210803,206.46623435364583
20210804,196.86309000319804
20210805,192.75199205518
20210806,195.7029017293719
20210809,195.17463865930304
20210810,194.05458257623988
20210811,196.46633626623282
20210812,201.90003460816334
20210813,204.4019817821996
20210816,209.8468692067206
20210817,212.96290158304785
20210818,220.97471653497854
20210819,222.79066695576734
20210820,216.05303272890086
20210823,215.9878714434699
20210824,216.76200369500998
20210825,223.78394539984797
20210826,224.7352386288827
20210827,224.04821813137244
20210830,231.86687098760268
20210831,236.40174650723964
20210901,242.70086104408807
20210902,244.04032803259884
20210903,244.53227810421325
20210906,246.062648385082
20210907,247.58581858952667
20210908,256.01257962633883
20210909,258.09123919730183
20210910,255.2109865107059
20210913,241.64190305585345
20210914,235.04945958724392
20210915,229.43849323335564
20210916,235.82781764279144
20210917,233.15546028573127
20210922,229.60783571713037
20210923,226.50554846984105
20210924,224.54986845190726
20210927,220.37654594613497
20210928,213.26572603757762
20210929,207.29036251787912
20210930,204.29778607665085
20211008,195.88606268160714
20211011,189.09564773811192
20211012,187.14656117180783
20211013,178.6128669301905
20211014,171.69972089051439
20211015,161.5719542392757
20211018,161.5392842865787
20211019,158.8412465922273
20211020,148.1276847090917
20211021,143.8672343753536
20211022,136.49177939986475
20211025,131.25398436767702
20211026,123.36047572020323
20211027,122.46700533486563
20211028,119.78747573275294
20211029,121.7384528289777
20211101,121.6202020257699
20211102,126.1373163065125
20211103,130.03699342465248
20211104,135.04195895794368
20211105,141.38571289025296
20211108,144.63089310027036
20211109,143.59957243225185
20211110,147.135200546582
20211111,147.90536445269814
20211112,150.61058817406823
20211115,151.8255652841482
20211116,151.5005539867161
20211117,154.73327741835132
20211118,155.0965039190136
20211119,149.57049003642004
20211122,144.13377827945308
20211123,138.13698539970534
20211124,134.94581627311078
20211125,136.77490881217832
20211126,137.93586024057666
20211129,138.21450227950317
20211130,140.06259376193813
20211201,139.46147433198038
20211202,138.0135839592629
20211203,141.09435730948059
20211206,141.15274975175052
20211207,144.58790508017225
20211208,147.83673775281778
20211209,152.80564320550639
20211210,159.0968606422362
20211213,163.68642092642582
20211214,164.9808104211718
20211215,169.17009303734957
20211216,171.38410228783044
20211217,176.27558263161555
20211220,174.642775564923
20211221,174.37886399599273
20211222,180.14626712607586
20211223,186.95751602673897
20211224,190.69593815776028
20211227,190.77696408960173
20211228,194.32769083892768
20211229,196.1341480582863
20211230,188.44909466656273
20211231,185.51783020392372
20220104,182.74096908509472
20220105,184.700238973862
20220106,185.41960849567025
20220107,190.89789774583704
20220110,198.00134262463627
20220111,204.26720857896268
20220112,203.60774480539018
20220113,206.27623907928148
20220114,215.979586017569
20220117,221.7143592542195
20220118,227.79557524309328
20220119,232.2369406879403
20220120,236.2840119513196
20220121,237.30434807895256
20220124,228.92667044600506
20220125,222.5589328791606
20220126,220.36963532317148
20220127,216.72927854463006
20220128,214.07114471591396
20220207,211.19944782827918
20220208,210.35434107067067
20220209,207.5985357545432
20220210,206.10913479370072
20220211,203.75836165105667
20220214,201.55507639169173
20220215,198.66848557849136
20220216,192.5757617813662
20220217,187.0877395525182
20220218,180.85937314115696
20220221,182.385085081813
20220222,179.88498690075065
20220223,178.41604361720567
20220224,177.05538179356932
20220225,168.73603865877797
20220228,173.96458290337253
20220301,178.31505418232535
20220302,184.8885198448394
20220303,186.5979535873232
20220304,187.92299532904252
20220307,186.35672501705534
20220308,183.4162456128959
20220309,180.35195326391158
20220310,174.96678189119666
20220311,168.56301602435465
20220314,165.15298682005582
20220315,154.40451856602058
20220316,149.03993023102396
20220317,145.14471955795892
20220318,141.01447285296717
20220321,133.59712390933623
20220322,124.18245374834636
20220323,116.92800901465473
20220324,112.25499957609225
20220325,109.09360728600177
20220328,108.8796327651929
20220329,106.97168956386632
20220330,111.10269848390914
20220331,120.10370873842751
20220401,124.10445465061046
20220406,132.2619916718947
20220407,137.3284138793378
20220408,143.2061564513991
20220411,150.5473553763583
20220412,155.17026598034073
20220413,159.74969067616203
20220414,163.55337915006356
20220415,170.12866850156558
20220418,171.89687403290569
20220419,171.77385910774234
20220420,171.77369848421486
20220421,168.96428954528827
20220422,169.5807616662584
20220425,167.440421334924
20220426,164.8110837845198
20220427,163.1866307670485
20220428,157.12266894109018
20220429,154.66790704582195
20220505,149.17871281156005
20220506,144.9942519877974
20220509,144.6221722227092
20220510,146.92774898810725
20220511,145.60595206800824
20220512,147.40236426005708
20220513,145.25040525292127
20220516,146.77339328075612
20220517,147.19372119509825
20220518,156.2863900812213
20220519,158.4306554768406
20220520,162.925177802608
20220523,159.95572089177938
20220524,153.6740410991383
20220525,152.5127979671378
20220526,151.85343089026776
20220527,152.9211907045605
20220530,147.35451079543236
20220531,145.50206893858848
20220601,148.15313657259244
20220602,147.00377789348136
20220606,155.57833602379316
20220607,165.0009595042882
20220608,168.939945255063
20220609,171.58565465041895
20220610,176.01749990068012
20220613,173.60485349346638
20220614,173.68968926441437
20220615,168.9874465711807
20220616,159.50551740112263
20220617,153.928936290837
20220620,145.5478558818085
20220621,143.95615670733415
20220622,144.34159478624008
20220623,146.36190828520077
20220624,140.01673081337918
20220627,139.12274691371502
20220628,137.67877978872312
20220629,131.19961225384975
20220630,126.80205169865829
20220701,124.90945635869424
20220704,129.5499136840132
20220705,132.3123001983787
20220706,136.8777841714342
20220707,140.1597578785037
20220708,141.3205189636939
20220711,146.82525283328633
20220712,153.94703947366543
20220713,160.62323571193406
20220714,164.77755643740426
20220715,164.78992057876135
20220718,158.95976428357778
20220719,159.097269736652
20220720,155.83284336504693
20220721,151.30218169549923
20220722,147.33760730252195
20220725,146.46253317480188
20220726,142.17167774392462
20220727,142.47657971528088
20220728,138.5804024593339
20220729,134.24721722923778
20220801,132.25636822713608
20220802,131.33678598783283
20220803,137.8803568861011
20220804,139.81381750297004
20220805,135.37248989938746
20220808,133.58768162577854
20220809,130.5697730658974
20220810,126.43042758996451
20220811,126.99004112087383
20220812,128.13594459315595
20220815,134.46472475287104
20220816,138.98332826290036
20220817,138.7997312488514
20220818,136.87385155621882
20220819,131.14328550434274
20220822,132.27102631844218
20220823,134.0677393065575
20220824,134.4204402401896
20220825,139.61099480089285
20220826,144.82071035650137
20220829,150.51834452818997
20220830,153.14406144497693
