,dailyPnl,Agriculture,Energy,Ferrous,NonFerrous,Precious,cumulativePnl
20110908,0.4132378888844989,0.22025688966408521,0.01638496606605796,0.04518106945336492,0.04940596127117012,0.08200900242982077,4.762018304455651
20110909,0.18012806128932626,0.07858020611059682,0.0015295604789120891,-0.021239405114477562,-0.028958581239171208,0.15021628105346613,4.942146365744978
20110913,-0.2684877732281756,-0.5156370757256533,0.051278948740855264,0.042540215480289564,0.3784977392730593,-0.22516760099672634,4.673658592516802
20110914,0.10764340655004753,-0.36929376105543726,0.06674824612637584,0.03839035800126209,0.377910023672969,-0.006111460195122218,4.78130199906685
20110915,-0.04338460847335978,0.05999159528858218,0.0060044350825327565,-0.023268049479380975,-0.02128689697718804,-0.0648256923879057,4.73791739059349
20110916,-0.891023544388183,-0.28765477887677116,-0.10817983408613929,-0.03552560629879172,-0.23633828573491555,-0.22332503939156534,3.8468938462053073
20110919,1.5183738897331875,-0.4981483971533492,0.34447563612888665,0.11507426680426505,1.273728871884738,0.2832435120686469,5.365267735938495
20110920,-0.03847340455694176,0.16142407763112293,0.0007323417454180289,0.02535663157287476,-0.02038491547342654,-0.20560154003293088,5.326794331381554
20110921,-0.676381433718017,-0.5172493625942531,-0.06379157133535673,-0.06560659389009971,-0.1752390694902926,0.14550516359198537,4.650412897663537
20110922,1.0732679233180904,-0.7285484220664887,0.35619638677596416,0.16116138333498478,1.4648692322714738,-0.1804106569978436,5.7236808209816274
20110923,0.9888727934879756,-1.4218324942112188,0.22879444634143004,0.16916817390483704,2.1403083685341286,-0.1275657010812007,6.712553614469603
20110926,1.6171113608105534,-1.0457716675070345,0.5352427414247031,0.31955299523569913,2.239774865576401,-0.43168757391921514,8.329664975280156
20110927,-2.16670470313834,0.47979301297738775,-0.6186687345710161,-0.15999865841324068,-1.8585168432860466,-0.009313479845424084,6.162960272141817
20110928,-0.29103942244373543,-0.2921040604737868,0.05538193129249523,0.13576059606913976,-0.18742764619151006,-0.002650243140073558,5.871920849698081
20110929,1.2695059942761469,-0.18546730727700234,0.43556112749002696,0.3745853387960448,0.701784667902055,-0.05695783263497753,7.141426843974228
20110930,-1.5356632354357855,-0.034564070220904894,-0.31475713993686605,-0.1455213905157237,-1.0559628665058358,0.015142231743544931,5.605763608538442
20111010,0.5774547611645423,0.1883860252656357,0.14432001491632931,0.057256252956990425,0.18845026338072443,-0.0009577953551376045,6.183218369702985
20111011,-0.08514340241358764,0.024531893270916146,-0.05358551935941791,-0.02834854035041413,-0.006319579246365939,-0.021421656728305843,6.0980749672893975
20111012,-1.019396135183851,-0.5930344774944835,-0.1401845421539954,-0.1088741274207078,-0.16867201488581957,-0.008630973228844716,5.078678832105546
20111013,0.3139739861211371,-0.122313796431145,0.2553963890990516,0.1123375879095167,0.06268904220209134,0.005864763341622454,5.392652818226684
20111014,-0.6281345638320541,-0.2591754113925401,-0.2110578028940322,0.020378819892468807,-0.1845688995732858,0.006288730135335181,4.76451825439463
20111017,0.56771145123212,-0.0005882651905536351,0.013528181028998916,0.5288724136945019,0.05620380632280381,-0.03030468462363099,5.33222970562675
20111018,2.3540499121487435,0.8899951181137756,0.46349921441139325,0.351996101090731,0.5437826593882519,0.10477681914459161,7.686279617775494
20111019,0.07638132492002773,-0.24328636167128148,0.17133913918552038,0.14778998059522258,-0.0617389219490097,0.06227748875957593,7.762660942695521
20111020,2.8743744550942907,0.8835753411654337,0.599433005221463,0.5766072984095431,0.6283586284163314,0.18640018188151977,10.637035397789813
20111021,-1.0555558685562416,-0.5679496051673175,0.048161326703615066,-0.16898736969798128,-0.3138524858984498,-0.05292773449610798,9.58147952923357
20111024,-2.5771500223822144,-0.5693852187734804,-0.7662270090041543,-0.40540129769218963,-0.6610179453178523,-0.1751185515945378,7.004329506851356
20111025,-0.23105249430012423,-0.10267536575130763,-0.20014430594364918,0.10846163281971385,-0.05299212118556347,0.016297665760682225,6.773277012551231
20111026,-0.37652218408609406,0.05633542834148133,-0.03153881487146152,-0.04635620195841983,0.006310705892668327,-0.36127330149036235,6.396754828465137
20111027,-0.7018007715019103,-0.3462960546392143,-0.18096082295058674,-0.009954966234429987,-0.1286772368820413,-0.03591169079563795,5.694954056963226
20111028,-0.3758339413154988,0.15739882686223175,-0.05547734481028154,-0.20212748074606587,-0.2061543878345557,-0.0694735547868275,5.319120115647728
20111031,0.9192766598208593,0.34397915613811714,0.2641225263545882,0.03523753336879146,0.127476989489576,0.14846045446978623,6.238396775468587
20111101,0.25452411908026107,-0.019076751461051904,0.08228047102453806,0.13934362086098026,0.053122518581469526,-0.0011457399256748564,6.492920894548848
20111102,-0.5020534832673603,-0.20647618933350423,-0.17334323259998738,-0.0052633411635837745,-0.023372185545433313,-0.09359853462485164,5.990867411281488
20111103,0.7519729164466045,0.19941442830153944,0.2280915507936458,0.08576790913031045,0.24421396577623,-0.005514937555121222,6.742840327728092
20111104,-1.2268809416368194,-0.12749349311821143,-0.2556795562866031,-0.23108704693085796,-0.42090059698714366,-0.1917202483140031,5.515959386091272
20111107,0.5160629691657656,0.19654132191329923,0.1978958212900454,0.028143945828221686,0.17703539796592538,-0.08355351783172606,6.032022355257038
20111108,-0.08074609164341325,0.04279722226601166,0.018575995794435807,-0.06422923721322447,0.041933531997072435,-0.1198236044877087,5.951276263613624
20111109,-0.0685739193623992,-0.041612552988322504,0.028633310511888763,-0.025363351344310326,-0.06984202767157834,0.03961070212992318,5.882702344251225
20111110,1.3981722023832475,0.24257038357688612,0.23496076639340607,0.14554467471508764,0.5333767533891757,0.24171962430869207,7.280874546634473
20111111,-0.5559207881538544,-0.07072320851983721,-0.06558195137119519,-0.13828792728090744,-0.179337464780876,-0.10199023620103864,6.724953758480618
20111114,-0.6552614467863072,-0.0901966292005626,-0.13023783652278562,-0.035845314433074815,-0.23081460131357467,-0.16816706531630934,6.069692311694311
20111115,0.2628911276553871,-0.02745966782354162,0.038321047402419164,0.028245823240158077,0.07789476778002616,0.14588915705632532,6.3325834393496985
20111116,0.20079708038906735,0.09307018567639985,0.015989520968813023,0.0018465197555624267,0.0626618427202676,0.027229011268024406,6.533380519738766
20111117,-0.10800125654278735,-0.046202345334221254,-0.05537851733274805,-0.01876299370053977,0.014641159692350206,-0.002298559867628484,6.425379263195978
20111118,0.42180010171599136,0.08212427406475938,-0.013505437066614093,-0.00902069062871428,0.005694351674368652,0.35650760367219164,6.84717936491197
20111121,0.09534147582349707,0.05602643688462163,0.016668621595412804,-0.005604471676067704,0.03414982232061322,-0.005898933301082872,6.942520840735467
20111122,0.32334792723098343,0.05150866475011415,-0.03316261117919348,-0.00897771186562707,0.03648973425152564,0.2774898512741642,7.265868767966451
20111123,-0.22712807980310165,0.04364319700192055,-0.014495920065132275,-0.04264127436477016,-0.03915482222079929,-0.1744792601543205,7.038740688163349
20111124,0.10131288654062053,0.0025568717266574626,0.04350140558847404,-0.00833484604207552,-0.02134160743424882,0.08493106270181336,7.14005357470397
20111125,0.09944418918251645,0.0755658116927706,0.03046559056950365,-0.03437347913017395,-0.06233538838546652,0.09012165443588269,7.239497763886487
20111128,-0.0005842999432074676,-0.07387564369337851,0.00941473283264725,0.001110180729668854,0.2532976517396295,-0.19053122155177457,7.2389134639432795
20111129,-0.07945426763754289,0.0027049670526280017,-0.04158697601423725,0.04479879909787294,-0.030429882548730167,-0.054941175225076425,7.159459196305737
20111130,-0.08662555490777656,0.005317276469834674,-0.04846897851530689,0.04639521697343551,-0.0667291407314412,-0.023139929104298653,7.072833641397961
20111201,0.4358259367046472,0.017468843331718636,0.2398025376467219,0.12708539258394605,0.29005769918725194,-0.23858853604499128,7.508659578102608
20111202,-0.057905123210148915,0.032647371967444466,0.021345426290734746,-0.053898143757839564,-0.055534500482365516,-0.0024652772281230396,7.45075445489246
20111205,0.025209308444113687,0.033873392667486873,-0.014851559661464508,0.02278542441525033,-0.020709893482053213,0.004111944504894205,7.475963763336574
20111206,0.1561740016274852,0.04760445724664285,-0.026107149559631955,-0.11491457264651314,-0.010493537039969076,0.2600848036269565,7.6321377649640585
20111207,0.10954357398491141,0.04535397449461367,0.052731271826690095,0.033784686831453394,0.12831049685960752,-0.15063685602745325,7.74168133894897
20111208,-0.189515243343171,-0.014490247307862357,-0.015413385943085132,-0.04930789702116665,-0.03829669062989079,-0.07200702244116608,7.552166095605799
20111209,0.046369456225904666,-0.016607990491002138,-0.12670273859228842,0.0027527167324103274,-0.09617164281186456,0.28309911138864946,7.598535551831704
20111212,-0.057129910804176245,-0.0023605171847120533,-0.09297633702212432,-0.13353444036245216,-0.02284211605330137,0.19458349981841364,7.541405641027528
20111213,0.1569421601044125,-0.0638501653781443,-0.02751535705612129,-0.004375981250395755,-0.07453492904939642,0.32721859283847027,7.69834780113194
20111214,-0.04222942803832109,0.020198491645984827,0.004539779910729417,-0.050666449900683884,-0.11391172426308067,0.09761047456872923,7.656118373093619
20111215,0.0339922702323878,-0.07693217660682161,-0.2391046147185477,-0.14358193040620618,-0.20481035183478247,0.6984213437987457,7.690110643326007
20111216,0.6395752702905942,0.29036465313355364,0.22106234606247394,0.2966820847446691,0.13636687283686771,-0.3049006864869702,8.329685913616602
20111219,-0.2257651958337805,0.009113379740368105,-0.10251296384375212,-0.029660309025426313,-0.11697330173700056,0.014267999032030399,8.103920717782822
20111220,0.06698805147982553,0.03490086370147941,0.06390360162046653,0.035583624905545154,-0.008642602656412236,-0.05875743609125332,8.170908769262647
20111221,-0.01375427906128594,-0.0767603054153915,0.1616371769314995,0.0268810455449875,0.08200049191575004,-0.20751268803813153,8.15715449020136
20111222,0.31761596869613345,0.09553018933807536,0.004539331465666233,0.047199876730695166,0.04632254506866777,0.12402402609302896,8.474770458897494
20111223,0.4450220415952026,0.1602798696213989,0.13952398637357113,0.0012178099511797934,0.11970450070409314,0.02429587494495965,8.919792500492695
20111226,-0.3650121533619299,0.0203855463964299,-0.22915476797429318,-0.0629139779253178,-0.23623698004540297,0.14290802618665416,8.554780347130766
20111227,-0.016232456883377686,-0.09053020806676647,0.011083002116462843,0.018998645240161552,3.705992954502037e-05,0.04417904389721935,8.538547890247388
