,GMV
20210407,140.85309397620222
20210408,143.566247664402
20210409,148.09393471669816
20210412,149.92910406039553
20210413,152.97541228746266
20210414,152.87533231860613
20210415,150.16457124984095
20210416,149.19943063234268
20210419,149.5814576267381
20210420,151.5073328233276
20210421,152.92495569634585
20210422,157.0549793539102
20210423,159.47738200274313
20210426,161.17851607571075
20210427,164.5504164467032
20210428,168.6487518895514
20210429,173.59340729587512
20210430,181.2430804139062
20210506,185.56550797609094
20210507,185.31169619632482
20210510,184.77833174554385
20210511,188.27883684709337
20210512,188.05981751617023
20210513,186.38194212872764
20210514,183.26711893213852
20210517,178.23079578489725
20210518,176.27363467428765
20210519,175.99282845451702
20210520,178.52799613674506
20210521,179.6505771849231
20210524,183.7921471421891
20210525,188.5063894318979
20210526,192.52944411751326
20210527,192.53002966755068
20210528,189.89219985878674
20210531,184.11431272812365
20210601,176.17168591401426
20210602,166.81618872623713
20210603,163.22101892582035
20210604,160.10124848077626
20210607,155.98781537207586
20210608,156.91425681498572
20210609,159.65444395319767
20210610,164.24357922387605
20210611,165.73492545734703
20210615,165.00703727933578
20210616,163.68822775065928
20210617,162.54375737488067
20210618,160.61827438235468
20210621,159.7279337112599
20210622,154.4868767963979
20210623,150.04467651672152
20210624,146.51275934006316
20210625,144.13022388194295
20210628,142.75009921338125
20210629,140.2193226771253
20210630,139.62338864364733
20210701,139.77042536164055
20210702,139.4250312934219
20210705,141.7255256739863
20210706,143.85224170080855
20210707,143.65926445347503
20210708,143.69540788652867
20210709,141.44019207699588
20210712,138.2178693811948
20210713,137.08328384085874
20210714,136.2821097186629
20210715,133.59320604320538
20210716,135.49889915419232
20210719,138.14608016962802
20210720,145.3199090074625
20210721,151.66430571499728
20210722,156.99829520838028
20210723,162.59619801901772
20210726,165.43672046128688
20210727,167.2466003468516
20210728,163.15533414328917
20210729,166.09209016953784
20210730,166.6054241622507
20210802,169.49477902700139
20210803,171.91308419454845
20210804,180.2260328819313
20210805,188.10692440772726
20210806,190.3783183721924
20210809,194.29714926697827
20210810,199.67711203817225
20210811,203.31123051580894
20210812,205.9695116585902
20210813,208.4931018078304
20210816,210.58458006086332
20210817,215.86161031727246
20210818,218.1463081273676
20210819,221.88533744540607
20210820,224.85502178344726
20210823,228.2863289716767
20210824,233.17146779333063
20210825,234.37166909557058
20210826,235.5898195151066
