,HC.SHF,I.DCE,J.DCE,JM.DCE,RB.SHF,SF.ZCE,SM.ZCE,SS.SHF
20180212,24.188114965101498,12.440803628691697,-12.700898711485314,11.248161611406806,-25.930005033769238,-13.808651460616888,15.48998867772289,0.0
20180213,24.106501266617457,12.585995123116087,-12.771676393010924,11.814683855274552,-26.33961019363569,-14.12867503022007,15.648180560170847,0.0
20180214,24.053784099256436,12.594028135525896,-12.804662649600186,12.274717032706558,-26.88837457348051,-14.215000020035786,15.71293301386946,0.0
20180222,23.625396612447616,12.62653059294675,-12.794371223450941,12.692365699230857,-26.58397723177168,-14.847978819922346,16.048439529357093,0.0
20180223,23.458133833624156,12.598712626993565,-12.72796245919848,12.997926673459542,-26.0172920636901,-15.361825842558519,16.515173929739472,0.0
20180226,22.591626927611507,12.586622247445005,-12.574686895233885,13.366813231483826,-25.011706970478663,-15.947181673834686,17.098524893375888,0.0
20180227,21.879557656219177,13.057645516690329,-12.446602377284773,13.660768309616689,-24.223098894130874,-16.479095612320286,17.552120366525834,0.0
20180228,21.318480281289542,13.407891151686472,-12.244933609644992,13.786012897505472,-23.578164787358205,-16.91896075359476,17.851541079489383,0.0
20180301,20.904845247871393,13.77194944564282,-12.234482284942976,13.989886856874651,-23.097067767139755,-17.204204025716205,18.100910535009263,0.0
20180302,20.566193336980028,14.2522457323007,-12.251578398762788,14.263986457563023,-22.743117949520542,-17.67132986623837,18.59476625984603,0.0
20180305,19.978906202795613,14.087513475806878,-12.035942692000766,14.441932731956157,-22.11132542373948,-17.391134970966053,18.776445604019987,0.0
20180306,19.53602637966616,13.962185567918915,-11.894064350979399,14.592728327184265,-21.63061079055843,-17.153080455284194,18.846741581227317,0.0
20180307,18.799931384402612,13.925225246610939,-11.682793424412834,14.458147576933714,-20.88432698353175,-16.864067606667643,18.19797726650829,0.0
20180308,18.12764981673905,13.584750982467293,-11.442947662417945,14.234295580006425,-19.93372888606641,-16.652238259173302,17.648312220160406,0.0
20180309,17.55497530600282,13.132692090798278,-11.110649285010448,14.334143542489182,-19.009226859578742,-16.10328017517576,17.04025443608729,0.0
20180312,17.061771656400065,12.939009724810589,-11.038466847401924,14.5947757987944,-18.25844266318439,-15.702878409376815,16.72556405035968,0.0
20180313,16.66000935213332,12.785089280267263,-10.976760989680418,14.783583084718682,-17.647744111286954,-15.388305758358557,16.47900208616392,0.0
20180314,16.248817167403296,12.543031397744524,-10.928905138845254,14.418518558755824,-17.066141559439043,-15.157960081257404,16.283188451003056,0.0
