,Simple_PnL,Position_Factor,Compound_PnL_Rate,Compound_Net_Value,Drawdown,Max_Drawdown
20211231,0.0982548414975814,0.5,0.0006140927593598838,1.8606447320273483,0.07641305726267411,0.09102342593912305
20220104,-0.6025287118877066,0.5,-0.003765804449298166,1.8536379078169165,0.07989110508094799,0.09102342593912305
20220105,0.7228024582149263,0.5,0.0045175153638432886,1.8620117455444818,0.07573449901174234,0.09102342593912305
20220106,-0.7624014877628986,0.5,-0.004765009298518116,1.8531392422630124,0.08013863271825084,0.09102342593912305
20220107,0.7999022622331965,0.3,0.002999633483374487,1.8586979807834596,0.07737938576088998,0.09102342593912305
20220110,0.1682983647515605,0.5,0.001051864779697253,1.8606530797255403,0.07640891363174918,0.09102342593912305
20220111,-0.0947627523512876,0.5,-0.0005922672021955475,1.8595510759317548,0.07695592634044512,0.09102342593912305
20220112,0.7415862199341856,0.5,0.00463491387458866,1.8681699350140972,0.07267769655658363,0.09102342593912305
20220113,-0.3217778984709648,0.5,-0.0020111118654435297,1.8644128362911254,0.07454264544412914,0.09102342593912305
20220114,-0.8290665221789963,0.5,-0.0051816657636187275,1.8547520721280644,0.07933805613392053,0.09102342593912305
20220117,-1.0898072756314254,0.5,-0.006811295472696409,1.842118807736204,0.08560895666405943,0.09102342593912305
20220118,0.6607281722543735,0.3,0.0024777306459539006,1.8466830819596198,0.08334334195360038,0.09102342593912305
20220119,1.045541504417638,0.3,0.003920780641566142,1.8539235212384748,0.07974933227376935,0.09102342593912305
20220120,0.8742462075976662,0.5,0.005464038797485414,1.8640534312860926,0.0747210469219014,0.09102342593912305
20220121,0.5639090456181991,0.5,0.0035244315351137443,1.8706231599824543,0.07145996460089588,0.09102342593912305
20220124,-1.106727145388279,0.5,-0.006917044658676743,1.8576839760453008,0.0778827174931207,0.09102342593912305
20220125,-0.5943910611332942,0.5,-0.003714944132083089,1.8507827838592266,0.08130833168086204,0.09102342593912305
20220126,1.792492440317778,0.3,0.0067218466511916675,1.8632234619169938,0.07513302716669334,0.09102342593912305
20220127,0.8044052061465735,0.5,0.005027532538416084,1.872590878498122,0.07048322836706744,0.09102342593912305
20220128,1.221485678972839,0.5,0.007634285493580244,1.8868867718772508,0.06338703196135065,0.09102342593912305
20220207,5.501254132413202,0.5,0.03438283832758251,1.9517632946971606,0.031183619705760446,0.09102342593912305
20220208,-1.155060271525555,0.8,-0.01155060271525555,1.9292192522858955,0.042374032818571106,0.09102342593912305
20220209,-1.4645032537411051,0.8,-0.014645032537411052,1.9009657735643688,0.05639849626661286,0.09102342593912305
20220210,1.850529957211337,0.5,0.011565812232570857,1.922951986761958,0.04548497845206101,0.09102342593912305
20220211,-1.504354860419688,0.8,-0.01504354860419688,1.8940239650855675,0.05984427157215344,0.09102342593912305
20220214,0.4105072067591059,0.5,0.002565670042244412,1.8988834056320807,0.05743214218468162,0.09102342593912305
20220215,-0.792812719432915,0.5,-0.004955079496455719,1.8894742874026733,0.0621026408509604,0.09102342593912305
20220216,-0.9254787891844096,0.5,-0.00578424243240256,1.8785451100545452,0.06752766655298859,0.09102342593912305
20220217,-0.2839270792688075,0.5,-0.0017745442454300468,1.8752115486397172,0.0691823799663297,0.09102342593912305
20220218,0.624017728889296,0.5,0.0039001108055580994,1.8825250814632741,0.0655520881084325,0.09102342593912305
20220221,-0.3231310876989929,0.5,-0.0020195692981187056,1.8787231916058125,0.06743927042197995,0.09102342593912305
20220222,1.649098392254157,0.5,0.010306864951588482,1.8980869378231109,0.05782749292306444,0.09102342593912305
20220223,-0.1727004774658127,0.5,-0.0010793779841613295,1.8960381845704004,0.05884445318448539,0.09102342593912305
