trade_date,CF.ZCE,SR.ZCE
20231103,1.9033985960025712e-06,1.5384892713163957e-06
20231106,1.9080885612671117e-06,1.5467467007878223e-06
20231107,1.95007658886715e-06,1.563390728506214e-06
20231108,1.9783876470655372e-06,1.589274523359608e-06
20231109,1.999405256094927e-06,1.608634374124128e-06
20231110,2.0129403183150613e-06,1.62580303231237e-06
20231113,2.0132384011688458e-06,1.6337427406937811e-06
20231114,2.000815730223353e-06,1.6353515594249587e-06
20231115,1.994050201578439e-06,1.633485836551571e-06
20231116,1.9760399429649718e-06,1.6410807164686324e-06
20231117,1.993215223606833e-06,1.653428659979683e-06
20231120,2.017612657203767e-06,1.7001618670728034e-06
20231121,2.0110181472310365e-06,1.7451181623161284e-06
20231122,1.9868942708307273e-06,1.7922737727953622e-06
20231123,1.957105267985942e-06,1.8226412122272548e-06
20231124,1.935744080978901e-06,1.8368888228323416e-06
20231127,1.9304397121618826e-06,1.8614515626282864e-06
20231128,1.949563822300062e-06,1.912815882845167e-06
20231129,1.9930811180276352e-06,1.957017443529697e-06
20231130,2.043905171548619e-06,2.00058211645014e-06
20231201,2.0802365322016218e-06,2.0512071044601717e-06
20231204,2.1094477135549513e-06,2.0940726562526216e-06
20231205,2.1093666173256943e-06,2.128106912112259e-06
20231206,2.0964372119006064e-06,2.1256521709340374e-06
20231207,2.0880941940138772e-06,2.120029084987588e-06
20231208,2.077870011471923e-06,2.0927271741110697e-06
20231211,2.070059385039433e-06,2.0771611788797684e-06
20231212,2.070003570598337e-06,2.0687834660932646e-06
20231213,2.0726504131811186e-06,2.053720743420413e-06
20231214,2.076685929960687e-06,2.0413416810206775e-06
20231215,2.059874287482732e-06,2.0217261377569403e-06
20231218,2.0433287725644494e-06,1.9991411889462175e-06
20231219,2.1267325217153897e-06,1.963426900741483e-06
20231220,2.240787493324857e-06,1.920057719988728e-06
20231221,2.3426020008956627e-06,1.8816159059847822e-06
20231222,2.436691929544142e-06,1.856022032528584e-06
20231225,2.564737539730504e-06,1.8304029033413464e-06
20231226,2.6522024749093865e-06,1.800239206978527e-06
20231227,2.7143240795332307e-06,1.7772960658440276e-06
20231228,2.756578802593518e-06,1.7557490601209585e-06
20231229,2.7652513848728504e-06,1.7531449183687343e-06
20240102,2.802952052174708e-06,1.7473694419862843e-06
20240103,2.8302582956649847e-06,1.741583969187713e-06
20240104,2.904808660740953e-06,1.7677602190912022e-06
20240105,2.9604293759927823e-06,1.812322489680396e-06
20240108,3.038882933870662e-06,1.8787487161197777e-06
20240109,3.095196456776406e-06,1.946082601546415e-06
20240110,3.1204340721932067e-06,1.9723842118515086e-06
20240111,3.1344411846217297e-06,1.9915972816641834e-06
20240112,3.146157237639953e-06,2.005910188188789e-06
20240115,3.1466033029522204e-06,2.009477084486018e-06
20240116,3.1715870489977843e-06,2.02046939702296e-06
20240117,3.158196696000521e-06,2.1192504053334122e-06
20240118,3.01146558167014e-06,2.22261189330043e-06
20240119,2.8887631771161828e-06,2.296845660676282e-06
20240122,2.792005236551009e-06,2.3503310953176035e-06
20240123,2.69775091914965e-06,2.3687658626996464e-06
20240124,2.6235842582102954e-06,2.394423646484917e-06
20240125,2.550513651653557e-06,2.414949456238544e-06
20240126,2.463594993143701e-06,2.382898506498165e-06
20240129,2.405787542424244e-06,2.300280545414913e-06
20240130,2.363243438192007e-06,2.230122233208634e-06
20240131,2.3188294368654735e-06,2.1809229863030687e-06
20240201,2.2668873690112707e-06,2.128086507688074e-06
20240202,2.2237650658805187e-06,2.079447820163025e-06
20240205,2.191696006126537e-06,2.027721353362267e-06
20240206,2.169125106379058e-06,1.971469971228718e-06
20240207,2.150215149926105e-06,2.0009272037871438e-06
