trade_date,"{'fast_n': 5, 'slow_n': 20}","{'fast_n': 10, 'slow_n': 40}","{'fast_n': 10, 'slow_n': 60}","{'fast_n': 20, 'slow_n': 40}","{'fast_n': 20, 'slow_n': 60}","{'fast_n': 30, 'slow_n': 60}"
20130426,0.0036033843020411363,-0.006453113701527211,0.00696905875271854,-0.004183598301217332,0.00938255917315653,0.013489284740572264
20130502,0.0880018133839315,0.10914465303069339,0.21233965356635892,0.06274203406547588,0.16748330596269473,0.14167143726991382
20130503,-0.05641403768165302,-0.0631989450613138,-0.11977689184607321,-0.0281695649170285,-0.08560265943107821,-0.07218041923966022
20130506,-0.07940853006796186,-0.13876435546442237,-0.22278303494778798,-0.09065387133228997,-0.17621046745578003,-0.13285093959429778
20130507,0.018384375795159717,0.05182710578615635,0.08678527983966206,0.03560290239068212,0.0710163408896794,0.053885714295272835
20130508,-0.052206788240637306,-0.13516082339111873,-0.21564636428383882,-0.09817786075420366,-0.179874051675067,-0.13335611696278318
20130509,0.028723930218678872,0.04627668777448592,0.07559353566157069,0.027636995903423178,0.057601499343595326,0.043861647890409104
20130510,-0.12262715839229028,-0.22054172267659425,-0.36218991614442847,-0.13176850754883582,-0.27641123262712647,-0.21089995362795794
20130513,0.011280604399635914,0.07087194602261977,0.11644036211355963,0.05689436048515845,0.10296589161433156,0.07698386609156112
20130514,0.007632749184988997,-0.03425117102920178,-0.06151397642090517,-0.03444937699469187,-0.06174383527088512,-0.04775925897289073
20130515,0.050592793306708635,0.16200644456855293,0.27832936082572846,0.10763966764689693,0.22603638737212653,0.16708962038959269
20130516,-0.020801204902898728,-0.08337515834200321,-0.1496300693860576,-0.05790812282434762,-0.1252111321489541,-0.09485059059176568
20130517,-0.006262443194208891,-0.07534772151105257,-0.14382832497244025,-0.05961278082166819,-0.1287156652582378,-0.1030947776465643
20130520,0.008661042112961204,0.012221258219604857,0.015284067103179925,0.005306702073661863,0.008586992395048159,0.0030599679081011917
20130521,0.011958550908985417,0.019088084481667773,0.020507550828315374,0.010171706219088647,0.011773942939471572,0.003697340756708436
20130522,-0.004724273280133287,-0.06302532557310038,-0.11923742746035969,-0.05426785621622868,-0.11084798961934242,-0.08374725409847966
20130523,0.0044492240018259915,0.05032591326037248,0.09472555134580235,0.04328297709322168,0.08797208772581087,0.06521959807252853
