Strategy/Factor Name,Robust Params,Rank,Mode,Plateau Verified,Annual Consistency,Sharpe @ Robust,POT @ Robust
OBV,{'N': 30},1,RAW,Yes,High,0.7571,124.9229
OBV,{'N': 30},1,STATE_MACHINE,Yes,High,0.3465,10.9944
OBV,{'N': 20},2,RAW,Yes,High,0.2147,23.9187
OBV,{'N': 20},2,STATE_MACHINE,Yes,High,0.4528,12.1466
OBV,{'N': 40},3,RAW,Yes,High,0.1801,15.217
OBV,{'N': 40},3,STATE_MACHINE,Yes,High,0.2847,10.5146
OpenInterestROC,{'N': 10},1,RAW,Yes,High,0.1788,4.7478
OpenInterestROC,{'N': 10},1,STATE_MACHINE,Yes,High,-0.1723,-3.7714
OpenInterestROC,{'N': 20},2,RAW,Yes,High,-0.2099,-7.7048
OpenInterestROC,{'N': 20},2,STATE_MACHINE,Yes,High,-0.3298,-10.5078
OpenInterestROC,{'N': 60},3,RAW,Yes,High,-0.3058,-22.4728
OpenInterestROC,{'N': 60},3,STATE_MACHINE,Yes,High,-0.2567,-15.1024
PriceOiDivergence,{'N': 10},1,RAW,Yes,High,0.0732,2.4032
PriceOiDivergence,{'N': 10},1,STATE_MACHINE,Yes,High,-0.2554,-4.4959
PriceOiDivergence,{'N': 20},2,RAW,Yes,High,0.0177,0.7761
PriceOiDivergence,{'N': 20},2,STATE_MACHINE,Yes,High,0.0813,2.1095
PriceOiDivergence,{'N': 30},3,RAW,Yes,High,-0.026,-1.4265
PriceOiDivergence,{'N': 30},3,STATE_MACHINE,Yes,High,0.1207,3.9942
PriceVolumeCorrelation,{'N': 20},1,RAW,Yes,High,-0.087,-3.3338
PriceVolumeCorrelation,{'N': 20},1,STATE_MACHINE,Yes,High,-0.1044,-3.4388
PriceVolumeCorrelation,{'N': 50},2,RAW,Yes,High,-0.1054,-5.7918
PriceVolumeCorrelation,{'N': 50},2,STATE_MACHINE,Yes,High,0.1371,6.7335
PriceVolumeCorrelation,{'N': 60},3,RAW,Yes,High,-0.121,-7.1705
PriceVolumeCorrelation,{'N': 60},3,STATE_MACHINE,Yes,High,0.0799,4.1273
VolumeMomentum,{'N': 40},1,RAW,Yes,High,0.0681,2.8627
VolumeMomentum,{'N': 40},1,STATE_MACHINE,Yes,High,-0.0308,-1.0924
VolumeMomentum,{'N': 10},2,RAW,Yes,High,0.0377,0.6101
VolumeMomentum,{'N': 10},2,STATE_MACHINE,Yes,High,-0.1809,-2.2206
VolumeMomentum,{'N': 60},3,RAW,Yes,High,-0.0053,-0.3354
VolumeMomentum,{'N': 60},3,STATE_MACHINE,Yes,High,-0.2101,-11.612
