trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,sub_mapping_ts_code,sub_pre_close,sub_pre_settle,sub_open,sub_high,sub_low,sub_close,sub_settle,sub_change1,sub_change2,sub_vol,sub_amount,sub_oi,sub_oi_chg,ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
20240605,103.55,103.535,103.56,103.65,103.56,103.645,103.64,0.11,0.105,41329.0,4282694.765,113199.0,4113.0,TF2409.CFX,TF2412.CFX,103.49,103.48,103.51,103.585,103.51,103.57,103.57,0.09,0.09,849.0,87920.395,4414.0,109.0,TF.CFX,,1.034119827328935,107.18134950350746,107.0934493181845,107.18652010264411,107.0934493181845,107.17617890437081
20240606,103.645,103.64,103.675,103.685,103.61,103.655,103.635,0.015,-0.005,33356.0,3457057.8,114111.0,912.0,TF2409.CFX,TF2412.CFX,103.57,103.57,103.59,103.605,103.54,103.6,103.58,0.03,0.01,780.0,80789.78,4412.0,-2.0,TF.CFX,,1.034119827328935,107.19169070178076,107.21237309832732,107.22271429660061,107.14515530955094,107.17100830523418
20240607,103.655,103.635,103.65,103.685,103.605,103.685,103.655,0.05,0.02,34945.0,3621730.4,115544.0,1433.0,TF2409.CFX,TF2412.CFX,103.6,103.58,103.565,103.62,103.55,103.62,103.595,0.04,0.015,1264.0,130929.33,4631.0,219.0,TF.CFX,,1.034119827328935,107.22271429660061,107.18652010264411,107.22271429660061,107.13998471041431,107.19169070178076
20240611,103.685,103.655,103.7,103.72,103.64,103.705,103.7,0.05,0.045,32500.0,3369913.68,117859.0,2315.0,TF2409.CFX,TF2412.CFX,103.62,103.595,103.625,103.65,103.595,103.63,103.63,0.035,0.035,915.0,94817.845,4685.0,54.0,TF.CFX,,1.034119827328935,107.24339669314719,107.23822609401056,107.25890849055713,107.17617890437081,107.23822609401056
20240612,103.705,103.7,103.72,103.72,103.61,103.645,103.63,-0.055,-0.07,51696.0,5358451.65,118520.0,661.0,TF2409.CFX,TF2412.CFX,103.63,103.63,103.64,103.64,103.565,103.59,103.575,-0.04,-0.055,1045.0,108256.365,4695.0,10.0,TF.CFX,,1.034119827328935,107.18134950350746,107.25890849055713,107.25890849055713,107.14515530955094,107.16583770609752
20240613,103.645,103.63,103.67,103.705,103.61,103.615,103.625,-0.015,-0.005,49849.0,5166662.555,113415.0,-5105.0,TF2409.CFX,TF2412.CFX,103.59,103.575,103.6,103.635,103.555,103.555,103.565,-0.02,-0.01,1265.0,131050.285,4915.0,220.0,TF.CFX,,1.034119827328935,107.15032590868759,107.20720249919069,107.24339669314719,107.14515530955094,107.16066710696089
20240614,103.615,103.625,103.645,103.67,103.59,103.63,103.615,0.005,-0.01,45802.0,4746019.235,110478.0,-2937.0,TF2409.CFX,TF2412.CFX,103.555,103.565,103.575,103.63,103.545,103.575,103.57,0.01,0.005,1446.0,149762.845,4828.0,-87.0,TF.CFX,,1.034119827328935,107.16583770609752,107.18134950350746,107.20720249919069,107.12447291300437,107.15032590868759
20240617,103.63,103.615,103.605,103.665,103.55,103.58,103.575,-0.035,-0.04,54486.0,5644582.55,111818.0,1340.0,TF2409.CFX,TF2412.CFX,103.575,103.57,103.56,103.615,103.515,103.54,103.54,-0.03,-0.03,1963.0,203277.425,4783.0,-45.0,TF.CFX,,1.034119827328935,107.11413171473107,107.13998471041431,107.20203190005405,107.0831081199112,107.10896111559444
20240618,103.58,103.575,103.6,103.695,103.6,103.665,103.68,0.09,0.105,49107.0,5090540.175,117927.0,6109.0,TF2409.CFX,TF2412.CFX,103.54,103.54,103.565,103.63,103.565,103.605,103.615,0.065,0.075,1724.0,178616.465,4795.0,12.0,TF.CFX,,1.034119827328935,107.20203190005405,107.13481411127765,107.2330554948739,107.13481411127765,107.21754369746398
20240619,103.665,103.68,103.7,103.79,103.64,103.79,103.765,0.11,0.085,48398.0,5019642.48,121401.0,3474.0,TF2409.CFX,TF2412.CFX,103.605,103.615,103.625,103.71,103.58,103.705,103.685,0.09,0.07,1260.0,130596.04,4843.0,48.0,TF.CFX,,1.034119827328935,107.33129687847017,107.23822609401056,107.33129687847017,107.17617890437081,107.30544388278693
20240620,103.79,103.765,103.79,103.805,103.74,103.77,103.77,0.005,0.005,31925.0,3312673.22,121472.0,71.0,TF2409.CFX,TF2412.CFX,103.705,103.685,103.715,103.725,103.675,103.7,103.705,0.015,0.02,736.0,76321.3,4852.0,9.0,TF.CFX,,1.034119827328935,107.31061448192358,107.33129687847017,107.3468086758801,107.27959088710371,107.31061448192358
20240621,103.77,103.77,103.72,103.755,103.655,103.74,103.73,-0.03,-0.04,50602.0,5247699.75,118854.0,-2618.0,TF2409.CFX,TF2412.CFX,103.7,103.705,103.655,103.685,103.6,103.66,103.66,-0.045,-0.045,1005.0,104159.26,4881.0,29.0,TF.CFX,,1.034119827328935,107.27959088710371,107.25890849055713,107.29510268451364,107.19169070178076,107.26924968883043
20240624,103.74,103.73,103.735,103.835,103.675,103.82,103.805,0.09,0.075,32529.0,3374971.82,121345.0,2491.0,TF2409.CFX,TF2412.CFX,103.66,103.66,103.65,103.77,103.6,103.76,103.73,0.1,0.07,772.0,80040.365,4954.0,73.0,TF.CFX,,1.034119827328935,107.36232047329001,107.27442028796706,107.37783227069995,107.21237309832732,107.3468086758801
20240625,103.82,103.805,103.865,103.905,103.84,103.9,103.865,0.095,0.06,30417.0,3159296.405,123772.0,2427.0,TF2409.CFX,TF2412.CFX,103.76,103.73,103.855,103.855,103.76,103.815,103.795,0.085,0.065,1237.0,128394.57,5265.0,311.0,TF.CFX,,1.034119827328935,107.44505005947634,107.40885586551983,107.45022065861299,107.3830028698366,107.40885586551983
20240626,103.9,103.865,103.91,103.925,103.86,103.895,103.89,0.03,0.025,24953.0,2592496.765,124191.0,419.0,TF2409.CFX,TF2412.CFX,103.815,103.795,103.825,103.865,103.795,103.83,103.835,0.035,0.04,700.0,72683.425,5277.0,12.0,TF.CFX,,1.034119827328935,107.4398794603397,107.45539125774962,107.47090305515955,107.40368526638318,107.43470886120305
20240627,103.895,103.89,103.9,104.035,103.89,103.98,103.995,0.09,0.105,34380.0,3574998.18,125395.0,1204.0,TF2409.CFX,TF2412.CFX,103.83,103.835,103.88,103.975,103.83,103.925,103.935,0.09,0.1,1119.0,116289.64,5533.0,256.0,TF.CFX,,1.034119827328935,107.52777964566266,107.44505005947634,107.58465623616574,107.43470886120305,107.54329144307259
20240628,103.98,103.995,104.0,104.04,103.96,104.005,104.01,0.01,0.015,29882.0,3107556.415,125196.0,-199.0,TF2409.CFX,TF2412.CFX,103.925,103.935,103.935,103.985,103.905,103.945,103.945,0.01,0.01,843.0,87613.59,5397.0,-136.0,TF.CFX,,1.034119827328935,107.55363264134587,107.54846204220924,107.58982683530239,107.50709724911607,107.55880324048253
20240701,104.005,104.01,104.04,104.09,103.735,103.765,103.785,-0.245,-0.225,57735.0,5998991.59,122638.0,-2558.0,TF2409.CFX,TF2412.CFX,103.945,103.945,103.93,104.03,103.7,103.715,103.74,-0.23,-0.205,2676.0,277936.44,5847.0,450.0,TF.CFX,,1.034119827328935,107.30544388278693,107.58982683530239,107.64153282666884,107.27442028796706,107.32612627933351
20240702,103.765,103.785,103.805,103.97,103.78,103.955,103.945,0.17,0.16,52521.0,5456729.11,121685.0,-953.0,TF2409.CFX,TF2412.CFX,103.715,103.74,103.755,103.905,103.75,103.895,103.89,0.155,0.15,1234.0,128154.445,5832.0,-15.0,TF.CFX,,1.034119827328935,107.50192664997942,107.3468086758801,107.51743844738937,107.32095568019687,107.49158545170613
20240703,103.955,103.945,103.93,104.05,103.92,104.045,104.025,0.1,0.08,41754.0,4342024.915,121059.0,-626.0,TF2409.CFX,TF2412.CFX,103.895,103.89,103.88,103.985,103.87,103.965,103.96,0.075,0.07,999.0,103833.29,5850.0,18.0,TF.CFX,,1.034119827328935,107.59499743443904,107.47607365429621,107.60016803357567,107.46573245602292,107.57431503789246
20240704,104.045,104.025,104.01,104.045,103.96,103.99,103.985,-0.035,-0.04,39040.0,4060142.045,120329.0,-730.0,TF2409.CFX,TF2412.CFX,103.965,103.96,103.955,103.975,103.9,103.92,103.915,-0.04,-0.045,1111.0,115476.235,5956.0,106.0,TF.CFX,,1.034119827328935,107.53812084393594,107.55880324048253,107.59499743443904,107.50709724911607,107.5329502447993
20240705,103.99,103.985,103.97,103.975,103.875,103.915,103.91,-0.07,-0.075,49983.0,5194624.045,115558.0,-4771.0,TF2409.CFX,TF2412.CFX,103.92,103.915,103.85,103.905,103.805,103.845,103.835,-0.07,-0.08,1415.0,146956.7,5946.0,-10.0,TF.CFX,,1.034119827328935,107.46056185688627,107.51743844738937,107.522609046526,107.41919706379312,107.45539125774962
20240708,103.915,103.91,103.78,103.79,103.61,103.715,103.71,-0.195,-0.2,75280.0,7805794.105,116840.0,1282.0,TF2409.CFX,TF2412.CFX,103.845,103.835,103.71,103.71,103.56,103.63,103.635,-0.205,-0.2,2683.0,278044.395,6091.0,145.0,TF.CFX,,1.034119827328935,107.25373789142049,107.32095568019687,107.33129687847017,107.14515530955094,107.24856729228384
20240709,103.715,103.71,103.8,103.865,103.775,103.83,103.84,0.12,0.13,44621.0,4633031.205,115375.0,-1465.0,TF2409.CFX,TF2412.CFX,103.63,103.635,103.72,103.775,103.705,103.745,103.745,0.11,0.11,1166.0,120965.845,6281.0,190.0,TF.CFX,,1.034119827328935,107.3726616715633,107.34163807674344,107.40885586551983,107.31578508106023,107.3830028698366
20240710,103.83,103.84,103.81,103.89,103.8,103.865,103.87,0.025,0.03,25935.0,2693312.26,116126.0,751.0,TF2409.CFX,TF2412.CFX,103.745,103.745,103.735,103.785,103.72,103.775,103.765,0.03,0.02,661.0,68584.09,6521.0,240.0,TF.CFX,,1.034119827328935,107.40885586551983,107.35197927501673,107.43470886120305,107.34163807674344,107.41402646465647
20240711,103.865,103.87,103.85,103.92,103.845,103.895,103.9,0.025,0.03,29601.0,3075192.92,119073.0,2947.0,TF2409.CFX,TF2412.CFX,103.775,103.765,103.77,103.815,103.755,103.8,103.785,0.035,0.02,1566.0,162527.37,7191.0,670.0,TF.CFX,,1.034119827328935,107.4398794603397,107.39334406810988,107.46573245602292,107.38817346897325,107.44505005947634
20240712,103.895,103.9,103.945,104.0,103.925,103.965,103.97,0.065,0.07,27317.0,2840080.82,119933.0,860.0,TF2409.CFX,TF2412.CFX,103.8,103.785,103.85,103.875,103.825,103.855,103.855,0.07,0.07,3963.0,411562.32,8788.0,1597.0,TF.CFX,,1.034119827328935,107.51226784825272,107.49158545170613,107.54846204220924,107.47090305515955,107.51743844738937
20240715,103.965,103.97,103.965,104.05,103.95,104.015,104.015,0.045,0.045,35235.0,3665068.11,121487.0,1554.0,TF2409.CFX,TF2412.CFX,103.855,103.855,103.88,103.945,103.84,103.895,103.89,0.04,0.035,4779.0,496556.495,10468.0,1680.0,TF.CFX,,1.034119827328935,107.56397383961917,107.51226784825272,107.60016803357567,107.49675605084279,107.56397383961917
20240716,104.015,104.015,104.025,104.065,103.94,104.05,104.03,0.035,0.015,30468.0,3169496.52,122274.0,787.0,TF2409.CFX,TF2412.CFX,103.895,103.89,103.925,103.95,103.83,103.935,103.915,0.045,0.025,1027.0,106712.405,10653.0,185.0,TF.CFX,,1.034119827328935,107.60016803357567,107.57431503789246,107.61567983098561,107.4864148525695,107.57948563702911
20240717,104.05,104.03,104.095,104.12,104.025,104.08,104.065,0.05,0.035,31338.0,3261259.775,123397.0,1123.0,TF2409.CFX,TF2412.CFX,103.935,103.915,103.94,103.995,103.92,103.965,103.95,0.05,0.035,765.0,79522.885,10687.0,34.0,TF.CFX,,1.034119827328935,107.63119162839554,107.64670342580548,107.67255642148871,107.57431503789246,107.61567983098561
20240718,104.08,104.065,104.06,104.09,103.995,104.025,104.025,-0.04,-0.04,29448.0,3063947.77,123244.0,-153.0,TF2409.CFX,TF2412.CFX,103.965,103.95,103.945,103.965,103.89,103.905,103.905,-0.045,-0.045,945.0,98209.905,10773.0,86.0,TF.CFX,,1.034119827328935,107.57431503789246,107.61050923184897,107.64153282666884,107.54329144307259,107.57431503789246
20240719,104.025,104.025,104.035,104.14,104.035,104.12,104.095,0.095,0.07,33642.0,3501295.85,125920.0,2676.0,TF2409.CFX,TF2412.CFX,103.905,103.905,103.925,104.0,103.925,103.995,103.965,0.09,0.06,615.0,63930.615,10871.0,98.0,TF.CFX,,1.034119827328935,107.67255642148871,107.58465623616574,107.69323881803528,107.58465623616574,107.64670342580548
20240722,104.12,104.095,104.21,104.365,104.17,104.31,104.315,0.215,0.22,56219.0,5862468.765,126696.0,776.0,TF2409.CFX,TF2412.CFX,103.995,103.965,104.07,104.22,104.05,104.175,104.18,0.21,0.215,1981.0,206352.825,11372.0,501.0,TF.CFX,,1.034119827328935,107.8690391886812,107.7656272059483,107.9259157791843,107.72426241285515,107.87420978781785
20240723,104.31,104.315,104.36,104.42,104.32,104.415,104.39,0.1,0.075,39923.0,4166538.84,125817.0,-879.0,TF2409.CFX,TF2412.CFX,104.175,104.18,104.23,104.28,104.185,104.28,104.255,0.1,0.075,1745.0,181866.795,11866.0,494.0,TF.CFX,,1.034119827328935,107.97762177055074,107.92074518004765,107.98279236968739,107.87938038695448,107.95176877486752
20240724,104.415,104.39,104.41,104.42,104.36,104.4,104.405,0.01,0.015,30908.0,3226467.36,126215.0,398.0,TF2409.CFX,TF2412.CFX,104.28,104.255,104.33,104.33,104.215,104.275,104.27,0.02,0.015,1876.0,195582.99,12249.0,383.0,TF.CFX,,1.034119827328935,107.96210997314081,107.9724511714141,107.98279236968739,107.92074518004765,107.96728057227745
20240725,104.4,104.405,104.465,104.485,104.33,104.35,104.35,-0.055,-0.055,52539.0,5485279.885,126888.0,673.0,TF2409.CFX,TF2412.CFX,104.275,104.27,104.31,104.36,104.205,104.215,104.215,-0.055,-0.055,3706.0,386419.675,12427.0,178.0,TF.CFX,,1.034119827328935,107.91040398177435,108.02932776191719,108.05001015846376,107.88972158522778,107.91040398177435
20240726,104.35,104.35,104.4,104.44,104.365,104.425,104.41,0.075,0.06,40105.0,4187408.29,131965.0,5077.0,TF2409.CFX,TF2412.CFX,104.215,104.215,104.225,104.3,104.225,104.295,104.285,0.08,0.07,3407.0,355281.65,13567.0,1140.0,TF.CFX,,1.034119827328935,107.98796296882402,107.96210997314081,108.00347476623396,107.9259157791843,107.9724511714141
20240729,104.425,104.41,104.425,104.45,104.385,104.43,104.43,0.02,0.02,36377.0,3798500.665,130486.0,-1479.0,TF2409.CFX,TF2412.CFX,104.295,104.285,104.31,104.33,104.265,104.315,104.305,0.03,0.02,3884.0,405101.33,14926.0,1359.0,TF.CFX,,1.034119827328935,107.99313356796068,107.98796296882402,108.01381596450726,107.94659817573088,107.99313356796068
20240730,104.43,104.43,104.475,104.485,104.385,104.46,104.435,0.03,0.005,38505.0,4021442.725,130835.0,349.0,TF2409.CFX,TF2412.CFX,104.315,104.305,104.345,104.38,104.265,104.33,104.31,0.025,0.005,3244.0,338416.64,15691.0,765.0,TF.CFX,,1.034119827328935,108.02415716278054,108.03966896019047,108.05001015846376,107.94659817573088,107.99830416709732
