ts_code,mapping_ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
NI.SHF,NI1509.SHF,20150709,81630.0,81780.0,75230.0,86050.0,75230.0,83600.0,81120.0,1820.0,-660.0,1040716.0,8442450.386,168800.0,-21428.0,,1.026093160737947,85781.38823769237,77192.98848231576,88295.31648150035,77192.98848231576,83236.67719906227
NI.SHF,NI1509.SHF,20150710,83600.0,81120.0,84100.0,85170.0,82950.0,84570.0,84200.0,3450.0,3080.0,552370.0,4651185.802,180276.0,11476.0,,1.026093160737947,86776.69860360818,86294.43481806135,87392.35450005095,85114.4276832127,86397.04413413514
NI.SHF,NI1509.SHF,20150713,84570.0,84200.0,84040.0,84170.0,80600.0,82250.0,82590.0,-1950.0,-1610.0,771510.0,6372204.224,189886.0,9610.0,,1.026093160737947,84396.16247069614,86232.86922841707,86366.261339313,82703.10875547853,84745.03414534705
NI.SHF,NI1509.SHF,20150714,82250.0,82590.0,84510.0,85800.0,83680.0,84500.0,84820.0,1910.0,2230.0,831348.0,7051833.372,186378.0,-3508.0,,1.026093160737947,86704.87208235652,86715.1330139639,88038.79319131585,85863.47569055141,87033.22189379267
NI.SHF,NI1509.SHF,20150715,84500.0,84820.0,84880.0,87120.0,84330.0,86970.0,85840.0,2150.0,1020.0,859920.0,7382398.442,187520.0,1142.0,,1.026093160737947,89239.32218937927,87094.78748343694,89393.23616348996,86530.43624503107,88079.83691774539
NI.SHF,NI1509.SHF,20150716,86970.0,85840.0,86850.0,87240.0,83630.0,85430.0,85220.0,-410.0,-620.0,949108.0,8088842.532,182376.0,-5144.0,,1.026093160737947,87659.13872184281,89116.19101009071,89516.36734277851,85812.17103251451,87443.65915808784
NI.SHF,NI1509.SHF,20150717,85430.0,85220.0,84680.0,85760.0,84620.0,85600.0,85210.0,380.0,-10.0,589592.0,5024300.924,182418.0,42.0,,1.026093160737947,87833.57455916826,86889.56885128935,87997.74946488634,86828.00326164508,87433.39822648047
NI.SHF,NI1509.SHF,20150720,85600.0,85210.0,84800.0,85660.0,84450.0,85320.0,85100.0,110.0,-110.0,574774.0,4891561.54,188630.0,6212.0,,1.026093160737947,87546.26847416164,87012.70003057791,87895.14014881254,86653.56742431963,87320.52797879929
NI.SHF,NI1509.SHF,20150721,85320.0,85100.0,85480.0,87950.0,85260.0,87870.0,86360.0,2770.0,1260.0,608876.0,5258482.644,195552.0,6922.0,,1.026093160737947,90162.80603404342,87710.44337987971,90244.89348690244,87484.70288451736,88613.40536132912
NI.SHF,NI1509.SHF,20150722,87870.0,86360.0,87670.0,87880.0,84530.0,85220.0,86630.0,-1140.0,270.0,737564.0,6389948.136,183214.0,-12338.0,,1.026093160737947,87443.65915808784,89957.58740189583,90173.0669656508,86735.65487717866,88890.45051472836
NI.SHF,NI1509.SHF,20150723,85220.0,86630.0,85300.0,85620.0,83700.0,84410.0,84800.0,-2220.0,-1830.0,701378.0,5948327.298,185200.0,1986.0,,1.026093160737947,86612.52369789011,87525.74661094688,87854.09642238302,85883.99755376617,87012.70003057791
NI.SHF,NI1509.SHF,20150724,84410.0,84800.0,84190.0,84880.0,82900.0,83360.0,84040.0,-1440.0,-760.0,696550.0,5853891.622,186720.0,1520.0,,1.026093160737947,85535.12587911526,86386.78320252776,87094.78748343694,85063.12302517581,86232.86922841707
NI.SHF,NI1509.SHF,20150727,83360.0,84040.0,83290.0,84950.0,82620.0,82650.0,83790.0,-1390.0,-250.0,631090.0,5288247.476,188830.0,2110.0,,1.026093160737947,84806.59973499132,85463.29935786361,87166.6140046886,84775.81694016918,85976.34593823258
NI.SHF,NI1509.SHF,20150728,82650.0,83790.0,81300.0,83420.0,81150.0,82740.0,82120.0,-1050.0,-1670.0,594918.0,4885560.36,177788.0,-11042.0,,1.026093160737947,84898.94811945774,83421.3739679951,85596.69146875954,83267.4599938844,84262.77035980021
NI.SHF,NI1509.SHF,20150729,82740.0,82120.0,83300.0,84770.0,83110.0,84330.0,83920.0,2210.0,1800.0,519938.0,4363443.174,162950.0,-14838.0,,1.026093160737947,86530.43624503107,85473.56028947099,86981.91723575577,85278.60258893078,86109.73804912851
NI.SHF,NI1509.SHF,20150730,84330.0,83920.0,83590.0,84420.0,82500.0,82620.0,83620.0,-1300.0,-300.0,564582.0,4721179.27,170372.0,7422.0,,1.026093160737947,84775.81694016918,85771.12730608499,86622.78462949749,84652.68576088063,85801.91010090713
NI.SHF,NI1509.SHF,20150731,82620.0,83620.0,82000.0,83000.0,81720.0,81780.0,82450.0,-1840.0,-1170.0,480272.0,3959952.108,177058.0,6686.0,,1.026093160737947,83913.89868514931,84139.63918051166,85165.7323412496,83852.33309550503,84601.38110284373
NI.SHF,NI1509.SHF,20150803,81780.0,82450.0,82200.0,83180.0,80160.0,80340.0,81790.0,-2110.0,-660.0,516712.0,4226477.782,175340.0,-1718.0,,1.026093160737947,82436.32453368667,84344.85781265925,85350.42911018243,82251.62776475384,83924.15961675669
NI.SHF,NI1509.SHF,20150804,80340.0,81790.0,80350.0,81220.0,79800.0,81100.0,80500.0,-690.0,-1290.0,441778.0,3556424.702,160924.0,-14416.0,,1.026093160737947,83216.1553358475,82446.58546529405,83339.28651513606,81882.23422688818,82600.49943940474
NI.SHF,NI1509.SHF,20150805,81100.0,80500.0,81300.0,81800.0,80290.0,81190.0,81060.0,690.0,560.0,319588.0,2590630.88,152420.0,-8504.0,,1.026093160737947,83308.50372031392,83421.3739679951,83934.42054836407,82385.01987564977,83175.11160941799
NI.SHF,NI1509.SHF,20150806,81190.0,81060.0,81500.0,81640.0,80500.0,80780.0,81020.0,-280.0,-40.0,329536.0,2670093.316,147734.0,-4686.0,,1.026093160737947,82887.80552441136,83626.59260014269,83770.245642646,82600.49943940474,83134.06788298847
NI.SHF,NI1509.SHF,20150807,80780.0,81020.0,80700.0,81130.0,79930.0,80700.0,80540.0,-320.0,-480.0,364892.0,2939166.146,148768.0,1034.0,,1.026093160737947,82805.71807155233,82805.71807155233,83246.93813066965,82015.62633778411,82641.54316583426
NI.SHF,NI1509.SHF,20150810,80700.0,80540.0,80620.0,82490.0,80280.0,82200.0,81040.0,1660.0,500.0,337824.0,2737854.636,139708.0,-9060.0,,1.026093160737947,84344.85781265925,82723.63061869329,84642.42482927325,82374.75894404239,83154.58974620323
NI.SHF,NI1509.SHF,20150811,82200.0,81040.0,82190.0,84300.0,81980.0,82370.0,83050.0,1330.0,2010.0,514684.0,4274618.264,123886.0,-15822.0,,1.026093160737947,84519.2936499847,84334.59688105187,86499.65345020893,84119.1173172969,85217.0369992865
NI.SHF,NI1509.SHF,20150812,82370.0,83050.0,81240.0,82840.0,80050.0,82690.0,81750.0,-360.0,-1300.0,506474.0,4140869.97,116000.0,-7886.0,,1.026093160737947,84847.64346142084,83359.80837835082,85001.55743553153,82138.75751707266,83883.11589032717
NI.SHF,NI1601.SHF,20150813,83400.0,82490.0,83600.0,84340.0,82600.0,83490.0,83530.0,1000.0,1040.0,168638.0,1408731.612,113984.0,9624.0,82690.0,1.016261150573971,84847.64346142083,84959.43218798397,85711.46543940871,83943.17103741,84888.29390744379
NI.SHF,NI1601.SHF,20150814,83490.0,83530.0,83350.0,83430.0,82200.0,82300.0,82790.0,-1230.0,-740.0,135632.0,1122942.958,124732.0,10748.0,,1.016261150573971,83638.29269223781,84705.36690034048,84786.66779238639,83536.66657718041,84136.26065601905
NI.SHF,NI1601.SHF,20150817,82300.0,82790.0,82800.0,83200.0,82230.0,82880.0,82730.0,90.0,-60.0,132144.0,1093308.814,126786.0,2054.0,,1.016261150573971,84227.72415957072,84146.42326752479,84552.92772775439,83567.15441169763,84075.28498698461
NI.SHF,NI1601.SHF,20150818,82880.0,82730.0,82880.0,83250.0,81100.0,81130.0,82470.0,-1600.0,-260.0,180354.0,1487453.814,142650.0,15864.0,,1.016261150573971,82449.26714606627,84227.72415957072,84603.74078528308,82418.77931154905,83811.05708783538
