trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
20230621,6608.0,6615.4,6598.6,6601.0,6489.0,6489.0,6509.0,-126.4,-106.4,14258.0,1864148.828,70129.0,1114.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6927.403564720333,7044.408254301678,7046.970400788861,6927.403564720333,6948.754785446856
20230626,6489.0,6509.0,6452.6,6483.0,6373.8,6399.6,6390.2,-109.4,-118.8,16155.0,2074930.164,71384.0,1255.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6831.963608072776,6888.544342998061,6920.998198502376,6804.420533335562,6821.92853433131
20230627,6399.6,6390.2,6410.0,6468.2,6396.6,6440.0,6445.6,49.8,55.4,12918.0,1662967.992,69561.0,-1823.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6875.093073940352,6843.0662428505675,6905.198295164749,6828.760924963798,6881.071415743779
20230628,6440.0,6445.6,6432.6,6436.8,6331.0,6430.6,6421.4,-15.0,-24.2,14777.0,1886939.296,70705.0,1144.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6865.0580001988865,6867.193122271539,6871.676878624108,6758.728920980802,6855.236438664686
20230629,6430.6,6421.4,6422.6,6475.0,6415.0,6455.4,6461.2,34.0,39.8,10533.0,1358455.732,67740.0,-2965.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6891.533513899774,6856.517511908278,6912.457710211767,6848.404048032198,6897.725367910466
20230630,6455.4,6461.2,6451.6,6558.8,6446.4,6537.8,6536.4,76.6,75.2,10691.0,1393900.004,66515.0,-1225.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6979.500543293049,6887.4767819617355,7001.919325055898,6881.925464572839,6978.0059578421915
20230703,6537.8,6536.4,6559.0,6589.0,6524.0,6546.2,6549.0,9.8,12.6,10143.0,1329718.936,66134.0,-381.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6988.468055998188,7002.132837263163,7034.159668352947,6964.768200991748,6991.457226899902
20230704,6546.2,6549.0,6545.2,6575.0,6545.0,6572.8,6565.8,23.8,16.8,6113.0,802296.616,64618.0,-1516.0,IM2309.CFX,IM.CFX,,1.0675610363261416,7016.865179564464,6987.400494961862,7019.213813844382,6987.186982754597,7009.392252310181
20230705,6572.8,6565.8,6562.0,6576.4,6514.2,6528.6,6529.0,-37.2,-36.8,7744.0,1013845.168,64863.0,245.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6969.678981758849,7005.335520372141,7020.7083992952375,6954.3061028357515,6970.106006173379
20230706,6528.6,6529.0,6523.0,6566.0,6494.6,6498.8,6504.4,-30.2,-24.6,9585.0,1250620.488,65466.0,603.0,IM2309.CFX,IM.CFX,,1.0675610363261416,6937.865662876329,6963.700639955422,7009.605764517446,6933.381906523759,6943.844004679755
