trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,sub_mapping_ts_code,sub_pre_close,sub_pre_settle,sub_open,sub_high,sub_low,sub_close,sub_settle,sub_change1,sub_change2,sub_vol,sub_amount,sub_oi,sub_oi_chg,ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
20250121,12975.0,13130.0,12985.0,13210.0,12980.0,13165.0,13100.0,35.0,-30.0,198171.0,1298167.43,168711.0,-17807.0,SS2503.SHF,SS2505.SHF,12960.0,13090.0,12980.0,13155.0,12970.0,13100.0,13065.0,10.0,-25.0,66825.0,436536.04,93629.0,-4419.0,SS.SHF,,1.5608626598796311,20548.756917315342,20267.80163853701,20618.995737009926,20259.99732523761,20447.300844423167
20250122,13165.0,13100.0,13170.0,13205.0,13110.0,13170.0,13160.0,70.0,60.0,131992.0,868574.87,160031.0,-8680.0,SS2503.SHF,SS2505.SHF,13100.0,13065.0,13100.0,13140.0,13065.0,13115.0,13105.0,50.0,40.0,44589.0,292206.02,91277.0,-2352.0,SS.SHF,,1.5608626598796311,20556.56123061474,20556.56123061474,20611.19142371053,20462.909471021965,20540.952604015947
20250123,13170.0,13160.0,13150.0,13160.0,13015.0,13060.0,13070.0,-100.0,-90.0,134886.0,881691.86,150943.0,-9088.0,SS2503.SHF,SS2505.SHF,13115.0,13105.0,13100.0,13105.0,12990.0,12995.0,13025.0,-110.0,-80.0,55234.0,359757.85,95412.0,4135.0,SS.SHF,,1.5608626598796311,20384.866338027983,20525.34397741715,20540.952604015947,20314.6275183334,20400.474964626777
20250124,13060.0,13070.0,13040.0,13085.0,12975.0,13040.0,13025.0,-30.0,-45.0,134337.0,875193.64,135697.0,-15246.0,SS2503.SHF,SS2505.SHF,12995.0,13025.0,13015.0,13035.0,12945.0,12990.0,12980.0,-35.0,-45.0,50476.0,327651.44,97039.0,1627.0,SS.SHF,,1.5608626598796311,20353.64908483039,20353.64908483039,20423.887904524974,20252.193011938212,20330.236144932194
20250127,13040.0,13025.0,13060.0,13465.0,13030.0,13330.0,13255.0,305.0,230.0,219963.0,1458058.82,114350.0,-21347.0,SS2503.SHF,SS2505.SHF,12990.0,12980.0,13010.0,13215.0,12985.0,13130.0,13110.0,150.0,130.0,91655.0,600876.97,97412.0,373.0,SS.SHF,,1.5608626598796311,20806.29925619548,20384.866338027983,21017.015715279234,20338.040458231593,20689.234556704512
20250205,13330.0,13255.0,13330.0,13415.0,13265.0,13370.0,13350.0,115.0,95.0,87049.0,581211.73,118641.0,4291.0,SS2503.SHF,SS2505.SHF,13130.0,13110.0,13115.0,13170.0,13060.0,13145.0,13125.0,35.0,15.0,44867.0,294444.41,95000.0,-2412.0,SS.SHF,,1.5608626598796311,20868.73376259067,20806.29925619548,20938.972582285252,20704.843183303306,20837.516509393077
20250206,13370.0,13350.0,13355.0,13475.0,13350.0,13440.0,13405.0,90.0,55.0,94903.0,636321.49,123596.0,4955.0,SS2503.SHF,SS2505.SHF,13145.0,13125.0,13160.0,13240.0,13140.0,13220.0,13195.0,95.0,70.0,56525.0,372961.35,102980.0,7980.0,SS.SHF,,1.5608626598796311,20977.994148782243,20845.320822692473,21032.62434187803,20837.516509393077,20923.363955686455
20250207,13440.0,13405.0,13415.0,13440.0,13370.0,13400.0,13405.0,-5.0,0.0,73788.0,494621.71,125764.0,2168.0,SS2503.SHF,SS2505.SHF,13220.0,13195.0,13220.0,13240.0,13175.0,13195.0,13205.0,0.0,10.0,50998.0,336796.98,108708.0,5728.0,SS.SHF,,1.5608626598796311,20915.559642387056,20938.972582285252,20977.994148782243,20868.73376259067,20923.363955686455
20250210,13400.0,13405.0,13400.0,13415.0,13270.0,13340.0,13340.0,-65.0,-65.0,97215.0,648596.7,123066.0,-2698.0,SS2503.SHF,SS2505.SHF,13195.0,13205.0,13220.0,13220.0,13100.0,13170.0,13160.0,-35.0,-45.0,64668.0,425551.93,112945.0,4237.0,SS.SHF,,1.5608626598796311,20821.90788279428,20915.559642387056,20938.972582285252,20712.647496602705,20821.90788279428
20250211,13340.0,13340.0,13330.0,13345.0,13135.0,13200.0,13230.0,-140.0,-110.0,108856.0,720217.7,120981.0,-2085.0,SS2503.SHF,SS2505.SHF,13170.0,13160.0,13170.0,13175.0,13020.0,13050.0,13090.0,-110.0,-70.0,77990.0,510484.16,120526.0,7581.0,SS.SHF,,1.5608626598796311,20603.38711041113,20806.29925619548,20829.71219609368,20501.931037518956,20650.21299020752
20250212,13050.0,13090.0,13030.0,13055.0,13000.0,13040.0,13025.0,-50.0,-65.0,52198.0,340022.12,124731.0,4205.0,SS2505.SHF,SS2503.SHF,13200.0,13230.0,13190.0,13195.0,13110.0,13160.0,13150.0,-70.0,-80.0,57083.0,375403.75,119665.0,-1316.0,SS.SHF,13160.0,1.5752264266883393,20540.952604015944,20525.200339749063,20564.58100041627,20477.943546948412,20517.32420761562
20250213,13040.0,13025.0,13040.0,13170.0,13035.0,13090.0,13110.0,65.0,85.0,106763.0,700062.69,131297.0,6566.0,SS2505.SHF,SS2506.SHF,13080.0,13075.0,13095.0,13210.0,13090.0,13140.0,13160.0,65.0,85.0,2167.0,14261.86,3739.0,140.0,SS.SHF,,1.5752264266883393,20619.713925350363,20540.952604015944,20745.73203948543,20533.076471882505,20651.21845388413
20250214,13090.0,13110.0,13080.0,13120.0,13020.0,13090.0,13065.0,-20.0,-45.0,111743.0,730012.53,139801.0,8504.0,SS2505.SHF,SS2506.SHF,13140.0,13160.0,13160.0,13175.0,13075.0,13125.0,13115.0,-35.0,-45.0,2640.0,17318.3,4265.0,526.0,SS.SHF,,1.5752264266883393,20619.713925350363,20603.96166108348,20666.970718151013,20509.448075482178,20580.333264683155
20250217,13090.0,13065.0,13115.0,13140.0,13000.0,13045.0,13060.0,-20.0,-5.0,108507.0,708645.82,147280.0,7479.0,SS2505.SHF,SS2506.SHF,13125.0,13115.0,13095.0,13185.0,13070.0,13115.0,13125.0,0.0,10.0,2626.0,17235.55,4692.0,427.0,SS.SHF,,1.5752264266883393,20548.828736149386,20659.09458601757,20698.47524668478,20477.943546948412,20572.457132549713
20250218,13045.0,13060.0,13035.0,13090.0,13025.0,13065.0,13055.0,5.0,-5.0,79255.0,517478.53,150089.0,2809.0,SS2505.SHF,SS2506.SHF,13115.0,13125.0,13095.0,13150.0,13075.0,13125.0,13115.0,0.0,-10.0,1515.0,9936.88,4836.0,144.0,SS.SHF,,1.5752264266883393,20580.333264683155,20533.076471882505,20619.713925350363,20517.32420761562,20564.58100041627
20250219,13065.0,13055.0,13050.0,13155.0,13035.0,13125.0,13095.0,70.0,40.0,123284.0,807386.58,150734.0,645.0,SS2505.SHF,SS2506.SHF,13125.0,13115.0,13135.0,13220.0,13100.0,13175.0,13170.0,60.0,55.0,2974.0,19588.18,5927.0,1091.0,SS.SHF,,1.5752264266883393,20674.846850284455,20556.704868282828,20722.103643085105,20533.076471882505,20627.590057483805
20250220,13125.0,13095.0,13115.0,13250.0,13110.0,13245.0,13180.0,150.0,85.0,143354.0,944934.31,161537.0,10803.0,SS2505.SHF,SS2506.SHF,13175.0,13170.0,13150.0,13305.0,13150.0,13300.0,13225.0,130.0,55.0,5626.0,37214.49,7263.0,1336.0,SS.SHF,,1.5752264266883393,20863.874021487056,20659.09458601757,20871.750153620495,20651.21845388413,20761.484303752313
