,A.DCE,AP.ZCE,B.DCE,C.DCE,CF.ZCE,CS.DCE,JD.DCE,LH.DCE,M.DCE,OI.ZCE,P.DCE,RM.ZCE,SR.ZCE,UR.ZCE,Y.DCE
20200507,12.216467081026897,-1.0795459131474365,-7.548377270415153,38.80152721219198,-9.443772821499005,30.525261426621856,-7.477984698158983,0.0,4.660573277562404,-14.7978067521281,-8.38758428206402,8.674670118551616,-15.474615672353517,-13.362082331332983,-12.917132589795601
20200508,12.498213713520956,0.36038603773236,-8.47741155305868,37.91043439124855,-9.515226160500525,30.622054558948307,-7.564253581361556,0.0,7.4814578599788275,-15.426285547414007,-8.43245708781662,9.581457876591914,-15.034819939122233,-14.178893701188057,-13.051088976078017
20200511,12.710536929525707,1.5080000271403755,-9.42933422660787,37.06915245486583,-9.707115778180198,30.3280863496671,-7.6334008928070585,0.0,2.4230111410990056,-15.939103476553786,-8.532577302047684,10.345349066414741,-14.694593185324345,-14.928912243301411,-13.21617783842429
20200512,12.88643901774287,2.4422605586366086,-10.198518711817126,36.38724805828824,-9.85234275081502,30.10130875137725,-7.714056204147718,0.0,2.05079292994921,-16.660041397310543,-8.630488818044647,10.983702858200436,-14.355675317095606,-15.251032425989742,-13.452578689275734
20200513,13.030127818471897,3.1909701105837747,-10.848108979355516,35.81769729122664,-9.971390854141994,29.807363121298135,-7.786865076559035,0.0,1.7463400787745142,-13.570435479402162,-8.741916922480662,11.50223471182256,-14.07844786342298,-15.525996545261245,-10.958413310991425
20200514,12.820158103281718,3.795886874614763,-11.296686294033963,35.31426303775561,-10.12404630642335,29.520949666900076,-7.842182872500442,0.0,-2.2021753957489127,-11.041930559383891,-8.843456779093593,11.929725929073383,-13.756280961430482,-15.745324855738488,-11.518618724121179
20200515,12.66129191495312,4.299026267251941,-11.776392365496214,34.656038341944694,-10.22272901309113,29.04037796806497,-7.884215450101658,0.0,-5.42871324045857,-8.972681233194463,-8.81267762659648,12.287025845152089,-13.493421174820996,-15.872219447645628,-9.378853982413307
20200518,13.1683547395326,4.725382521166511,-12.067063597218615,33.9443606824003,-10.300099916912066,28.75204031313082,-8.015215631967894,0.0,-7.6873132741912436,-7.280830378802242,-8.775878522711794,12.479208776905592,-13.276541529543648,-16.01458131891445,-7.627817007794688
20200519,13.699790681723389,5.113704131903758,-12.317583001496107,33.35121401528726,-10.3525204083001,28.520155917637965,-8.136287006769004,0.0,-9.862245415251268,-5.894857710034129,-8.807982366733432,12.856451672924422,-13.005298954166458,-16.018975306806773,-6.195150528411708
20200520,14.325494168264257,5.415083481916712,-12.469837455087191,32.76183797229655,-8.434553541192228,28.037716161951543,-8.349328047807495,0.0,-8.003808715852411,-4.7587791496654885,-8.903847013254609,13.164740125330386,-12.777501765595247,-15.992229188648968,-5.022871242114076
