Strategy/Factor Name,Robust Params,Rank,RAW_Sharpe,RAW_POT,SM_Sharpe,SM_POT
VIXFix,{'N': 10},2,-0.0467,-3.5595,-0.0073,-0.8602
VIXFix,{'N': 20},3,-0.1115,-9.9189,-0.0073,-0.8616
CMF,{'N': 40},1,0.8121,37.3129,0.5679,19.7
CMF,{'N': 30},2,0.7648,32.1126,0.6287,20.3393
CMF,{'N': 50},3,0.7088,34.1783,0.492,17.4812
OBV,{'N': 40},1,0.0973,9.2332,0.237,5.6252
OBV,{'N': 20},2,-0.1311,-9.8174,0.2106,3.6913
OBV,{'N': 10},3,-0.1657,-13.59,0.195,2.4538
OpenInterestROC,{'N': 30},1,0.3479,48.5491,0.162,6.6528
OpenInterestROC,{'N': 60},2,0.3016,100.5531,0.007,0.5287
OpenInterestROC,{'N': 40},3,0.1215,24.8916,0.1258,6.2307
PriceOiDivergence,{'N': 60},1,0.3259,21.2015,0.5155,23.5823
PriceOiDivergence,{'N': 10},2,0.2513,8.1033,0.4631,6.7382
PriceOiDivergence,{'N': 50},3,0.1065,6.3467,0.1939,7.9014
PriceVolumeCorrelation,{'N': 10},1,0.1373,3.5109,-0.063,-1.2971
PriceVolumeCorrelation,{'N': 30},2,0.0145,0.6798,-0.1033,-3.7716
PriceVolumeCorrelation,{'N': 20},3,0.0007,0.0257,-0.153,-4.7069
VolumeMomentum,{'N': 60},1,0.5305,45.8116,0.2879,17.1656
VolumeMomentum,{'N': 50},2,0.3942,29.6167,0.149,7.4544
VolumeMomentum,{'N': 40},3,0.3184,20.8719,0.0283,1.1019
