trade_date,ZN.SHF,PB.SHF,NI.SHF,SN.SHF,AO.SHF,AD.SHF
20160315,86.69251010657268,102.35913694620001,65.95296418100176,66.47317711024166,,
20160316,88.24479632356736,104.61175609741402,65.50337272546041,65.09530723392184,,
20160317,88.91489458862954,105.6143938827647,65.11415827205933,63.96792821823394,,
20160318,90.22394875462344,107.31816832853886,64.46764567001793,62.67368026191853,,
20160321,93.49112435146549,110.66397294134896,63.76976903275477,61.14207482570428,,
20160322,96.38451424078467,117.90873232327306,63.1669299450858,60.157638267506115,,
20160323,99.96988417838001,123.8663788256772,62.67067760580434,59.3753632657974,,
20160324,101.97071477343252,128.62540742204047,62.38861857961524,58.6713484760628,,
20160325,104.16774786647923,133.23963064986967,62.21408954978527,58.14629815921351,,
20160328,106.19852701111884,137.05176543515253,62.057832492912176,56.91048720548889,,
20160329,107.72692253168267,140.14636386092494,62.060655977083094,55.893828376753135,,
20160330,111.06900689130659,138.86370065907604,61.85465787138469,54.4576405726708,,
20160331,113.99128752939221,138.66673786735245,61.7295383982201,53.99626193427812,,
20160401,112.79172514560356,137.29916025554544,62.82661989429981,54.130249754334315,,
20160405,111.89847837241871,135.47422175910359,65.53204645362219,54.358642803688205,,
20160406,110.33309940592078,134.29690247636154,67.57448973048609,54.73699823661217,,
20160407,110.07927153002748,134.4242253935337,71.69555281346027,56.216856055408,,
20160408,108.4601796202993,132.72205545356346,74.950143942801,57.5043835891207,,
20160411,107.105070324751,131.68934571099646,77.28596705033311,57.98726707424471,,
20160412,105.90490366169172,130.7042872070919,78.71751038321031,58.35343310376332,,
20160413,99.36802204037839,125.36251895316086,79.49951931111285,58.36300909539839,,
20160414,94.13874972588164,121.05199320593246,80.1117883722273,58.26894539064123,,
20160415,90.0880027509888,118.13729494638301,80.54099287607312,58.169972027921276,,
20160418,87.14802829945714,115.7788510686519,81.74003148459478,58.61276434202369,,
20160419,84.63704256741293,113.77385808781604,85.43145835978562,59.94318801477434,,
20160420,82.56608493990885,110.98050438412642,87.965037366041,61.06181263321417,,
20160421,80.75548945426482,108.71347334211913,87.77747494235626,61.21659798135156,,
20160422,78.94495869051069,106.78062195125332,85.38932933114427,60.66900778636846,,
20160425,77.45889931699756,105.13095387084799,83.4498028454951,60.18267439396646,,
