,dailyPnl,Precious,cumulativePnl
20100617,0.6499719673400306,0.6499719673400306,6.2134916656508565
20100618,0.519327678961075,0.519327678961075,6.732819344611931
20100621,0.6414522595051444,0.6414522595051444,7.374271604117076
20100622,-1.1961958482836579,-1.1961958482836579,6.178075755833418
20100623,0.17835107938467631,0.17835107938467631,6.356426835218095
20100624,-0.281844593436348,-0.281844593436348,6.074582241781747
20100625,0.46922095764111443,0.46922095764111443,6.543803199422862
20100628,0.41449760927456614,0.41449760927456614,6.958300808697428
20100629,-0.9098168388261411,-0.9098168388261411,6.0484839698712864
20100630,0.3061378811704639,0.3061378811704639,6.354621851041751
20100701,-0.26021310106445217,-0.26021310106445217,6.0944087499772985
20100702,-1.608576124264487,-1.608576124264487,4.485832625712812
20100705,0.23836142028143575,0.23836142028143575,4.724194045994247
