trade_date,AD.SHF,AL.SHF,AO.SHF,CU.SHF,NI.SHF,PB.SHF,SN.SHF,ZN.SHF
20191107,0.0,36.412918117555996,0.0,-14.196787804653775,29.490814502140328,12.876062599525277,1.0822248706729896,-4.368641355177893
20191108,0.0,46.58420259392297,0.0,-14.974650229020199,28.884072671025127,15.623288982821263,0.9561775053644176,-4.413056592648751
20191111,0.0,48.80803107516708,0.0,-14.248929461163325,29.524471812820135,16.5670147641821,1.0743585274440834,-4.45095384496459
20191112,0.0,41.12255432592253,0.0,-14.634285114946119,31.0743049747354,15.103675071945466,1.1810731414568623,-4.041058518647094
20191113,0.0,33.02415961998121,0.0,-14.936361599021621,30.95897735770936,13.928772346409884,0.9284824450654059,-3.6944273506901975
20191114,0.0,25.79987951619922,0.0,-14.547029659641407,27.97206579704737,11.771894143445227,1.2697960454734876,-3.0227132873232345
20191115,0.0,21.10899233021291,0.0,-13.56330761897104,24.822608804914914,12.098986981558248,1.432027963176756,-2.87707060134203
20191118,0.0,18.40055949940733,0.0,-14.238503093380448,21.709897133929108,11.960502448062122,4.10795049720403,-1.140119634319948
20191119,0.0,16.16807695355582,0.0,-13.630180877656331,18.393901557442096,10.741132671135553,7.972263769772466,1.0971491390412813
20191120,0.0,14.325857305863682,0.0,-13.532810653735035,15.480223092122072,9.765338132649607,11.118892046893645,2.7322894564255122
20191121,0.0,16.96376157779665,0.0,-14.102112390820569,12.389922213836847,13.532841604043233,12.980308009845594,3.8100038709482362
20191122,0.0,19.66890509623517,0.0,-14.383125210909851,9.855355649404762,14.951675072887788,15.419387384707894,4.736263097171847
20191125,0.0,20.237017810311045,0.0,-14.810374183895329,8.81844653118281,16.68746492122459,17.60280033910275,7.87519758291448
20191126,0.0,19.655116819191708,0.0,-15.616625215420276,8.141942513431742,18.89802162810567,18.919811803222782,13.17736082450052
20191127,0.0,20.314168728678307,0.0,-15.980178875744706,7.770925394715212,21.62750053119694,19.85535568676081,15.67886480377807
20191128,0.0,21.17668719702269,0.0,-16.381949261973222,6.811952269701846,24.704137708860877,21.131131883198872,17.23882034764104
20191129,0.0,23.212421470814142,0.0,-16.8860683384637,5.515160152558058,22.25981665611268,22.311687975727427,18.240323595307064
20191202,0.0,26.348881129989074,0.0,-17.76842666580549,5.517711648286736,23.479781385869057,22.04357039563675,18.541917262315195
20191203,0.0,30.4060753609229,0.0,-17.180260838549497,5.773514489827423,23.898808137868468,18.758681324762797,20.354740150596747
20191204,0.0,36.148935802636004,0.0,-17.56222771677033,5.399237789576018,24.787984367487603,15.597502743997511,19.47657862205515
20191205,0.0,38.835977352685816,0.0,-18.06498366281654,4.505481834929705,23.995759974329204,13.144666886358722,18.89154423088372
20191206,0.0,41.30589550838998,0.0,-18.035601854759673,4.328981594671443,24.114484276919473,11.470786669383518,18.123572507205445
20191209,0.0,42.772735953177374,0.0,-16.94139525673245,3.773774521945101,25.940423053629644,10.861368705356519,17.734981577607122
20191210,0.0,38.32200144544576,0.0,-15.771660802040522,3.4570881142928744,27.256871723901813,9.547754615916835,17.73662718000564
20191211,0.0,34.11557828455288,0.0,-15.802239309430767,2.9814691861280553,31.473450095043876,8.189706303089071,17.76951844003301
