,GMV
20200407,229.17229996817133
20200408,221.7642812453843
20200409,203.94338370051778
20200410,197.74136532794864
20200413,200.357075813631
20200414,201.89589274153184
20200415,210.89317249673087
20200416,211.5867714957733
20200417,209.24471180539834
20200420,205.36291748678
20200421,209.96346266293347
20200422,215.11667104837704
20200423,221.47688616552625
20200424,226.3876619048963
20200427,227.20406041184413
20200428,220.91791910576006
20200429,221.34602557992915
20200430,222.71033735254218
20200506,225.24232769586297
20200507,226.96219015933931
20200508,227.73090072556866
20200511,228.84141269591186
20200512,230.27845268829262
20200513,231.7576644085569
20200514,231.4298580750368
20200515,230.50754058943934
20200518,228.0666125579946
20200519,225.33409722059753
20200520,220.18506527176694
20200521,213.43219961319718
20200522,211.37249408884844
20200525,217.59217748915933
20200526,218.82559922639683
20200527,220.59193976576256
20200528,223.4962892714772
20200529,228.03885675774634
20200601,235.03909797731873
20200602,240.40098686947206
20200603,246.3510589864406
20200604,247.10248021322417
20200605,249.01817743735458
20200608,253.9133494653936
20200609,256.88173598119556
20200610,258.42771235944207
20200611,259.55426419967444
20200612,259.5251463216516
20200615,262.6056391273465
20200616,260.17060633992173
20200617,257.10412454481
20200618,267.3045099198964
20200619,272.99745206616075
20200622,275.99085104160133
20200623,275.63239040490754
20200624,280.44031273304097
20200629,281.2588120262445
20200630,284.3065131922039
20200701,292.2068937311141
20200702,295.64817568338754
20200703,299.2934925753421
20200706,299.44198362361664
20200707,298.04329727747694
20200708,299.1445012708147
20200709,303.8082456237411
20200710,314.0279386121259
20200713,321.9872046892585
20200714,327.027141701783
20200715,333.9221416744763
20200716,333.6953945347806
20200717,337.39752037571304
20200720,342.8494232179337
20200721,347.9995478683799
20200722,338.07789207220037
20200723,336.69097382267574
20200724,326.4169794573288
20200727,323.02865968056545
20200728,316.2034962222241
20200729,310.5472983639074
20200730,304.18287021784477
20200731,301.01119578887716
20200803,300.4824282092269
20200804,293.991745800401
20200805,284.4230433666625
20200806,275.9453377761803
20200807,257.75758661243384
20200810,254.25351341741253
20200811,262.70135646385097
20200812,273.20296930133014
20200813,277.78830821688064
20200814,285.5926861579128
20200817,294.4443947794662
20200818,303.5666629796436
20200819,312.09724198267116
20200820,315.89672534899256
20200821,315.9933581364991
20200824,317.7450249703855
20200825,319.62985912767755
20200826,320.5304116561977
20200827,318.2754206570493
20200828,315.9473518888893
20200831,312.4951750546783
20200901,311.9762051467834
20200902,309.17200660115026
20200903,302.794170315486
20200904,298.1073982222303
20200907,296.0873652540237
20200908,294.1847288312363
20200909,286.66681688513216
20200910,280.176937593803
20200911,271.36429565099434
20200914,267.0898488282457
20200915,262.9952676642511
20200916,257.15633175768795
20200917,254.3178926571225
20200918,249.88735230588972
20200921,243.3181034760141
20200922,238.8039974018609
20200923,229.02871075156898
20200924,222.60747209807172
20200925,211.67513097361967
20200928,203.83814546085716
20200929,208.28110293719294
20200930,213.06989269668716
20201009,210.24593674269386
20201012,209.753520560784
20201013,210.41240525934265
20201014,219.9835267714676
20201015,227.28920923123383
20201016,229.4314960811822
20201019,225.23754663736494
20201020,220.42772888823137
20201021,219.35140875953255
20201022,220.1925897042685
20201023,215.58256347314557
20201026,212.68340679329597
20201027,211.4619840979464
20201028,215.38074492279742
20201029,220.0184929298433
20201030,232.44996073071366
20201102,237.1753913639077
20201103,248.281296994996
20201104,252.53914400605012
20201105,250.58215002984542
20201106,249.7622791171129
20201109,253.38627758778526
20201110,250.58417215581153
20201111,248.67272157951197
20201112,249.0263399419063
20201113,255.26274969253532
20201116,260.36865536871045
20201117,259.76882139320514
20201118,256.78222023383574
20201119,256.6832577044133
20201120,262.6281362808171
20201123,265.2650769634669
20201124,260.40019690460235
20201125,256.1692006023966
20201126,251.23217690197555
20201127,245.59841471086855
20201130,237.939332436899
20201201,237.97671723345078
20201202,234.31515838095987
20201203,224.48513446988784
20201204,216.22004364739357
20201207,211.85085290541718
20201208,203.75893708667172
20201209,201.66886454471805
20201210,208.02139301902432
20201211,211.55824027050525
20201214,210.01659276388787
20201215,206.55345009020857
20201216,206.61477148703506
20201217,208.25681930733546
20201218,208.84689096009737
20201221,207.07969909639036
20201222,200.07169397702557
20201223,198.14005918519297
20201224,197.48071288782296
20201225,200.51293766827837
20201228,201.76312526578536
20201229,197.12393570579866
20201230,193.8286743246015
20201231,189.46855072396687
20210104,189.4256286207622
20210105,187.50365869416015
20210106,188.45401132632276
20210107,186.20088578292726
20210108,189.5529257065397
20210111,195.66575305832396
20210112,227.31125644852835
20210113,218.39665682412303
20210114,212.99167490075558
20210115,210.23007433568677
20210118,206.46019023086134
20210119,200.42799612272407
20210120,198.4785142519412
20210121,193.42735210414207
20210122,192.4632071043188
20210125,185.11340135193043
20210126,185.13882130787027
20210127,184.87892639021194
20210128,181.0875149526602
20210129,179.11375340809792
20210201,177.88152010185325
20210202,173.26902654241894
20210203,168.6782829143239
20210204,168.93183822195326
20210205,170.79586454397074
20210208,177.7981367891462
20210209,182.96606492221773
20210210,182.06166482287793
20210218,183.56461570472166
20210219,182.66403432151134
20210222,180.0704418980683
20210223,175.66755618638106
20210224,175.72389404665796
20210225,175.47618880454365
20210226,177.3318249519706
20210301,176.7911783941298
20210302,177.75925898717637
20210303,177.70118582913537
20210304,178.54087356910702
20210305,177.453353603765
20210308,173.7133729467347
20210309,166.30031188814232
20210310,159.71908268299444
20210311,153.20872249494852
20210312,149.03689674149263
20210315,143.0089635880249
20210316,138.88988260560785
20210317,144.60072095278085
20210318,152.96144731791583
20210319,159.346525470171
20210322,161.24101029076962
20210323,161.17561907894662
20210324,156.22300515504602
20210325,153.98986005789558
20210326,153.2104145945427
20210329,155.8822588677554
20210330,155.37200615508823
20210331,160.0128882817778
20210401,160.929626623718
20210402,154.46490262371688
20210406,160.4421153606234
20210407,167.20369231530918
20210408,167.74864201547882
20210409,175.61160813798662
20210412,180.6297020847845
20210413,183.6274974703753
20210414,188.40979269430005
20210415,196.0102923907482
20210416,195.38704971540554
20210419,194.40204111052932
20210420,195.26541540329424
20210421,200.4982385598323
20210422,203.47988935295402
20210423,203.10902937054382
20210426,203.8269984380567
20210427,204.86210471728774
20210428,206.98131787025153
20210429,211.5860574909869
20210430,211.37518977022668
20210506,214.47741696714272
20210507,211.82902782311905
20210510,207.92941266316413
20210511,204.21990375330202
20210512,195.83237775815422
20210513,183.86981658745913
20210514,173.57092057872114
20210517,167.6233644868776
20210518,163.57230531288118
20210519,159.81361966208922
20210520,151.81834331871613
20210521,152.1132681996576
20210524,148.2113769865288
20210525,144.4333894774595
20210526,139.67559729282104
20210527,134.07865754698744
20210528,133.34341883937932
20210531,135.6980313257249
20210601,133.45955976868564
20210602,130.87821387609395
20210603,129.5462560152548
20210604,126.16374819932922
20210607,125.1939049364248
20210608,121.53697099221326
20210609,125.22040165015537
20210610,134.32421717304214
20210611,142.78105838082342
20210615,145.35587715518233
20210616,144.18094080079015
20210617,140.4883516094315
20210618,136.42523952662071
20210621,139.1929818796404
20210622,143.9035916441388
20210623,141.32538856283898
20210624,141.43026758304725
20210625,141.86320736035088
20210628,148.80633262141498
20210629,149.68719871173303
20210630,153.62259059556456
20210701,154.14671110973657
20210702,154.9215397652502
20210705,156.75940572559455
20210706,159.5992164374875
20210707,161.1661215809647
20210708,161.93668244841558
20210709,164.20112342998732
20210712,165.18004746058995
20210713,170.11382012957895
20210714,174.26024496711173
20210715,171.39672200824006
20210716,176.31424988488325
20210719,184.40458428667264
20210720,187.3802822884158
20210721,194.22614295746075
20210722,198.6213609525643
20210723,198.5966306073504
20210726,196.49827267852132
20210727,199.1359528769931
20210728,194.93354894056864
20210729,194.71231400449565
20210730,198.9711653685403
20210802,199.0160406293451
20210803,196.33029647939824
20210804,198.61189275822125
20210805,204.09820397535566
20210806,207.17413721536153
20210809,200.80784102239465
20210810,203.1433480228503
20210811,211.84986574215068
20210812,208.4732108817297
20210813,209.91698312512597
20210816,220.04353732203924
20210817,221.56758816139143
20210818,227.7581201806522
20210819,232.4199073162998
20210820,232.64290967185045
20210823,236.40114031258415
20210824,231.82257810076797
20210825,231.05589472117674
20210826,228.3692296085192
20210827,228.65833064198088
20210830,234.15340896139938
20210831,238.92395526236126
20210901,243.171833396595
20210902,246.30246219663292
20210903,250.29855139948668
20210906,250.9202853407726
20210907,254.88692871187527
20210908,253.39638347253296
20210909,256.83713546160993
20210910,263.0529081292214
20210913,262.25033219463967
20210914,259.11333716149943
20210915,260.6701644468003
20210916,258.6855456292152
20210917,260.81789184758316
20210922,260.69111094308846
20210923,259.33410869433186
20210924,253.15926241735707
20210927,239.59032999137827
20210928,230.74493348096453
20210929,221.49928079604885
20210930,217.93102852206343
20211008,209.38454638383703
20211011,202.34858877716457
20211012,196.81941182630248
20211013,187.54381462920895
20211014,177.51561826246106
20211015,170.30814861965047
20211018,164.62437083174845
20211019,164.36494050600783
20211020,163.33870683399903
20211021,163.4748380928986
20211022,160.17652275340453
20211025,149.94019285583153
20211026,142.58636118972413
20211027,133.70730533388308
20211028,128.8188408926715
20211029,127.17802426388461
20211101,129.16491435672972
20211102,133.49328660095335
20211103,134.56285887771088
20211104,135.3224798982868
20211105,141.14799403946043
20211108,148.03576245808753
20211109,150.64878707099152
20211110,156.33587190147554
20211111,157.1022484290713
20211112,157.33930908175563
20211115,156.8305596261884
20211116,156.76258735783594
20211117,158.355271655377
20211118,158.32636704815462
20211119,162.73072962063466
20211122,163.9326847907197
20211123,161.85648951325786
20211124,161.8157662166061
20211125,163.715778397048
20211126,162.88545712141268
20211129,161.02749996992893
20211130,155.86158517269783
20211201,152.0373935326102
20211202,156.6931575926598
20211203,162.7754380891701
20211206,168.60097200675943
20211207,165.59291938851962
20211208,171.21174484211227
20211209,177.13309699019786
20211210,181.81969752678185
20211213,185.85309338997197
20211214,191.93427066357745
20211215,198.8983639770309
20211216,201.57550077445453
20211217,203.42402114425866
20211220,204.59414416382225
20211221,208.9666412981901
20211222,212.07716902480377
20211223,215.01708934463787
20211224,217.02031991988463
20211227,220.14848059852963
20211228,221.37278256154354
20211229,219.9327004093586
20211230,215.77625097334018
20211231,213.99147426913902
20220104,210.1968978887866
20220105,205.02677933780362
20220106,198.77427539215725
20220107,193.84071567062503
20220110,193.5008894936269
20220111,197.24124528064183
20220112,201.21137325920978
20220113,201.75032759564553
20220114,205.0825824671898
20220117,206.60959655557107
20220118,203.49644666473156
20220119,207.42639357796955
20220120,208.00373206914085
20220121,205.21543577991113
20220124,197.48523194351907
20220125,192.55217102623936
20220126,192.55402888362903
20220127,195.0276761811592
20220128,198.72289404050363
20220207,195.8423790762403
20220208,194.28515731142895
20220209,187.85027116010065
20220210,182.19006840152088
20220211,174.57169999486018
20220214,173.93831902135742
20220215,172.94697948725943
20220216,174.06742509463223
20220217,170.9664687310736
20220218,172.92913406668757
20220221,172.99432330038152
20220222,172.52638343142024
20220223,173.79368061245617
20220224,176.46253525425465
20220225,175.4073672281542
20220228,171.66393907486216
20220301,173.00806326040433
20220302,170.55650575063382
20220303,170.1224491433072
20220304,172.98873647711824
20220307,171.35993352647355
20220308,176.6203447378225
20220309,181.9078496024244
20220310,179.3658909260958
20220311,181.6628092171812
20220314,183.90968036747924
20220315,182.7578471578448
20220316,181.423782659108
20220317,181.22323940836333
20220318,177.34622236337827
20220321,171.64327421291486
20220322,169.25680275676928
20220323,167.99951306064833
20220324,167.49030124708526
20220325,167.524348990896
20220328,173.78682134344425
20220329,180.52519596827327
20220330,186.24782757491207
20220331,188.4091267905631
20220401,189.7020176909553
20220406,184.10193779971598
20220407,177.9870099463372
20220408,178.4624822634506
20220411,182.07106412874467
20220412,188.97707209191137
20220413,193.46845471387465
20220414,202.25815144135416
20220415,207.36099933345935
20220418,211.2251246455944
20220419,221.72266568910686
20220420,224.9699533488827
20220421,227.3627376892581
20220422,228.04334653111488
20220425,230.0121190065649
20220426,221.9631637360912
20220427,211.92595041564957
20220428,203.02800816606575
20220429,198.54550600862657
20220505,199.22333334759898
20220506,198.98893172941177
20220509,198.81540892439088
20220510,201.51221878160428
20220511,203.55001919717168
20220512,204.14860976356448
20220513,200.87771539951115
20220516,200.33973316889328
20220517,207.5151683469827
20220518,214.9647519781689
20220519,222.61157840113222
20220520,225.5370377882688
20220523,221.41417878240586
20220524,221.37068968697707
20220525,219.98283304913866
20220526,222.54078219368475
20220527,226.33125813805475
20220530,227.8887332513046
20220531,230.3902042276726
20220601,221.61160218153933
20220602,218.68165131467316
20220606,214.81522771650273
20220607,212.4769043465761
20220608,213.9582726570126
20220609,214.0516838222214
20220610,213.09315092325022
20220613,206.08511815667697
20220614,194.0665756012791
20220615,185.9791671566516
20220616,174.14559261313664
20220617,169.25620057871578
20220620,160.9322581579676
20220621,154.0465921305005
20220622,155.7424201567791
20220623,165.56213061740684
20220624,163.96542990882807
20220627,166.19193710805587
20220628,165.15961462474843
20220629,167.2218015623944
20220630,169.4006111538346
20220701,177.1428091398183
20220704,180.97892246220576
20220705,186.7557920616143
20220706,194.03983766089152
20220707,203.8975464021675
20220708,210.82238056131257
20220711,215.76177167492833
20220712,216.06867167149085
20220713,214.93128130915977
20220714,215.5117017428479
20220715,217.05542860889693
20220718,211.80623718461538
20220719,205.44163034651208
20220720,201.41134685963928
20220721,201.48327886662165
20220722,212.4127373585667
20220725,223.7596847644199
20220726,229.1221038560823
20220727,230.5416886575454
20220728,226.06252637263748
20220729,223.1583351318372
20220801,225.1286075273005
20220802,226.6093773374588
20220803,227.00376011963525
20220804,229.264389128542
20220805,229.7432047547783
20220808,228.58948488887077
20220809,224.7440853506228
20220810,212.1077598371324
20220811,202.38121758349948
20220812,194.01931685951035
20220815,190.7863672036904
20220816,189.0814326038876
20220817,186.53663180812774
20220818,184.0390632630339
20220819,186.70451489570635
20220822,189.8384068225032
20220823,188.58252424799838
20220824,187.81999924059934
