trade_date,A.DCE,AP.ZCE,B.DCE,C.DCE,CF.ZCE,CS.DCE,JD.DCE,LH.DCE,M.DCE,OI.ZCE,P.DCE,RM.ZCE,SR.ZCE,UR.ZCE,Y.DCE
20211125,17.308866727607693,-3.500332133587288,12.698630111547367,14.056793075598172,13.71256860152718,10.514968669587757,-17.66291257297945,9.53170743423955,-39.42063937977161,6.697345852688081,8.65122080246714,-3.475825295966818,-7.6999718717061,-6.816453111522956,6.49326532704768
20211126,16.859676957832797,-3.17711965349871,12.608678760866798,12.298667251982328,14.855472313712319,11.406195320187225,-18.95197943140309,9.536764311538818,-40.399338086477265,5.438914426472603,7.572240056578667,-5.852495464721563,-10.076319090922139,-6.316791327948218,4.3092468710013625
20211129,13.794270563162726,-3.3123908910949464,13.89019492116634,11.125550872875973,18.311896752031057,11.468819689888447,-19.68629482875547,9.673813252224356,-41.64578071332162,4.487112578217051,7.447001871486331,-8.343824223745528,-10.894227738606437,-4.764531300580612,3.2847753982426635
20211130,11.171649073837802,-3.3829448356237206,14.64892957583071,8.534426886091135,19.29692628711998,11.158154064635877,-20.721458970588504,3.4575328878402427,-41.884792331746866,4.789097830510707,8.056618430823999,-9.961911160834937,-9.875356345568875,-3.7848145225374927,2.673985549256539
20211201,9.659546475047987,-3.4434841256447073,16.454167327276057,5.51569072253036,20.11250680666448,8.490331701817329,-21.40806180846688,-1.4725564032624514,-41.45765898954804,5.2046899893686644,9.137323688424077,-11.516389450352825,-7.798200465825145,-3.4945886369925496,3.157107309974519
20211202,6.978130189089791,-3.59409234656813,18.179257927478023,17.162655729928627,22.535665818582938,4.051522994210392,-22.72934599793064,-5.483171080309241,-40.87305158452376,7.1363373963144285,11.003654217342692,-12.328775378085162,-0.28811073417652905,-4.055996777084921,-1.3766775401111957
20211203,3.02465883906211,-3.037157412323702,18.675117318763306,20.986980597359818,19.379159447212267,1.3749067776839392,-23.65364315934037,-8.480365908944805,-42.32522249853694,9.428637843053762,11.527227983934905,-13.01202980862577,6.682120204397895,-3.1631499118055753,-5.0164977935831
20211206,-2.8936405977684574,-2.7527648666560616,19.017474149573143,24.879316752388366,16.998732949708124,-0.3969762854365592,-24.248009010042598,-10.898540847482113,-42.15973089102069,8.532214891627355,11.977228487493095,-13.540453065302748,12.504014517841247,-2.8640514228432847,-7.808478907605985
20211207,-1.5484212656007148,-2.351751988332787,20.41548956437887,28.214668190646947,14.556648704534096,-2.210155565128856,-24.434704932848213,-12.728525390075042,-41.342270904298076,6.166670718369561,8.731115452997752,-6.6485081541241335,14.548360620985898,-1.092578528016438,-10.568045913126769
20211208,-4.38091290060318,-1.9987941885655935,22.46955698090172,31.412767968032032,12.355571249250843,-3.7816577022640625,-24.2789137629989,-14.141818108280672,-41.158322787023266,11.97958974641219,5.76656109962042,-1.4955387630763268,16.233627544615928,-0.40581680766186745,-14.109025527145894
20211209,-7.6729702868938405,-1.4937791835504235,26.320377553960064,31.104795687102868,10.468800400564687,-2.1894031386903285,-24.61556990656077,-14.811803740702501,-38.871585279933164,16.699809795014207,3.2373538852485333,4.074359749123729,19.082441014656464,1.0177650845770974,-17.516087387398287
20211210,-10.387896595102148,0.4572800185521227,27.831594698707033,32.57153617814917,9.452753308418524,-2.6748921714705487,-25.852941233344644,-15.224844931743581,-37.28233107122829,20.507681424955805,1.199526858327072,8.461632752110868,16.759865146431046,2.0204709688221696,-20.077990573513315
20211213,-10.946358567186817,1.8361301369180059,27.744863318088893,33.70159913708703,8.685557610179046,-5.101977870472749,-26.523888416187614,-15.779494828782559,-35.76280512862071,23.293618668724843,-0.0955290874332115,11.881784143379024,17.257151237176448,1.8397411230284568,-21.930239216779256
20211214,-15.2979050408378,2.6611722104170465,26.88319221281308,34.624861743696215,8.423504930236545,-8.296899188949354,-27.22595239141523,-16.344961777281988,-34.321445949282484,25.569668751613307,-1.361478897522515,14.585039841119535,16.23515785136378,0.8654047006074421,-22.82515809319171
20211215,-18.846837814934297,7.865494813188299,25.191732088924077,33.96589309246238,9.062445674672857,-9.558731398586406,-27.547378971928577,-16.69968458844575,-32.48505797804189,27.51348740333872,-2.33557938834762,17.61693741299589,16.193699467389223,0.8882553823555016,-24.00113531843914
20211216,-19.82029289057201,12.88235808049967,24.68537008321953,30.929228065997073,9.467129777673023,-12.802854572052192,-27.982748128211572,-16.870719060158144,-30.494559592763054,28.53170859678432,-3.5085472078891864,19.089963376015223,14.496414145039546,0.3919467734996151,-24.64079104549722
20211217,-19.452016315627237,15.75838962658198,22.25156815145507,30.224082126107156,9.87959505548952,-16.275551624532522,-28.16558727028532,-16.942332670921644,-28.84003758029915,28.40282171417738,-5.337791381863147,20.66918648718245,14.897974570216881,-0.6650564180373023,-24.75040722782516
20211220,-18.98514701170669,18.003921377607675,18.996398052285308,29.84192222582381,10.929291764492845,-20.75459543744403,-28.115345775788214,-17.08822516445207,-27.63148274929842,27.319780920023987,-6.029288325556059,21.747207556536193,14.50851678848797,-1.8028129314985626,-24.78997675892423
20211221,-20.403148098559583,19.625436673582175,17.623943673792464,29.133232896721974,12.328483615091557,-25.836304170296874,-27.67958613456562,-16.87343629732098,-26.591749057972645,25.974383017122342,-6.1533888815929325,22.529167988003096,16.682878173965143,-2.681052729029717,-24.061016976622035
20211222,-21.64285349941697,20.927150685154075,15.472788841653802,26.779201454120024,13.532967787581327,-29.540446851787614,-27.136955427672383,-16.916380681838703,-25.63957503848664,24.845430604484044,-6.4110882374481815,22.56718596366974,20.681655205023112,-3.9397158058926154,-23.36731201604772
20211223,-22.377266100476078,21.60664435745993,11.047598503495172,26.00809708591046,15.198209770566413,-32.65307596657801,-26.532655946553497,-16.327936304462135,-24.40564366517394,23.27061851706483,-7.73799180697921,22.83762328952398,23.610759525741837,-3.8781317317425117,-22.056469864553794
20211224,-23.835837942760858,21.45667206519787,5.133180849535416,22.513611492559985,16.502749891120835,-33.94126777297901,-25.6196243923453,-15.739319299745805,-23.36149164172092,21.876295844071418,-7.930302349193539,23.383684337726983,27.673617969424985,-3.8786277096844186,-19.935243224726477
20211227,-22.41230601528164,21.30857145863733,6.06186535128954,18.853141051053825,15.715730591270196,-36.197077626375176,-24.993794080608183,-15.82329478400125,-22.238606545524085,20.67650657610681,-8.367246231072007,22.652588131337268,28.23122381484084,-3.8101148963018483,-18.43848466572942
20211228,-21.60811521096254,21.07052245217276,7.146316954798403,15.664493157387083,15.180401676210339,-37.77009280116544,-24.46463426150191,-15.665035187667613,-21.555208451933883,19.700982529059445,-8.78546398332176,22.185528506961276,27.641093243175934,-6.232645872503878,-17.377610626648156
20211229,-21.77771371804651,20.599003243806138,7.374576602646304,12.127790026653631,17.04395697110584,-39.98927135320992,-23.76706342037591,-15.499228311122428,-20.320912048887642,18.440610296115725,-8.865708240701796,21.677194402803078,25.83777657418193,-5.899808258453236,-16.500856315310926
20211230,-22.819952475254937,19.92791911002845,6.7917812052615885,12.06542412091014,19.042237526498297,-40.047145230375136,-22.95725504439458,-15.80994170500354,-19.233602149738367,17.052728963788578,-8.787653467520792,20.988273575798356,24.770103378612337,-5.57891186746402,-15.520223254202007
20211231,-22.616975786774745,19.34872387391437,4.7521447648958475,11.12506942094604,20.83607030729433,-39.20745831260917,-22.236686381406553,-16.108693403834653,-18.733146666356735,16.239647891859757,-7.194795445625727,20.892071341192185,25.43923588160641,-5.378730696915256,-14.970032638017347
20220104,-21.556711006175576,18.74429130344001,5.297340418401518,11.617714665228936,23.418432831058045,-38.57283856896641,-21.4558908464104,-16.30479935935266,-18.020203679525455,13.988992559060922,-5.989443217391163,20.74201069930309,27.051087577601013,-5.342459105339223,-14.605159981553587
20220105,-20.917241121518746,17.749030580214995,4.533749559830867,12.624591690068856,24.401652120079213,-37.71973713110463,-20.789016563374794,-16.567810081232697,-17.213731977533914,10.764096771903185,-4.455837609662845,20.217945920936494,25.756262742210126,-5.014469289765048,-14.355561613985573
20220106,-20.004967005708245,17.050172647928477,2.734380541049761,6.413730300864727,25.344127549591608,-36.90003549602869,-20.53810459961278,-16.8483604159827,-16.086102187048006,7.9771958402328265,-3.0224235178816423,19.524342590089518,25.084583734260328,-5.030623604667404,-14.584764380177948
20220107,-18.814608801787305,16.248124172431517,1.814039026148068,3.908901272215405,25.486070678744607,-35.40760013649109,-20.664178331870485,-17.345012503632958,-14.98782209486513,6.27862365380407,-2.647806070446093,19.371957480623944,25.363421613413866,-3.845645571934603,-14.469609336205988
20220110,-17.879193226952115,15.634326211989999,1.7792584317329534,0.33983162603879047,27.589488922663033,-34.561638845194146,-21.04741930237524,-17.464722686777524,-13.828856487481026,4.885922252157984,-2.6559239377030974,19.328869073731603,27.8165590926118,-4.04050711565757,-13.88586349108138
20220111,-18.914033419432847,15.00501889470888,2.2540805853025603,0.16049938910984338,29.503431078162617,-34.3673789965153,-21.246675611013337,-17.074464693882774,-14.396412018757461,3.8455743506183904,-1.7332444170416943,18.970212347526292,29.907210366224966,-3.758705423557367,-13.360209462027408
20220112,-19.16913577354517,14.397808719898922,1.1417880794264963,5.999824883862927,30.453470384634816,-32.00353396458068,-21.24556729622634,-16.685260968639767,-14.850108729017295,3.1247117318428566,-0.8903924534220798,19.147824383582268,34.820650686971426,-3.4590411063016293,-13.307780686582532
20220113,-20.650454473089695,13.734557164691473,2.0466567757368628,11.487639703483179,30.6647886574574,-30.24349066891524,-21.111842188471996,-16.15237632336512,-15.506771121307528,2.242109457958,0.6550299673060932,19.393194212424586,39.33927746763668,-2.943496058154108,-13.035891749355326
20220114,-20.48742413695806,13.21652088619553,1.8812745524604604,19.552181221379044,29.07058450993836,-29.284172959722362,-20.48824408808406,-15.622103814818118,-16.15855213677719,1.6033383953803257,2.0241236740988944,18.87222708278702,42.15609842143439,-2.327369883093687,-12.564306661320627
20220117,-20.60654410481556,12.557312521328846,2.5997827267958837,22.057707021484894,25.847272953534087,-28.530549006886066,-19.78799007904907,-14.998041892961448,-16.85408403690866,0.8306260167394847,4.062297442722635,18.337637045580745,42.273225620960744,-2.160866250348769,-12.241698867335337
20220118,-19.821690415533936,12.077762788595876,3.9010911689363996,22.488282213265098,24.491510905601327,-27.65598732301235,-19.498918372847864,-14.263841417269578,-17.32814322553396,0.7641205573320771,4.9820668842595275,17.99266296115214,47.80418147473697,-1.8739688854356418,-12.207079368222788
20220119,-18.82433974991775,11.736782350688866,5.026964704014093,25.06167489662263,23.56364687345483,-25.743622190204075,-19.171501629627844,-13.831767185253044,-17.757275860446097,1.0905349862217013,7.33991501542315,17.700213850566612,50.93200487177096,-1.1604196211380697,-12.542180402863453
20220120,-17.15433117431683,11.630993474096163,5.946077250591927,30.82162535588879,20.57450425588351,-24.452952982694494,-18.851333817472952,-13.366562227438237,-17.604739771369523,1.3245553305986022,8.538035085406207,17.164485729358738,54.53298328842856,-0.22112104712198496,-12.204503780734575
20220121,-13.260367273619224,11.547578394563132,3.9777499563560963,28.919887781562537,17.59179258297747,-23.130061857380895,-18.504033602157325,-13.305406252480955,-17.150063330590125,1.3455717888752408,8.060789099492986,17.918809019588906,51.262970607881414,0.9329439834815649,-12.291169855592537
20220124,-8.441309705012277,11.31312559625459,2.1445996703652934,27.302680403555122,15.164861304844534,-21.593908441010147,-17.612694682388938,-12.939532255680914,-16.743798149269363,1.0966354071352988,7.133024215579251,18.89716255818897,49.172230221675086,1.4121739385668932,-13.025455659615966
20220125,-2.3424874988431266,11.150981233710366,0.5985341373725533,24.249906070776845,13.837797898331763,-21.14939577332983,-16.795057858176193,-12.362062278516246,-16.352801365308935,0.30259731329005535,7.069302243646942,20.295002596573102,46.35680803997712,2.004184529698327,-13.84138970949078
20220126,4.464119319690513,10.953873779579682,-2.7962261061829876,25.41842271914453,12.461150234510443,-20.5848506396928,-16.062137443903204,-11.930240201393811,-15.606733638039401,-0.2682005564204227,6.9384316545703815,21.260643167914708,42.770899588526696,2.9427432010672687,-14.03362066943672
20220127,10.557457671792491,10.887388617980616,-2.7945462483459687,21.72702465579532,11.724038499149264,-20.836162391408102,-15.261137425553015,-11.40162583746947,-14.427026421310162,-0.838308229032193,7.460520267781412,22.01549801997048,37.545990229993784,3.5802835033991087,-14.401385623861616
20220128,15.087731515327768,10.668095832430486,-6.239067325364291,17.886466661357726,9.341347772478962,-19.609205009407365,-14.602650114469261,-10.83663502900139,-13.363986408088234,-0.9846457762641025,8.067364810952894,22.205596604200878,31.527270161215554,3.740313977241039,-14.355562808846733
20220207,16.195193617427982,10.763512435527716,-8.194821226610063,12.976610527799687,8.303355768433093,-19.361463115436656,-13.702434990352506,-10.275975403913364,-11.93659260956535,-2.9186336323055833,7.714130811063642,20.592941910191612,26.689811403256872,5.04047650703535,-14.451657536301767
20220208,19.306320608005098,10.583579257609049,-9.327308072528206,12.966127918091898,5.369459931632655,-18.583191060792814,-12.882176725696361,-9.70171003357483,-10.195797317927367,-5.2827348951158095,7.3890359941078785,19.057548502625345,25.177638437724873,5.53181833983259,-14.834349871307143
20220209,24.006532285424974,10.29812104874285,-9.59363391541935,8.419690001820085,2.081845122885538,-18.417591602284862,-12.180132116062497,-9.274611601615508,-7.673442655830136,-6.811313681214154,6.198597886162267,17.987519907703515,22.719804065522958,5.221502858169295,-14.610233592589648
20220210,28.461973600415075,9.767417383726034,-10.075983418988184,4.57110647539082,-0.8577582221582988,-17.97162836290731,-11.246997066285195,-9.011751953683756,-5.489629555085957,-7.99308639548582,5.538588872557383,17.54046780243447,21.74857689426596,5.108132878409256,-14.56946335439912
20220211,30.34389417602453,9.860436673731476,-9.401241648519326,-0.8497322359103768,-2.1348733024147584,-18.1545413407258,-10.513454092092996,-8.723772341839497,-3.892341033756162,-10.542718720135529,6.1345304559061935,17.14787372280292,18.617629866772404,4.488142628923659,-14.22135669254612
20220214,29.976489631958128,10.231963542223571,-7.031898057401868,-6.761728253150182,-2.538865555132811,-14.796907558257393,-9.847618017129859,-8.683429965063295,-2.6306904702127,-12.796924283317779,7.203165794670669,16.732936253853413,16.02795370475068,3.412701420338054,-14.100054388990719
20220215,30.783931343196823,10.597619185109492,-6.334393359871469,-13.138103456625963,-4.720693815316096,-12.254222158723532,-9.41976842175432,-8.82950961290703,-2.017193319308502,-15.159923734294185,7.476564680497613,16.254882515864995,15.359721051363307,2.491528565553732,-13.964409236746937
20220216,32.29948815947074,11.026019489371471,-4.4735401791982135,-21.435443057867126,-6.540677023963463,-10.352993207558894,-9.19332046041392,-8.710572383737983,-1.3023200615625583,-16.530092660649906,8.407614659096378,14.445619778257326,14.82764251367445,1.923960195412528,-13.893164189849704
20220217,34.544806339332986,11.14467715041658,-1.7757824271842597,-24.64984390266013,-6.586598717228331,-8.188352880331237,-8.483122210611462,-8.611945272150137,-0.32030890341594564,-17.68430064365287,9.306221223911336,13.436052053071876,11.42679779175311,1.2398409672774704,-13.518465496096768
20220218,34.770317509217996,11.740146690951686,1.4720231222839766,-30.757758411507503,-7.359760474928848,-6.6140851551717486,-8.186700851957935,-8.601616628031712,1.3832227144197398,-18.991014324059986,11.484595505257179,12.506585093860744,8.772144324389009,0.750786764212087,-12.460979420318264
20220221,35.157725343623866,12.267608164016528,4.044561021443646,-36.05573095719352,-9.180286893262014,-5.59345915522479,-8.212642904218821,-8.600803913084048,3.548344112176587,-18.837686334823804,11.768822329317576,11.273894880223219,8.244744374435088,0.2856472374204133,-11.80897846001716
20220222,35.47693621653919,12.863327100326963,8.165573498931957,-40.679572338852424,-10.003081670154682,-4.701662002888529,-8.06956953015203,-8.465697826520785,6.7999763445230865,-17.192703227183294,11.85769154294099,10.240490349423515,8.689835379812887,-0.4907665578776408,-11.588645415138066
20220223,35.75481289780336,13.23306170764531,10.91447623265681,-41.46936916531887,-11.2048321103919,-3.54439193922481,-7.387142083996769,-8.272972775466515,9.347232126282256,-15.233350198634058,12.46479152620234,9.601745631629333,9.930933023049892,-1.101599926195097,-12.385476809895298
20220224,37.07751667660804,13.551230627525188,8.716387756575617,-39.794986033800434,-12.09215942848853,-2.2825830480502742,-6.680741711990506,-8.172060063535818,12.376601067049522,-13.19929866074373,12.291885312701954,10.606963118124884,10.041826072288714,-1.4528223474577109,-12.028773913143208
20220225,38.078417718978045,13.493446311084979,5.506400158273008,-41.14558541677709,-12.542066739776576,-1.1651620287854099,-5.360274451003019,-8.055468216322454,13.556371281055755,-12.1885518377571,12.125878563439432,10.07308095141,10.014998947684008,-1.4820068004316296,-11.409911746487522
20220228,35.06913648944358,13.417646951323372,4.218262885223982,-39.43680869110902,-12.505639448641075,0.02561295358460173,-4.493097665221613,-9.025004403819278,14.506239961126314,-11.230493059822933,12.828955615041073,10.274771408832876,7.255815888826719,-0.7378785940717202,-9.748524130669319
20220301,33.49130231175454,12.811127718240392,3.8501340143466405,-41.783873986617415,-11.589303307131436,1.1877846452616725,-3.7666365720472745,-12.831608121925862,15.542298694593196,-10.092449412385022,15.430788957028186,11.329595606976392,5.919388985863403,-0.45598258251914564,-6.5413793915102065
20220302,32.23849513941731,12.291324743706939,2.1749998653194678,-41.443297621840514,-9.221010130382382,1.8161951596646349,-2.1733473043135723,-15.49195411255547,16.018360034781033,-8.963403057949666,17.495867593117026,12.432407531741609,1.6888286994090602,0.32189622229170706,-3.7425705564349188
20220303,31.571646802051973,11.809629201689729,1.7729788961012478,-41.57451006415591,-7.119045168377265,2.263543382635554,-0.981871627229615,-18.340605865312252,16.05473113517361,-8.184239806044276,19.159166816712315,13.766448161282195,-5.206366708479086,1.1825613435401692,-1.316668736146844
20220304,29.939181027976314,11.629217302362218,1.1647805894298244,-41.805979055138415,-6.0312227727577,2.860384651910973,1.018676295862305,-20.42527726873563,16.19695151152267,-7.484183875397297,16.634634448237342,14.554338221508177,-11.755105251473365,2.482774295421425,-0.32793298981494307
20220307,28.6296334487574,12.134024763546936,1.3993461980540571,-44.484122559682774,-4.493254324223457,3.881160781630663,5.155565333799019,-23.71126938543386,17.78408068863271,-7.12702281630277,14.439642900423832,15.83108294916139,-6.37878428725795,3.130775920955638,-0.07244779611906178
20220308,27.253435481309204,13.530785346330651,2.0518953327187,-49.55640089506775,0.11883228670813524,4.121291283180878,10.052252300837047,-26.321949626117057,19.15259993394107,-7.2051034226842905,12.75530698927948,16.906132942641143,-3.641839642792564,3.8202961358826304,1.5549560786585332
20220309,27.326728467863443,13.14316672843026,3.393581370612605,-50.10667770647355,5.169027722714223,4.605589175812196,14.82384417851874,-27.84556711952428,19.54547333385241,-7.523258662151107,11.621912613046282,16.815827023984962,-0.395707588788298,4.088261152296046,4.735485016357006
20220310,26.31290651193879,13.179217259425249,3.9777221747778784,-49.519804842450384,8.05100772004088,5.005617967407026,20.5271207874904,-29.55145210577745,18.661073700832787,-7.392027329643861,10.534544136457082,14.626250156234887,0.532386399808815,4.9907850860821785,5.2183307500056255
20220311,25.362252373843933,13.215509264407155,4.449247313420842,-49.95279585168,11.938702430522328,5.351805097683727,26.968846295034638,-30.431613924812623,18.17296473341718,-7.454057963195048,10.590335074636645,12.359761868864922,1.376305587722358,5.461725628269138,5.664063644578334
20220314,24.977925174373635,12.549348693767506,5.248495157857524,-50.03523707495075,13.393476900435894,5.836033827072387,27.6224600047414,-30.833224305802585,18.004167858158198,-7.351040072973442,9.588220718740253,10.589580822695622,-6.056129906696516,6.966163098519015,5.775892558729939
20220315,24.96269831397613,10.452264992646349,0.45062406599347493,-50.45234993858408,14.616311062666991,6.111123057004863,20.852066110289037,-29.82030945032067,17.555790667150028,-6.918622577509256,8.368522752184354,9.819938540825556,-16.44982654447216,7.878313094585849,5.192038856117824
20220316,24.423031114617874,8.171694543731029,-3.4023072153276837,-50.7326590238738,16.419206734538587,6.323816928536548,16.545034519567636,-29.18664299500748,17.42377350666197,-6.783055972963975,7.282289709972401,9.209416971676703,-25.046800338965994,7.942194512148381,4.177811682901843
20220317,24.121920331392456,6.576127846129125,-5.908944390639944,-50.065900458895804,17.359290312107365,6.606736306370133,11.960810688648607,-27.00584359973157,17.323728822641215,-6.5495684011542625,5.6477249323322,8.726941443095416,-31.99775714679352,7.640510395685868,2.869357320418106
20220318,23.362854862289947,5.430930609438968,-7.143971613168085,-48.207173465912405,17.73611237610603,5.135848957621753,7.838185141087559,-25.52286674083429,16.948009265290523,-6.391865598949537,4.017089110378711,8.073724771283345,-36.94765427245885,7.311457717611244,0.8996450355058792
20220321,22.688524512556835,5.53508787957913,-8.416373310869597,-46.64799706131166,14.753462032674893,3.809554982497311,2.8770792436283,-23.19585521975157,16.021433534064276,-6.425490646921203,2.4201011315367627,7.113312505093897,-37.587491830658884,7.876854634215207,-2.356682901100281
20220322,22.058899644317545,6.124654864000399,-8.987994156501658,-46.02404172467615,10.661854006634675,3.7521612569966956,-0.07214977818124142,-21.91046685144039,14.949713722008763,-6.614437952698415,1.6300562008511965,6.2988472566417295,-40.24554724171932,7.633473701296846,-4.067489860502612
